爱情	ài qíng	αγάπη
打扮	dǎ ban	ντύσου
打扰	dǎ rǎo	διαταράσσει
打印	dǎ yìn	τυπώνω
打招呼	dǎ zhāo hu	χαιρετώ
打折	dǎ zhé	εκπτωση
打针	dǎ zhēn	ενεση
大概	dà gài	πιθανώς
大使馆	dà shǐ guǎn	πρεσβεία
大约	dà yuē	σχετικά με
大夫	dài fu	γιατρός
戴	dài	φορούσε
当	dāng	πότε
当时	dāng shí	τότε
刀	dāo	μαχαίρι
导游	dǎo yóu	τουριστικός οδηγός
倒	dào	ανεστραμμένο
到处	dào chù	παντού
到底	dào dǐ	στο τέλος
道歉	dào qiàn	απολογούμαι
得	dé	λήψη (βοηθητικό ρήμα)
得意	dé yì	υπερήφανος
登机牌	dēng jī pái	κάρτα επιβίβασης
等	děng	κ.λπ. (σωματίδιο)
低	dī	χαμηλός
底	dǐ	κάτω μέρος
地点	dì diǎn	τοποθεσία
地球	dì qiú	γη
地址	dì zhǐ	διεύθυνση
掉	diào	πτώση
调查	diào chá	επισκόπηση
丢	diū	βολή
动作	dòng zuò	δράση
堵车	dǔ chē	μποτιλιάρισμα
肚子	dù zi	κοιλιά
短信	duǎn xìn	γραπτό μήνυμα
对话	duì huà	διάλογος
对面	duì miàn	απεναντι απο
对于	duì yú	για
儿童	ér tóng	παιδί
而	ér	και
发生	fā shēng	συμβούν
发展	fā zhǎn	ανάπτυξη του
法律	fǎ lv4	νομικός
翻译	fān yì	μετάφραση
烦恼	fán nǎo	αναστατωμένος
反对	fǎn duì	εναντιώνομαι
方法	fāng fǎ	μέθοδος
方面	fāng miàn	άποψη
方向	fāng xiàng	κατεύθυνση
房东	fáng dōng	σπιτονοικοκύρης
放弃	fàng qì	παραιτούμαι
放暑假	fàng shǔ jià	καλοκαιρινές διακοπές
放松	fàng sōng	χαλαρώστε
份	fèn	μερίδιο
丰富	fēng fù	πλούσιος
否则	fǒu zé	σε διαφορετική περίπτωση
符合	fú hé	συναντά το
付款	fù kuǎn	πληρωμή
复印	fù yìn	αντίγραφο
复杂	fù zá	συγκρότημα
富	fù	πλούσιος
父亲	fù qīn	πατέρας
负责	fù zé	γίνε υπεύθυνος για
改变	gǎi biàn	αλλαγή
干杯	gān bēi	στην υγειά σας
感动	gǎn dòng	κίνηση
感觉	gǎn jué	αφή
感情	gǎn qíng	συναισθημα
感谢	gǎn xiè	ευχαριστώ
敢	gǎn	τολμώ
赶	gǎn	βιασύνη
干	gàn	στεγνός
刚	gāng	μόλις
高速公路	gāo sù gōng lù	αυτοκινητόδρομος
胳膊	gē bo	μπράτσο
各	gè	καθε
公里	gōng lǐ	χιλιόμετρο
功夫	gōng fu	προσπάθεια
工资	gōng zī	μισθός
共同	gòng tóng	κοινός
够	gòu	αρκετά
购物	gòu wù	ψώνια
估计	gū jì	εκτίμηση
鼓励	gǔ lì	ενθαρρύνω
故意	gù yì	επίτηδες
顾客	gù kè	πελάτης
挂	guà	κρεμάω
关键	guān jiàn	το ουσιώδες
观众	guān zhòng	ακροατήριο
管理	guǎn lǐ	διαχείριση
光	guāng	φως
广播	guǎng bō	αναμετάδοση
广告	guǎng gào	διαφήμιση
逛	guàng	επίσκεψη
规定	guī dìng	συμφωνώ
国籍	guó jí	χώρα υπηκοότητας
国际	guó jì	διεθνές
果汁	guǒ zhī	χυμός φρούτων
过程	guò chéng	επεξεργάζομαι, διαδικασία
海洋	hǎi yáng	ωκεανός
害羞	hài xiū	ντροπαλός
寒假	hán jià	χειμερινές διακοπές
汗	hàn	ιδρώτας
航班	háng bān	πτήση
好处	hǎo chu	όφελος
好像	hǎo xiàng	αρέσει
号码	hào mǎ	αριθμός
合格	hé gé	αρμόδιος
合适	hé shì	κατάλληλος
盒子	hé zi	κουτί
厚	hòu	πυκνός
后悔	hòu huǐ	μετανιώνω
互联网	hù lián wǎng	το διαδίκτυο
互相	hù xiāng	ο ένας τον άλλον
护士	hù shi	νοσοκόμα
怀疑	huái yí	αμφιβολία
回忆	huí yì	αναμνήσεις
活动	huó dòng	δραστηριότητα
活泼	huó po	ζωηρός
火	huǒ	φωτιά
获得	huò dé	αποκτώ
基础	jī chǔ	βάση
激动	jī dòng	ενθουσιασμός
积极	jī jí	θετικός
积累	jī lěi	συσσώρευση
即使	jí shǐ	ακόμα κι αν
及时	jí shí	έγκαιρος
寄	jì	στείλετε
技术	jì shù	τεχνολογία
既然	jì rán	από
继续	jì xù	συνέχισε
计划	jì huà	σχέδιο
记者	jì zhě	δημοσιογράφος
加班	jiā bān	στο περασμα του χρονου
加油站	jiā yóu zhàn	αέριο
家具	jiā jù	επιπλα
假	jiǎ	ψευδής
价格	jià gé	τιμή
坚持	jiān chí	να τηρούν
减肥	jiǎn féi	χάνω βάρος
减少	jiǎn shǎo	περικοπές
建议	jiàn yì	προτείνω
将来	jiāng lái	μελλοντικός
奖金	jiǎng jīn	δώρο
降低	jiàng dī	περιορίζω
降落	jiàng luò	προσγείωση
交	jiāo	σταυρός
交流	jiāo liú	επικοινωνήστε με
交通	jiāo tōng	κινηση στους δρομους
郊区	jiāo qū	προάστια
骄傲	jiāo ào	υπερήφανος
饺子	jiǎo zi	μπουλέττες
教授	jiào shòu	καθηγητής
教育	jiào yù	εκπαίδευση
接受	jiē shòu	αποδέχομαι
接着	jiē zhe	τότε
结果	jié guǒ	αποτέλεσμα
节	jié	ενότητα
节约	jié yuē	οικονομία
解释	jiě shì	εξήγηση
尽管	jǐn guǎn	παρά
紧张	jǐn zhāng	ένταση
禁止	jìn zhǐ	απαγορεύω
进行	jìn xíng	ανεβαίνω
京剧	jīng jù	όπερα πεκίνου
精彩	jīng cǎi	εκπληκτικός
经济	jīng jì	οικονομικός
经历	jīng lì	εμπειρία
经验	jīng yàn	εμπειρία
景色	jǐng sè	θέα
警察	jǐng chá	αστυφύλακες
竞争	jìng zhēng	ανταγωνισμός
竟然	jìng rán	πράγματι
镜子	jìng zi	καθρέφτης
究竟	jiū jìng	ακριβώς
举	jǔ	ανελκυστήρας
举办	jǔ bàn	κρατήστε
举行	jǔ xíng	κρατήστε
拒绝	jù jué	αρνηθεί
聚会	jù huì	συναντιέμαι
距离	jù lí	απόσταση
开玩笑	kāi wán xiào	αστείο
开心	kāi xīn	ευτυχισμένος
看法	kàn fǎ	θέα
烤鸭	kǎo yā	ψητή πάπια
考虑	kǎo lv4	σκεφτείτε
棵	kē	δέντρο
科学	kē xué	επιστήμη
咳嗽	ké sou	βήχας
可怜	kě lián	αξιολύπητο
可是	kě shì	αλλά
可惜	kě xī	δυστυχώς
客厅	kè tīng	σαλόνι
肯定	kěn dìng	σίγουρος
空	kōng	αέρας
空气	kōng qì	αέρας
恐怕	kǒng pà	φοβάμαι
苦	kǔ	πικρός
矿泉水	kuàng quán shuǐ	μεταλλικό νερό
困	kùn	νυσταγμένος
困难	kùn nan	δύσκολος
垃圾桶	lā jī tǒng	σκουπιδοτενεκές
拉	lā	τραβήξτε
辣	là	ζεστό
来不及	lái bu jí	πολύ αργά
来得及	lái de jí	πολύ αργά
来自	lái zì	από
懒	lǎn	τεμπέλης
浪费	làng fèi	απόβλητα
浪漫	làng màn	ρομαντικός
老虎	lǎo hǔ	τίγρη
冷静	lěng jìng	ηρεμία
理发	lǐ fà	κουρεμα μαλλιων
理解	lǐ jiě	κατανόηση
理想	lǐ xiǎng	ιδανικός
礼拜天	lǐ bài tiān	κυριακή
礼貌	lǐ mào	ευγένεια
例如	lì rú	π.χ
力气	lì qi	δύναμη
厉害	lì hai	μεγάλος
俩	liǎ	και τα δυο
联系	lián xì	επικοινωνία
连	lián	ακόμη και
凉快	liáng kuai	ψύξτε
零钱	líng qián	μικρή αλλαγή
另外	lìng wài	επιπλέον
流利	liú lì	ευφραδής
流行	liú xíng	δημοφιλής
留	liú	διαμονή
旅行	lǚ xíng	ταξίδι
乱	luàn	χάος
律师	lv4 shī	δικηγόρος
麻烦	má fan	ταλαιπωρία
马虎	mǎ hu	απρόσεκτος
满	mǎn	γεμάτος
毛	máo	μαλλιά
毛巾	máo jīn	πετσέτα
美丽	měi lì	πανεμορφη
梦	mèng	όνειρο
迷路	mí lù	άντε χάσου
密码	mì mǎ	κωδικός πρόσβασης
免费	miǎn fèi	ελεύθερος
秒	miǎo	δεύτερος
民族	mín zú	εθνος
母亲	mǔ qīn	μητέρα
目的	mù dì	σκοπός
耐心	nài xīn	υπομονετικος
难道	nán dào	είναι
难受	nán shòu	αβολος
内	nèi	μέσα
内容	nèi róng	περιεχόμενο
能力	néng lì	ικανότητα
年龄	nián líng	ηλικία
弄	nòng	κάνω
暖和	nuǎn huo	ζεστός
偶尔	ǒu ěr	ενίοτε
排队	pái duì	ουρά
排列	pái liè	συμφωνία
判断	pàn duàn	κρίση
陪	péi	συνοδεύω
批评	pī píng	κριτική
皮肤	pí fū	δέρμα
脾气	pí qi	ιδιοσυγκρασία
篇	piān	άρθρα
骗	piàn	απάτη
乒乓球	pīng pāng qiú	πινγκ πονγκ
平时	píng shí	συνήθως
破	pò	σπασμένος
葡萄	pú tao	σταφύλι
普遍	pǔ biàn	παγκόσμιος
普通话	pǔ tōng huà	μανταρίνι
其次	qí cì	κατα δευτερον
其中	qí zhōng	ανάμεσα τους
气候	qì hòu	κλίμα
千万	qiān wàn	δέκα εκατομμύρια
签证	qiān zhèng	visa
敲	qiāo	χτύπημα
桥	qiáo	γέφυρα
巧克力	qiǎo kè lì	σοκολάτα
亲戚	qīn qi	συγγενής
轻	qīng	φως
轻松	qīng sōng	ανετα
情况	qíng kuàng	συμβαίνει
穷	qióng	φτωχός
区别	qū bié	η διαφορά
取	qǔ	παίρνω
全部	quán bù	ολα
缺点	quē diǎn	μειονέκτημα
缺少	quē shǎo	έλλειψη
却	què	αλλά
确实	què shí	πράγματι
然而	rán ér	ωστόσο
热闹	rè nao	ζωηρός
任何	rèn hé	όποιος
任务	rèn wu	έργο
扔	rēng	βολή
仍然	réng rán	ακόμη
日记	rì jì	ημερολόγιο
入口	rù kǒu	είσοδος
散步	sàn bù	κάνε μια βόλτα
森林	sēn lín	δάσος
沙发	shā fā	καναπές
伤心	shāng xīn	λυπημένος
商量	shāng liang	συζητώ
稍微	shāo wēi	λίγο
勺子	sháo zi	κουτάλι
社会	shè huì	κοινωνία
深	shēn	βαθύς
申请	shēn qǐng	εφαρμογή
甚至	shèn zhì	ακόμη και
生活	shēng huó	ζωη
生命	shēng mìng	ζωη
生意	shēng yì	επιχείρηση
省	shěng	επαρχία
剩	shèng	απομεινάρια
失败	shī bài	αποτυχία
失望	shī wàng	απογοητευμένος
师傅	shī fu	κύριος
十分	shí fēn	πολύ
实际	shí jì	πραγματικός
实在	shí zài	πραγματικά
使	shǐ	φτιαχνω, κανω
使用	shǐ yòng	χρήση
世纪	shì jì	αιώνας
是否	shì fǒu	αν
适合	shì hé	κατάλληλο για
适应	shì yìng	προσαρμόζω
收	shōu	λαμβάνω
收入	shōu rù	εισόδημα
收拾	shōu shi	πακέτο
首都	shǒu dū	κεφάλαιο
首先	shǒu xiān	πρωτα απο ολα
受不了	shòu bù liǎo	δεν αντέχω
受到	shòu dào	υποφέρω
售货员	shòu huò yuán	πωλητής
输	shū	χάνω
熟悉	shú xī	οικείος με
数量	shù liàng	ποσότητα
数字	shù zì	ψηφιακό
帅	shuài	ομορφος
顺便	shùn biàn	παρεμπιπτόντως
顺利	shùn lì	ομαλά
顺序	shùn xù	σειρά
说明	shuō míng	περιγραφή
硕士	shuò shì	πτυχίο μάστερ
死	sǐ	νεκρός
塑料袋	sù liào dài	πλαστική σακούλα
速度	sù dù	ταχύτητα
酸	suān	οξύ
随便	suí biàn	ανέμελος
随着	suí zhe	μαζί με
孙子	sūn zi	εγγονός
所有	suǒ yǒu	όλα
台	tái	σταθμός
抬	tái	ανελκυστήρας
态度	tài du	συμπεριφορά
弹钢琴	tán gāng qín	παίζω πιάνο
谈	tán	μιλα ρε
汤	tāng	σούπα
糖	táng	ζάχαρη
躺	tǎng	ξαπλωνω
趟	tàng	ταξίδι
讨论	tǎo lùn	συζητώ
讨厌	tǎo yàn	μισώ
特点	tè diǎn	χαρακτηριστικά
提	tí	αναφέρω
提供	tí gōng	προμηθεύω
提前	tí qián	εκ των προτέρων
提醒	tí xǐng	υπενθυμίζω
填空	tián kòng	συμπληρώστε το κενό
条件	tiáo jiàn	κατάσταση
停	tíng	να σταματήσει
挺	tǐng	πολύ
通过	tōng guò	με
通知	tōng zhī	ειδοποίηση
同情	tóng qíng	συμπάθεια
同时	tóng shí	ταυτοχρονα
推	tuī	σπρώξτε
推迟	tuī chí	αναβάλλω
脱	tuō	απογείωση
袜子	wà zi	κάλτσα
完全	wán quán	πλήρης
往往	wǎng wǎng	συχνά
网球	wǎng qiú	τένις
网站	wǎng zhàn	δικτυακός τόπος
危险	wēi xiǎn	κίνδυνος
卫生间	wèi shēng jiān	τουαλέτα
味道	wèi dào	γεύση
温度	wēn dù	θερμοκρασία
文章	wén zhāng	άρθρο
污染	wū rǎn	ρύπανση
无	wú	όχι
无聊	wú liáo	βαριέμαι
无论	wú lùn	ανεξάρτητα
误会	wù huì	παρεξήγηση
吸引	xī yǐn	προσελκύω
西红柿	xī hóng shì	ντομάτα
咸	xián	αλμυρός
现金	xiàn jīn	μετρητά
羡慕	xiàn mù	ζηλεύω
相反	xiāng fǎn	σε αντίθεση
相同	xiāng tóng	το ίδιο
香	xiāng	ευώδης
详细	xiáng xì	λεπτομερής
响	xiǎng	δαχτυλίδι
橡皮	xiàng pí	καουτσούκ
消息	xiāo xi	νέα
小吃	xiǎo chī	πρόχειρο φαγητό
小伙子	xiǎo huǒ zi	μειράκιο
小说	xiǎo shuō	μυθιστόρημα
效果	xiào guǒ	αποτέλεσμα
笑话	xiào huà	αστείο
心情	xīn qíng	διάθεση
辛苦	xīn kǔ	σκληρά
信封	xìn fēng	φάκελος
信息	xìn xī	πληροφορίες
信心	xìn xīn	αυτοπεποίθηση
兴奋	xīng fèn	ενθουσιασμένος
行	xíng	σειρά
醒	xǐng	ίχνη
幸福	xìng fú	ευτυχισμένος
性别	xìng bié	γένος
性格	xìng gé	χαρακτήρας
修理	xiū lǐ	επισκευή
许多	xǔ duō	πολλά απο
学期	xué qī	εξάμηνο
呀	ya	ναι
压力	yā lì	πίεση
牙膏	yá gāo	οδοντόκρεμα
亚洲	yà zhōu	ασία
严格	yán gé	αυστηρός
严重	yán zhòng	σοβαρός
盐	yán	άλας
研究	yán jiū	η μελέτη
演出	yǎn chū	προβολή
演员	yǎn yuán	ηθοποιός
眼镜	yǎn jìng	γυαλιά
阳光	yáng guāng	ηλιακό φως
养成	yǎng chéng	αναπτύσσω
样子	yàng zi	μοιάζει
邀请	yāo qǐng	καλώ
要是	yào shi	αν
钥匙	yào shi	κλειδί
也许	yě xǔ	μπορεί
叶子	yè zi	φύλλο
页	yè	σελίδα
一切	yī qiè	όλα
以	yǐ	προς το
以为	yǐ wéi	νομίζω
意见	yì jiàn	γνώμη
艺术	yì shù	τέχνη
因此	yīn cǐ	επομένως
引起	yǐn qǐ	αιτία
印象	yìn xiàng	εντύπωση
赢	yíng	νίκη
应聘	yìng pìn	αίτηση για
勇敢	yǒng gǎn	γενναίος
永远	yǒng yuǎn	για πάντα
优点	yōu diǎn	πλεονέκτημα
优秀	yōu xiù	έξοχος
幽默	yōu mò	χιούμορ
尤其	yóu qí	ειδικά
由	yóu	με
由于	yóu yú	εξαιτίας
邮局	yóu jú	ταχυδρομείο
友好	yǒu hǎo	φιλικός
友谊	yǒu yì	φιλία
有趣	yǒu qù	ενδιαφέρων
于是	yú shì	τότε
愉快	yú kuài	ευτυχισμένος
与	yǔ	εναντίον
羽毛球	yǔ máo qiú	παιγνίδι όμοιο με τέννις
语法	yǔ fǎ	γραμματική
语言	yǔ yán	γλώσσα
预习	yù xí	προεπισκόπηση
原来	yuán lái	πρωτότυπο
原谅	yuán liàng	συγχωρώ
原因	yuán yīn	ο λόγος
约会	yuē huì	ραντεβού
阅读	yuè dú	ανάγνωση
云	yún	σύννεφο
允许	yǔn xǔ	επιτρέπω
杂志	zá zhì	περιοδικό
咱们	zán men	εμείς
暂时	zàn shí	προσωρινά
脏	zāng	βρώμικος
责任	zé rèn	ευθύνη
增加	zēng jiā	αυξήσουν
占线	zhàn xiàn	απασχολημένος
招聘	zhāo pìn	προσληψη
照	zhào	σύμφωνα με
真正	zhēn zhèng	πραγματικός
整理	zhěng lǐ	ξεδιαλύνω
正常	zhèng cháng	κανονικός
正好	zhèng hǎo	ακριβώς δεξιά
正确	zhèng què	σωστός
正式	zhèng shì	επίσημος
证明	zhèng míng	αποδεικνύω
之	zhī	του
支持	zhī chí	αναμονή
知识	zhī shi	η γνώση
值得	zhí de	αξίζει
植物	zhí wù	φυτό
直接	zhí jiē	απευθείας
职业	zhí yè	επάγγελμα
只好	zhǐ hǎo	επρεπε να
只要	zhǐ yào	όσο
指	zhǐ	που σημαίνει
至少	zhì shǎo	τουλάχιστον
质量	zhì liàng	ποιότητα
重	zhòng	βάρος
重点	zhòng diǎn	συγκεντρώνω
重视	zhòng shì	αξία
周围	zhōu wéi	περίπου
主意	zhǔ yi	ιδέα
祝贺	zhù hè	συγχαιρώ
著名	zhù míng	διάσημος
专门	zhuān mén	ειδικευμένος
专业	zhuān yè	επάγγελμα
转	zhuǎn	στροφή
赚	zhuàn	κερδίζω
准确	zhǔn què	ακριβής
准时	zhǔn shí	στην ώρα
仔细	zǐ xì	προσεκτικός
自然	zì rán	φυσικός
自信	zì xìn	αυτοπεποίθηση
总结	zǒng jié	εν κατακλείδι
租	zū	ενοίκιο
最好	zuì hǎo	το καλύτερο
尊重	zūn zhòng	σεβασμός
左右	zuǒ yòu	σχετικά με
作家	zuò jiā	συγγραφέας
作用	zuò yòng	αποτέλεσμα
作者	zuò zhě	συντάκτης
座	zuò	έδρα
座位	zuò wèi	έδρα
