啊	a	何
历史	lì shǐ	歴史
脸	liǎn	面
练习	liàn xí	運動
辆	liàng	車両
聊天	liáo tiān	とチャットする
了解	liǎo jiě	理解するために
邻居	lín jū	隣人
留学	liú xué	留学する
楼	lóu	床
绿	lv4	緑
马	mǎ	うま
马上	mǎ shàng	すぐに
满意	mǎn yì	満足
帽子	mào zi	帽子
米	mǐ	メーター
面包	miàn bāo	パン
明白	míng bai	理解する
拿	ná	取る
奶奶	nǎi nai	祖母
南	nán	南
难	nán	難しい
难过	nán guò	悲しい
年级	nián jí	グレード
年轻	nián qīng	若い
鸟	niǎo	鳥
努力	nǔ lì	一生懸命働く
爬山	pá shān	登山
盘子	pán zi	プレート
胖	pàng	太い
啤酒	pí jiǔ	ビール
皮鞋	pí xié	革靴
瓶子	píng zi	ボトル
其实	qí shí	実際には
其他	qí tā	その他
奇怪	qí guài	奇妙な
骑	qí	ライド
起飞	qǐ fēi	離陸
起来	qǐ lái	立ち上がる
清楚	qīng chu	晴れ
请假	qǐng jià	休暇を求めます
秋	qiū	秋
裙子	qún zi	スカート
然后	rán hòu	その後
热情	rè qíng	熱意
认为	rèn wéi	考える
认真	rèn zhēn	深刻
容易	róng yì	簡単
如果	rú guǒ	万一に備えて
伞	sǎn	傘
上网	shàng wǎng	オンライン化する
声音	shēng yīn	音
生气	shēng qì	腹を立てて
世界	shì jiè	世界
试	shì	テスト
瘦	shòu	薄い
叔叔	shū shu	おじさん
舒服	shū fu	快適
数学	shù xué	数学
树	shù	木
刷牙	shuā yá	歯を磨く
双	shuāng	ダブル
水平	shuǐ píng	レベル
司机	sī jī	運転者
太阳	tài yáng	太陽
特别	tè bié	特に
疼	téng	痛み
提高	tí gāo	改善する
体育	tǐ yù	体育
甜	tián	甘い
条	tiáo	論文
同事	tóng shì	同僚
同意	tóng yì	同意する
头发	tóu fa	ヘア
突然	tū rán	突然
图书馆	tú shū guǎn	図書館
腿	tuǐ	脚
完成	wán chéng	実施する
碗	wǎn	丼鉢
万	wàn	万
忘记	wàng jì	忘れる
为	wèi	ために
为了	wèi le	のために
位	wèi	ビット
文化	wén huà	文化
西	xī	oo
习惯	xí guàn	習慣
洗手间	xǐ shǒu jiān	トイレ
洗澡	xǐ zǎo	風呂に入る
夏	xià	夏
先	xiān	最初
相信	xiāng xìn	信じる
香蕉	xiāng jiāo	バナナ
像	xiàng	お気に入り
向	xiàng	に
小心	xiǎo xīn	注意してください
校长	xiào zhǎng	主要な
新闻	xīn wén	ニュース
新鲜	xīn xiān	新鮮な
信用卡	xìn yòng kǎ	クレジットカード
行李箱	xíng lǐ xiāng	トランク
熊猫	xióng māo	パンダ
需要	xū yào	必要
选择	xuǎn zé	選択する
要求	yāo qiú	請求
爷爷	yé ye	祖父
一直	yī zhí	常に
一定	yí dìng	確かに
一共	yī gòng	合計
一会儿	yī huì er	しばらく
一样	yī yàng	同じ
以前	yǐ qián	前
一般	yī bān	一般
一边	yī biān	片側
音乐	yīn yuè	音楽
银行	yín háng	バンク
饮料	yǐn liào	ドリンク
应该	yīng gāi	すべき
影响	yǐng xiǎng	影響
用	yòng	使用する
游戏	yóu xì	ゲーム
有名	yǒu míng	有名
又	yòu	また
遇到	yù dào	出会い
元	yuán	元
愿意	yuàn yì	喜んで
月亮	yuè liang	月
越	yuè	もっと
站	zhàn	駅
张	zhāng	張
长	zhǎng	長い（動詞）
着急	zháo jí	気になる
照顾	zhào gu	世話をする
照片	zhào piàn	写真
照相机	zhào xiàng jī	カメラ
只	zhǐ	のみ（副詞）
只	zhǐ	のみ（数量詞）
只有…才…	zhǐ yǒu …cái …	のみ...
中间	zhōng jiān	中級
中文	zhōng wén	中国語
终于	zhōng yú	やっと
种	zhǒng	種（定量化）
重要	zhòng yào	重要
周末	zhōu mò	週末
主要	zhǔ yào	メイン
注意	zhù yì	注意
自己	zì jǐ	自分
自行车	zì xíng chē	自転車
总是	zǒng shì	常に
嘴	zuǐ	口
最后	zuì hòu	やっと
最近	zuì jìn	最近
作业	zuò yè	操作
