爱情	ài qíng	愛する
矿泉水	kuàng quán shuǐ	ミネラルウォーター
困	kùn	眠いです
困难	kùn nan	難しい
垃圾桶	lā jī tǒng	ごみ箱
拉	lā	引く
辣	là	ホット
来不及	lái bu jí	遅すぎる
来得及	lái de jí	遅すぎる
来自	lái zì	から
懒	lǎn	怠惰な
浪费	làng fèi	廃棄物
浪漫	làng màn	ロマンチック
老虎	lǎo hǔ	虎
冷静	lěng jìng	落ち着いて
理发	lǐ fà	ヘアカット
理解	lǐ jiě	理解
理想	lǐ xiǎng	理想的
礼拜天	lǐ bài tiān	日曜日
礼貌	lǐ mào	礼儀
例如	lì rú	例えば
力气	lì qi	力
厉害	lì hai	すごい
俩	liǎ	両方とも
联系	lián xì	連絡先
连	lián	でも
凉快	liáng kuai	涼む
零钱	líng qián	小さな変化
另外	lìng wài	加えて
流利	liú lì	流暢
流行	liú xíng	人気
留	liú	滞在
旅行	lǚ xíng	トラベル
乱	luàn	混沌
律师	lv4 shī	弁護士
麻烦	má fan	トラブル
马虎	mǎ hu	不注意
满	mǎn	フル
毛	máo	ヘア
毛巾	máo jīn	タオル
美丽	měi lì	綺麗な
梦	mèng	夢
迷路	mí lù	失せろ
密码	mì mǎ	パスワード
免费	miǎn fèi	自由
秒	miǎo	2番目
民族	mín zú	国家
母亲	mǔ qīn	母
目的	mù dì	目的
耐心	nài xīn	患者
难道	nán dào	それは...ですか
难受	nán shòu	不快
内	nèi	内部
内容	nèi róng	コンテンツ
能力	néng lì	能力
年龄	nián líng	年齢
弄	nòng	行う
暖和	nuǎn huo	暖かい
偶尔	ǒu ěr	たまに
排队	pái duì	キュー
排列	pái liè	配置
判断	pàn duàn	判定
陪	péi	同行
批评	pī píng	批判
皮肤	pí fū	肌
脾气	pí qi	気性
篇	piān	記事
骗	piàn	チート
乒乓球	pīng pāng qiú	卓球
平时	píng shí	通常
破	pò	壊れた
葡萄	pú tao	葡萄
普遍	pǔ biàn	ユニバーサル
普通话	pǔ tōng huà	マンダリン
其次	qí cì	第二に
其中	qí zhōng	その中で
气候	qì hòu	気候
千万	qiān wàn	1000万
签证	qiān zhèng	ビザ
敲	qiāo	ノック
桥	qiáo	ブリッジ
巧克力	qiǎo kè lì	チョコレート
亲戚	qīn qi	相対的
轻	qīng	光
轻松	qīng sōng	簡単
情况	qíng kuàng	ハプニング
穷	qióng	貧しい
区别	qū bié	違い
取	qǔ	取る
全部	quán bù	すべて
缺点	quē diǎn	不利益
缺少	quē shǎo	欠如
却	què	だが
确实	què shí	確かに
然而	rán ér	しかしながら
热闹	rè nao	にぎやか
任何	rèn hé	どれか
任务	rèn wu	仕事
扔	rēng	スロー
仍然	réng rán	まだ
日记	rì jì	日記
入口	rù kǒu	エントランス
散步	sàn bù	散歩する
森林	sēn lín	森林
沙发	shā fā	ソファー
伤心	shāng xīn	悲しい
商量	shāng liang	話し合います
稍微	shāo wēi	少し
勺子	sháo zi	スプーン
社会	shè huì	社会
深	shēn	深い
申请	shēn qǐng	応用
甚至	shèn zhì	でも
生活	shēng huó	生活
生命	shēng mìng	生活
生意	shēng yì	ビジネス
省	shěng	州
剩	shèng	残り物
失败	shī bài	失敗
失望	shī wàng	がっかり
师傅	shī fu	主人
十分	shí fēn	非常に
实际	shí jì	実際
实在	shí zài	本当に
使	shǐ	作る
使用	shǐ yòng	使用する
世纪	shì jì	世紀
是否	shì fǒu	かどうか
适合	shì hé	に適し
适应	shì yìng	適応する
收	shōu	受け取る
收入	shōu rù	所得
收拾	shōu shi	パック
首都	shǒu dū	資本
首先	shǒu xiān	まず第一に
受不了	shòu bù liǎo	我慢できない
受到	shòu dào	苦しむ
售货员	shòu huò yuán	営業担当者
输	shū	失う
熟悉	shú xī	に精通
数量	shù liàng	量
数字	shù zì	デジタル
帅	shuài	ハンサム
顺便	shùn biàn	ところで
顺利	shùn lì	スムーズに
顺序	shùn xù	注文
说明	shuō míng	説明
硕士	shuò shì	修士号
死	sǐ	デッド
塑料袋	sù liào dài	ビニール袋
速度	sù dù	速度
酸	suān	酸
随便	suí biàn	カジュアル
随着	suí zhe	に加えて
孙子	sūn zi	孫
所有	suǒ yǒu	すべて
台	tái	駅
抬	tái	リフト
态度	tài du	姿勢
弹钢琴	tán gāng qín	ピアノを弾く
谈	tán	トーク
汤	tāng	スープ
糖	táng	シュガー
躺	tǎng	横になる
趟	tàng	旅行
讨论	tǎo lùn	話し合います
讨厌	tǎo yàn	嫌い
特点	tè diǎn	特徴
提	tí	言及
提供	tí gōng	提供する
提前	tí qián	あらかじめ
提醒	tí xǐng	思い出させる
填空	tián kòng	空欄を埋める
条件	tiáo jiàn	状態
停	tíng	やめる
挺	tǐng	非常に
通过	tōng guò	沿って
通知	tōng zhī	通知
同情	tóng qíng	同情
同时	tóng shí	同時に
推	tuī	押す
推迟	tuī chí	延期する
脱	tuō	離陸
袜子	wà zi	靴下
完全	wán quán	コンプリート
往往	wǎng wǎng	しばしば
网球	wǎng qiú	テニス
网站	wǎng zhàn	ウェブサイト
危险	wēi xiǎn	危険
卫生间	wèi shēng jiān	バスルーム
味道	wèi dào	味
温度	wēn dù	温度
文章	wén zhāng	論文
污染	wū rǎn	汚染
无	wú	番号
无聊	wú liáo	退屈
无论	wú lùn	関係なく
误会	wù huì	誤解
吸引	xī yǐn	引き付ける
西红柿	xī hóng shì	トマト
咸	xián	塩辛い
现金	xiàn jīn	現金
羡慕	xiàn mù	羨望
相反	xiāng fǎn	対照的に
相同	xiāng tóng	同じ
香	xiāng	香り高い
详细	xiáng xì	詳細
响	xiǎng	リング
橡皮	xiàng pí	ゴム
消息	xiāo xi	ニュース
小吃	xiǎo chī	スナック
小伙子	xiǎo huǒ zi	若者
小说	xiǎo shuō	フィクション
效果	xiào guǒ	効果
笑话	xiào huà	冗談で
心情	xīn qíng	気分
辛苦	xīn kǔ	ハード
信封	xìn fēng	封筒
信息	xìn xī	情報
信心	xìn xīn	信頼
兴奋	xīng fèn	興奮した
行	xíng	行
醒	xǐng	ウェイク
幸福	xìng fú	ハッピー
性别	xìng bié	性別
性格	xìng gé	キャラクター
修理	xiū lǐ	修復
许多	xǔ duō	たくさんの
学期	xué qī	学期
呀	ya	ええ
压力	yā lì	圧力
牙膏	yá gāo	歯磨き粉
亚洲	yà zhōu	アジア
严格	yán gé	厳格
严重	yán zhòng	深刻
盐	yán	塩
研究	yán jiū	研究
演出	yǎn chū	公演
演员	yǎn yuán	俳優
眼镜	yǎn jìng	眼鏡
阳光	yáng guāng	日光
养成	yǎng chéng	発展させる
样子	yàng zi	のように見える
邀请	yāo qǐng	招待する
要是	yào shi	もし
钥匙	yào shi	キー
也许	yě xǔ	多分
叶子	yè zi	葉
页	yè	ページ
一切	yī qiè	すべて
以	yǐ	に
以为	yǐ wéi	考える
意见	yì jiàn	意見
艺术	yì shù	アート
因此	yīn cǐ	したがって、
引起	yǐn qǐ	原因
印象	yìn xiàng	印象
赢	yíng	勝つ
应聘	yìng pìn	申請する
勇敢	yǒng gǎn	ブレイブ
永远	yǒng yuǎn	永遠に、いつでも
优点	yōu diǎn	利点
优秀	yōu xiù	優秀な
幽默	yōu mò	ユーモア
尤其	yóu qí	特に
由	yóu	沿って
由于	yóu yú	のため
邮局	yóu jú	郵便局
友好	yǒu hǎo	フレンドリー
友谊	yǒu yì	友情
有趣	yǒu qù	面白い
于是	yú shì	その後
愉快	yú kuài	ハッピー
与	yǔ	対
羽毛球	yǔ máo qiú	バドミントン
语法	yǔ fǎ	文法
语言	yǔ yán	言語
预习	yù xí	プレビュー
原来	yuán lái	元の
原谅	yuán liàng	許しなさい
原因	yuán yīn	理由
约会	yuē huì	予定
阅读	yuè dú	読んだ
云	yún	雲
允许	yǔn xǔ	許可する
杂志	zá zhì	マガジン
咱们	zán men	我々
暂时	zàn shí	一時的に
脏	zāng	汚れた
责任	zé rèn	責任
增加	zēng jiā	増加する
占线	zhàn xiàn	忙しい
招聘	zhāo pìn	募集
照	zhào	による
真正	zhēn zhèng	リアル
整理	zhěng lǐ	整理する
正常	zhèng cháng	正常
正好	zhèng hǎo	ちょうどいい
正确	zhèng què	正しい
正式	zhèng shì	フォーマル
证明	zhèng míng	証明する
之	zhī	の
支持	zhī chí	待機する
知识	zhī shi	知識
值得	zhí de	価値がある
植物	zhí wù	工場
直接	zhí jiē	直接
职业	zhí yè	職業
只好	zhǐ hǎo	しなければならなかった
只要	zhǐ yào	限り
指	zhǐ	手段
至少	zhì shǎo	少なくとも
质量	zhì liàng	品質
重	zhòng	重量
重点	zhòng diǎn	フォーカス
重视	zhòng shì	値
周围	zhōu wéi	周り
主意	zhǔ yi	考え
祝贺	zhù hè	おめでとう
著名	zhù míng	有名
专门	zhuān mén	専門
专业	zhuān yè	職業
转	zhuǎn	順番
赚	zhuàn	稼ぐ
准确	zhǔn què	正確
准时	zhǔn shí	定刻
仔细	zǐ xì	注意してください
自然	zì rán	ナチュラル
自信	zì xìn	信頼
总结	zǒng jié	総括する
租	zū	家賃
最好	zuì hǎo	最高の
尊重	zūn zhòng	尊敬
左右	zuǒ yòu	約
作家	zuò jiā	作家
作用	zuò yòng	効果
作者	zuò zhě	著者
座	zuò	シート
座位	zuò wèi	シート
