爱情	ài qíng	люблю
获得	huò dé	получить
基础	jī chǔ	основа
激动	jī dòng	волнение
积极	jī jí	положительный
积累	jī lěi	накопление
即使	jí shǐ	даже если
及时	jí shí	своевременный
寄	jì	отправить
技术	jì shù	технологии
既然	jì rán	поскольку
继续	jì xù	продолжать
计划	jì huà	план
记者	jì zhě	репортер
加班	jiā bān	через некоторое время
加油站	jiā yóu zhàn	газ
家具	jiā jù	мебель
假	jiǎ	ложный
价格	jià gé	цена
坚持	jiān chí	придерживаться
减肥	jiǎn féi	худеть
减少	jiǎn shǎo	сокращать
建议	jiàn yì	предлагать
将来	jiāng lái	будущее
奖金	jiǎng jīn	бонус
降低	jiàng dī	уменьшить
降落	jiàng luò	посадка
交	jiāo	пересекать
交流	jiāo liú	общаться с
交通	jiāo tōng	движение
郊区	jiāo qū	пригород
骄傲	jiāo ào	гордый
饺子	jiǎo zi	пельмени
教授	jiào shòu	профессор
教育	jiào yù	образование
接受	jiē shòu	принять
接着	jiē zhe	тогда
结果	jié guǒ	результат
节	jié	раздел
节约	jié yuē	экономия
解释	jiě shì	объяснение
尽管	jǐn guǎn	несмотря на
紧张	jǐn zhāng	напряжение
禁止	jìn zhǐ	запретить
进行	jìn xíng	ладить
京剧	jīng jù	пекинская опера
精彩	jīng cǎi	замечательно
经济	jīng jì	экономический
经历	jīng lì	опыт
经验	jīng yàn	опыт
景色	jǐng sè	посмотреть
警察	jǐng chá	полицейские
竞争	jìng zhēng	конкуренция
竟然	jìng rán	фактически
镜子	jìng zi	зеркало
究竟	jiū jìng	в яблочко
举	jǔ	лифт
举办	jǔ bàn	держать
举行	jǔ xíng	держать
拒绝	jù jué	отказываться
聚会	jù huì	собраться вместе
距离	jù lí	расстояние
开玩笑	kāi wán xiào	шутка
开心	kāi xīn	счастливый
看法	kàn fǎ	посмотреть
烤鸭	kǎo yā	жареная утка
考虑	kǎo lv4	рассмотреть возможность
棵	kē	дерево
科学	kē xué	наука
咳嗽	ké sou	кашель
可怜	kě lián	жалкий
可是	kě shì	но
可惜	kě xī	к сожалению
客厅	kè tīng	гостиная
肯定	kěn dìng	конечно
空	kōng	воздух
空气	kōng qì	воздух
恐怕	kǒng pà	боюсь
苦	kǔ	горький
矿泉水	kuàng quán shuǐ	минеральная вода
困	kùn	сонный
困难	kùn nan	трудно
垃圾桶	lā jī tǒng	мусорный ящик
拉	lā	тянуть
辣	là	горячей
来不及	lái bu jí	слишком поздно
来得及	lái de jí	слишком поздно
来自	lái zì	из
懒	lǎn	ленивый
浪费	làng fèi	трата
浪漫	làng màn	романтичный
老虎	lǎo hǔ	тигр
冷静	lěng jìng	спокойствие
理发	lǐ fà	стрижка
理解	lǐ jiě	понимание
理想	lǐ xiǎng	идеальный
礼拜天	lǐ bài tiān	воскресенье
礼貌	lǐ mào	любезность
例如	lì rú	например
力气	lì qi	прочность
厉害	lì hai	большой
俩	liǎ	и то и другое
联系	lián xì	контакт
连	lián	четный
凉快	liáng kuai	остывать
零钱	líng qián	небольшой изменение
另外	lìng wài	к тому же
流利	liú lì	свободно
流行	liú xíng	популярный
留	liú	оставаться
旅行	lǚ xíng	путешествовать
乱	luàn	хаос
律师	lv4 shī	юрист
麻烦	má fan	беда
马虎	mǎ hu	небрежный
满	mǎn	полный
毛	máo	волосы
毛巾	máo jīn	полотенце
美丽	měi lì	прекрасный
梦	mèng	мечтать
迷路	mí lù	теряться
密码	mì mǎ	пароль
免费	miǎn fèi	свободно
秒	miǎo	второй
民族	mín zú	нация
母亲	mǔ qīn	мать
目的	mù dì	цель
耐心	nài xīn	терпеливый
难道	nán dào	это
难受	nán shòu	неудобный
内	nèi	внутри
内容	nèi róng	содержание
能力	néng lì	способность
年龄	nián líng	возраст
弄	nòng	делать
暖和	nuǎn huo	тепло
偶尔	ǒu ěr	иногда
排队	pái duì	очередь
排列	pái liè	договоренность
判断	pàn duàn	суждение
陪	péi	сопровождать
批评	pī píng	критика
皮肤	pí fū	кожа
脾气	pí qi	характер
篇	piān	статьи
骗	piàn	обман
乒乓球	pīng pāng qiú	настольный теннис
平时	píng shí	обычно
破	pò	сломанный
葡萄	pú tao	виноград
普遍	pǔ biàn	универсальный
普通话	pǔ tōng huà	мандарин
其次	qí cì	во-вторых
其中	qí zhōng	среди них
气候	qì hòu	климат
千万	qiān wàn	десять миллионов
签证	qiān zhèng	виза
敲	qiāo	стучать
桥	qiáo	мост
巧克力	qiǎo kè lì	шоколад
亲戚	qīn qi	родственник
轻	qīng	легкий
轻松	qīng sōng	легко
情况	qíng kuàng	происходит
穷	qióng	бедные
区别	qū bié	различия
取	qǔ	взять
全部	quán bù	все
缺点	quē diǎn	недостаток
缺少	quē shǎo	недостаток
却	què	но
确实	què shí	на самом деле
然而	rán ér	однако
热闹	rè nao	оживленный
任何	rèn hé	любой
任务	rèn wu	задача
扔	rēng	бросить
仍然	réng rán	все еще
日记	rì jì	дневник
入口	rù kǒu	вход
散步	sàn bù	прогуляться
森林	sēn lín	лес
沙发	shā fā	диван
伤心	shāng xīn	печальный
商量	shāng liang	обсудить
稍微	shāo wēi	маленький
勺子	sháo zi	ложка
社会	shè huì	общество
深	shēn	глубокий
申请	shēn qǐng	заявка
甚至	shèn zhì	четный
生活	shēng huó	жизнь
生命	shēng mìng	жизнь
生意	shēng yì	бизнес
省	shěng	провинция
剩	shèng	остатки
失败	shī bài	неудача
失望	shī wàng	расстроен
师傅	shī fu	мастер
十分	shí fēn	очень
实际	shí jì	актуальный
实在	shí zài	действительно
使	shǐ	сделать
使用	shǐ yòng	использовать
世纪	shì jì	век
是否	shì fǒu	будь то
适合	shì hé	подходит для
适应	shì yìng	адаптироваться
收	shōu	получить
收入	shōu rù	доход
收拾	shōu shi	паковать
首都	shǒu dū	капитал
首先	shǒu xiān	прежде всего
受不了	shòu bù liǎo	терпеть не могу
受到	shòu dào	страдать
售货员	shòu huò yuán	продавец
输	shū	терять
熟悉	shú xī	знаком с
数量	shù liàng	количество
数字	shù zì	цифровой
帅	shuài	красивый
顺便	shùn biàn	кстати
顺利	shùn lì	плавно
顺序	shùn xù	заказ
说明	shuō míng	описание
硕士	shuò shì	степень магистра
死	sǐ	мертвый
塑料袋	sù liào dài	полиэтиленовый пакет
速度	sù dù	скорость
酸	suān	кислота
随便	suí biàn	повседневная
随着	suí zhe	вместе с
孙子	sūn zi	внук
所有	suǒ yǒu	все
台	tái	станция
抬	tái	лифт
态度	tài du	отношение
弹钢琴	tán gāng qín	играть на пианино
谈	tán	разговаривать
汤	tāng	суп
糖	táng	сахар
躺	tǎng	прилягте
趟	tàng	поездка
讨论	tǎo lùn	обсудить
讨厌	tǎo yàn	ненавидеть
特点	tè diǎn	характеристики
提	tí	упомянуть
提供	tí gōng	предоставлять
提前	tí qián	заблаговременно
提醒	tí xǐng	напомнить
填空	tián kòng	заполнить бланк
条件	tiáo jiàn	состояние
停	tíng	стоп
挺	tǐng	очень
通过	tōng guò	от
通知	tōng zhī	уведомление
同情	tóng qíng	сочувствие
同时	tóng shí	одновременно
推	tuī	от себя
推迟	tuī chí	отложить
脱	tuō	взлететь
袜子	wà zi	носок
完全	wán quán	полный
往往	wǎng wǎng	довольно часто
网球	wǎng qiú	большой теннис
网站	wǎng zhàn	веб-сайт
危险	wēi xiǎn	опасность
卫生间	wèi shēng jiān	ванная
味道	wèi dào	вкус
温度	wēn dù	температура
文章	wén zhāng	статья
污染	wū rǎn	загрязнение
无	wú	нет
无聊	wú liáo	скучно
无论	wú lùn	несмотря на
误会	wù huì	недоразумение
吸引	xī yǐn	привлекать
西红柿	xī hóng shì	помидор
咸	xián	соленый
现金	xiàn jīn	наличные
羡慕	xiàn mù	зависть
相反	xiāng fǎn	по сравнению
相同	xiāng tóng	то же
香	xiāng	ароматный
详细	xiáng xì	подробный
响	xiǎng	кольцо
橡皮	xiàng pí	резинка
消息	xiāo xi	новости
小吃	xiǎo chī	закуска
小伙子	xiǎo huǒ zi	парень
小说	xiǎo shuō	фантастика
效果	xiào guǒ	эффект
笑话	xiào huà	шутка
心情	xīn qíng	настроение
辛苦	xīn kǔ	жесткий
信封	xìn fēng	конверт
信息	xìn xī	информация
信心	xìn xīn	уверенность
兴奋	xīng fèn	в восторге
行	xíng	строка
醒	xǐng	просыпаться
幸福	xìng fú	счастливый
性别	xìng bié	пол
性格	xìng gé	персонаж
修理	xiū lǐ	ремонт
许多	xǔ duō	много
学期	xué qī	семестр
呀	ya	да уж
压力	yā lì	давление
牙膏	yá gāo	зубная паста
亚洲	yà zhōu	азия
严格	yán gé	строгий
严重	yán zhòng	серьезный
盐	yán	соль
研究	yán jiū	изучение
演出	yǎn chū	шоу
演员	yǎn yuán	актер
眼镜	yǎn jìng	очки
阳光	yáng guāng	солнечный лучик
养成	yǎng chéng	разработать
样子	yàng zi	выглядит как
邀请	yāo qǐng	пригласить
要是	yào shi	если
钥匙	yào shi	ключ
也许	yě xǔ	может быть
叶子	yè zi	лист
页	yè	страница
一切	yī qiè	все
以	yǐ	чтобы
以为	yǐ wéi	думать
意见	yì jiàn	мнение
艺术	yì shù	изобразительное искусство
因此	yīn cǐ	следовательно
引起	yǐn qǐ	причина
印象	yìn xiàng	впечатление
赢	yíng	выиграть
应聘	yìng pìn	подать заявку на
勇敢	yǒng gǎn	храбрый
永远	yǒng yuǎn	вечно и навсегда
优点	yōu diǎn	преимущество
优秀	yōu xiù	превосходно
幽默	yōu mò	юмор
尤其	yóu qí	особенно
由	yóu	от
由于	yóu yú	из-за
邮局	yóu jú	почта
友好	yǒu hǎo	дружелюбный
友谊	yǒu yì	дружба
有趣	yǒu qù	интересно
于是	yú shì	тогда
愉快	yú kuài	счастливый
与	yǔ	против
羽毛球	yǔ máo qiú	бадминтон
语法	yǔ fǎ	грамматика
语言	yǔ yán	язык
预习	yù xí	предварительный просмотр
原来	yuán lái	оригинал
原谅	yuán liàng	простить
原因	yuán yīn	причина
约会	yuē huì	деловое свидание, встреча
阅读	yuè dú	читать
云	yún	облако
允许	yǔn xǔ	позволять
杂志	zá zhì	журнал
咱们	zán men	мы
暂时	zàn shí	временно
脏	zāng	грязный
责任	zé rèn	обязанность
增加	zēng jiā	увеличение
占线	zhàn xiàn	занятый
招聘	zhāo pìn	набор персонала
照	zhào	в соответствии с
真正	zhēn zhèng	настоящий
整理	zhěng lǐ	отсоритровать
正常	zhèng cháng	обычный
正好	zhèng hǎo	в самый раз
正确	zhèng què	верный
正式	zhèng shì	формальный
证明	zhèng míng	доказать
之	zhī	из
支持	zhī chí	ожидать
知识	zhī shi	знания
值得	zhí de	стоило того
植物	zhí wù	завод
直接	zhí jiē	непосредственный
职业	zhí yè	профессия
只好	zhǐ hǎo	должен был
只要	zhǐ yào	пока
指	zhǐ	означает
至少	zhì shǎo	по крайней мере
质量	zhì liàng	качество
重	zhòng	вес
重点	zhòng diǎn	фокус
重视	zhòng shì	значение
周围	zhōu wéi	около
主意	zhǔ yi	идея
祝贺	zhù hè	поздравляют
著名	zhù míng	известный
专门	zhuān mén	специализированный
专业	zhuān yè	профессия
转	zhuǎn	поворот
赚	zhuàn	заработать
准确	zhǔn què	точный
准时	zhǔn shí	вовремя
仔细	zǐ xì	осторожный
自然	zì rán	естественный
自信	zì xìn	уверенность
总结	zǒng jié	подводить итоги
租	zū	арендная плата
最好	zuì hǎo	самый лучший
尊重	zūn zhòng	уважение
左右	zuǒ yòu	около
作家	zuò jiā	писатель
作用	zuò yòng	эффект
作者	zuò zhě	автор
座	zuò	сиденье
座位	zuò wèi	сиденье
