啊	a	was
奇怪	qí guài	seltsam
骑	qí	reiten
起飞	qǐ fēi	ausziehen, starten, abheben, losfahren
起来	qǐ lái	aufstehen
清楚	qīng chu	klar
请假	qǐng jià	um beurlaubung bitten
秋	qiū	herbst
裙子	qún zi	rock
然后	rán hòu	dann
热情	rè qíng	begeisterung
认为	rèn wéi	überlegen
认真	rèn zhēn	ernst
容易	róng yì	einfach
如果	rú guǒ	im falle
伞	sǎn	regenschirm
上网	shàng wǎng	online gehen
声音	shēng yīn	klang
生气	shēng qì	verärgert
世界	shì jiè	welt
试	shì	prüfung
瘦	shòu	dünn
叔叔	shū shu	onkel
舒服	shū fu	gemütlich
数学	shù xué	mathematik
树	shù	baum
刷牙	shuā yá	putz dir die zähne
双	shuāng	doppelt
水平	shuǐ píng	niveau
司机	sī jī	treiber
太阳	tài yáng	sonne
特别	tè bié	insbesondere
疼	téng	schmerzen
提高	tí gāo	verbessern
体育	tǐ yù	bewegungserziehung, körpererziehung, leibeserziehung
甜	tián	süss
条	tiáo	artikel
同事	tóng shì	kollege
同意	tóng yì	zustimmen
头发	tóu fa	haar
突然	tū rán	plötzlich
图书馆	tú shū guǎn	bibliothek
腿	tuǐ	bein
完成	wán chéng	durchführen
碗	wǎn	schüssel
万	wàn	zehntausend
忘记	wàng jì	vergessen
为	wèi	zum
为了	wèi le	damit
位	wèi	bisschen
文化	wén huà	kultur
西	xī	oo
习惯	xí guàn	gewohnheit
洗手间	xǐ shǒu jiān	toilette
洗澡	xǐ zǎo	ein bad nehmen
夏	xià	sommer-
先	xiān	zuerst
相信	xiāng xìn	glauben
香蕉	xiāng jiāo	banane
像	xiàng	mögen
向	xiàng	zu
小心	xiǎo xīn	achtung
校长	xiào zhǎng	schulleiter
新闻	xīn wén	nachrichten
新鲜	xīn xiān	frisch
信用卡	xìn yòng kǎ	kreditkarte
行李箱	xíng lǐ xiāng	kofferraum
熊猫	xióng māo	panda
需要	xū yào	brauchen
选择	xuǎn zé	wählen
要求	yāo qiú	anspruch
爷爷	yé ye	großvater
一直	yī zhí	immer
一定	yí dìng	sicher
一共	yī gòng	gesamt
一会儿	yī huì er	längere zeit
一样	yī yàng	gleich
以前	yǐ qián	vor
一般	yī bān	allgemeines
一边	yī biān	eine seite
音乐	yīn yuè	musik-
银行	yín háng	bank
饮料	yǐn liào	trinken
应该	yīng gāi	sollte
影响	yǐng xiǎng	einflüsse
用	yòng	verwenden
游戏	yóu xì	spiel
有名	yǒu míng	berühmt
又	yòu	ebenfalls
遇到	yù dào	begegnung
元	yuán	yuan
愿意	yuàn yì	bereit
月亮	yuè liang	mond
越	yuè	mehr
站	zhàn	bahnhof
张	zhāng	zhang
长	zhǎng	lang (verb)
着急	zháo jí	ängstlich
照顾	zhào gu	kümmer dich um
照片	zhào piàn	foto
照相机	zhào xiàng jī	kamera
只	zhǐ	nur (adverb)
只	zhǐ	nur (quantifizierer)
只有…才…	zhǐ yǒu …cái …	nur...
中间	zhōng jiān	mittlere
中文	zhōng wén	chinesisch
终于	zhōng yú	zu guter letzt
种	zhǒng	spezies (quantifizierer)
重要	zhòng yào	wichtig
周末	zhōu mò	wochenende
主要	zhǔ yào	main
注意	zhù yì	hinweis
自己	zì jǐ	man selbst
自行车	zì xíng chē	fahrrad
总是	zǒng shì	immer
嘴	zuǐ	mund
最后	zuì hòu	zu guter letzt
最近	zuì jìn	kürzlich
作业	zuò yè	operation
