爱情	ài qíng	liebe
房东	fáng dōng	vermieter
放弃	fàng qì	gib auf
放暑假	fàng shǔ jià	sommerferien
放松	fàng sōng	entspannen
份	fèn	teilen
丰富	fēng fù	reich
否则	fǒu zé	andernfalls
符合	fú hé	trifft die
付款	fù kuǎn	zahlung
复印	fù yìn	kopieren
复杂	fù zá	komplex
富	fù	reich
父亲	fù qīn	vater
负责	fù zé	verantwortlich für
改变	gǎi biàn	veränderung
干杯	gān bēi	prost
感动	gǎn dòng	ziehen um
感觉	gǎn jué	gefühl
感情	gǎn qíng	gefühl
感谢	gǎn xiè	danken
敢	gǎn	wagen
赶	gǎn	eilen
干	gàn	trocken
刚	gāng	gerade
高速公路	gāo sù gōng lù	autobahn
胳膊	gē bo	arm
各	gè	jeder
公里	gōng lǐ	kilometer
功夫	gōng fu	anstrengung
工资	gōng zī	lohn
共同	gòng tóng	verbreitet
够	gòu	genug
购物	gòu wù	einkaufen
估计	gū jì	schätzen
鼓励	gǔ lì	ermutigen
故意	gù yì	bewusst
顾客	gù kè	kunde
挂	guà	aufhängen
关键	guān jiàn	das essenzielle
观众	guān zhòng	publikum
管理	guǎn lǐ	management
光	guāng	licht
广播	guǎng bō	übertragung
广告	guǎng gào	werbung
逛	guàng	besuch
规定	guī dìng	vereinbaren
国籍	guó jí	staatsbürgerschaftsland
国际	guó jì	international
果汁	guǒ zhī	fruchtsaft
过程	guò chéng	prozess
海洋	hǎi yáng	ozean
害羞	hài xiū	schüchtern
寒假	hán jià	winterurlaub
汗	hàn	schweiß
航班	háng bān	flug
好处	hǎo chu	vorteil
好像	hǎo xiàng	mögen
号码	hào mǎ	nummer
合格	hé gé	qualifiziert
合适	hé shì	geeignet
盒子	hé zi	box
厚	hòu	dick
后悔	hòu huǐ	bedauern
互联网	hù lián wǎng	das internet
互相	hù xiāng	gegenseitig
护士	hù shi	krankenschwester
怀疑	huái yí	zweifel
回忆	huí yì	erinnerungen
活动	huó dòng	aktivität
活泼	huó po	lebhaft
火	huǒ	feuer
获得	huò dé	erhalten
基础	jī chǔ	basis
激动	jī dòng	aufregung
积极	jī jí	positiv
积累	jī lěi	akkumulation
即使	jí shǐ	selbst wenn
及时	jí shí	rechtzeitig
寄	jì	senden
技术	jì shù	technologie
既然	jì rán	schon seit
继续	jì xù	fortfahren
计划	jì huà	planen
记者	jì zhě	reporter
加班	jiā bān	im laufe der zeit
加油站	jiā yóu zhàn	gas
家具	jiā jù	möbel
假	jiǎ	falsch
价格	jià gé	preis
坚持	jiān chí	sich an etw. halten
减肥	jiǎn féi	abnehmen
减少	jiǎn shǎo	rückschnitt
建议	jiàn yì	vorschlagen
将来	jiāng lái	zukunft
奖金	jiǎng jīn	bonus
降低	jiàng dī	reduzieren
降落	jiàng luò	landung
交	jiāo	kreuz
交流	jiāo liú	kommunizieren mit
交通	jiāo tōng	der verkehr
郊区	jiāo qū	vororte
骄傲	jiāo ào	stolz
饺子	jiǎo zi	knödel
教授	jiào shòu	professor
教育	jiào yù	bildung
接受	jiē shòu	akzeptieren
接着	jiē zhe	dann
结果	jié guǒ	ergebnis
节	jié	sektion
节约	jié yuē	speichern
解释	jiě shì	erläuterung
尽管	jǐn guǎn	trotz
紧张	jǐn zhāng	spannung
禁止	jìn zhǐ	verbieten
进行	jìn xíng	zusteigen, einsteigen, vorwärtskommen
京剧	jīng jù	pekingoper
精彩	jīng cǎi	wunderbar
经济	jīng jì	wirtschaftlich
经历	jīng lì	erfahrung
经验	jīng yàn	erfahrung
景色	jǐng sè	aussicht
警察	jǐng chá	polizisten
竞争	jìng zhēng	wettbewerb
竟然	jìng rán	tatsächlich
镜子	jìng zi	spiegel
究竟	jiū jìng	genau
举	jǔ	aufzug
举办	jǔ bàn	halt
举行	jǔ xíng	halt
拒绝	jù jué	sich weigern
聚会	jù huì	zusammenkommen
距离	jù lí	entfernung
开玩笑	kāi wán xiào	scherz
开心	kāi xīn	glücklich
看法	kàn fǎ	aussicht
烤鸭	kǎo yā	entenbraten
考虑	kǎo lv4	erwägen
棵	kē	baum
科学	kē xué	wissenschaft
咳嗽	ké sou	husten
可怜	kě lián	erbärmlich
可是	kě shì	aber
可惜	kě xī	unglücklicherweise
客厅	kè tīng	wohnzimmer
肯定	kěn dìng	sicher
空	kōng	luft
空气	kōng qì	luft
恐怕	kǒng pà	ich fürchte
苦	kǔ	bitter
矿泉水	kuàng quán shuǐ	mineralwasser
困	kùn	schläfrig
困难	kùn nan	schwer
垃圾桶	lā jī tǒng	mülleimer
拉	lā	ziehen
辣	là	heiß
来不及	lái bu jí	zu spät
来得及	lái de jí	zu spät
来自	lái zì	von
懒	lǎn	faul
浪费	làng fèi	abfall
浪漫	làng màn	romantisch
老虎	lǎo hǔ	tiger
冷静	lěng jìng	ruhe
理发	lǐ fà	haarschnitt
理解	lǐ jiě	verstehen
理想	lǐ xiǎng	ideal
礼拜天	lǐ bài tiān	sonntag
礼貌	lǐ mào	höflichkeit
例如	lì rú	z.b
力气	lì qi	stärke
厉害	lì hai	toll
俩	liǎ	beide
联系	lián xì	kontakt
连	lián	sogar
凉快	liáng kuai	beruhigen
零钱	líng qián	kleine veränderung
另外	lìng wài	und dazu
流利	liú lì	fließend
流行	liú xíng	beliebt
留	liú	bleibe
旅行	lǚ xíng	reise
乱	luàn	chaos
律师	lv4 shī	anwalt
麻烦	má fan	ärger
马虎	mǎ hu	leichtsinnig
满	mǎn	voll
毛	máo	haar
毛巾	máo jīn	handtuch
美丽	měi lì	wunderschönen
梦	mèng	traum
迷路	mí lù	hau ab
密码	mì mǎ	passwort
免费	miǎn fèi	frei
秒	miǎo	zweite
民族	mín zú	nation
母亲	mǔ qīn	mutter
目的	mù dì	zweck
耐心	nài xīn	geduldig
难道	nán dào	ist es
难受	nán shòu	unbequem
内	nèi	innerhalb
内容	nèi róng	inhalt
能力	néng lì	fähigkeit
年龄	nián líng	alter
弄	nòng	machen
暖和	nuǎn huo	warm
偶尔	ǒu ěr	gelegentlich
排队	pái duì	warteschlange
排列	pái liè	anordnung
判断	pàn duàn	beurteilung
陪	péi	begleiten
批评	pī píng	kritik
皮肤	pí fū	haut
脾气	pí qi	temperament
篇	piān	artikel
骗	piàn	betrügen
乒乓球	pīng pāng qiú	tischtennis
平时	píng shí	gewöhnlich
破	pò	gebrochen
葡萄	pú tao	traube
普遍	pǔ biàn	universal-
普通话	pǔ tōng huà	mandarin
其次	qí cì	zweitens
其中	qí zhōng	unter ihnen
气候	qì hòu	klima
千万	qiān wàn	zehn millionen
签证	qiān zhèng	visa
敲	qiāo	klopfen
桥	qiáo	brücke
巧克力	qiǎo kè lì	schokolade
亲戚	qīn qi	relativ
轻	qīng	licht
轻松	qīng sōng	einfach
情况	qíng kuàng	ereignis
穷	qióng	arm
区别	qū bié	der unterschied
取	qǔ	nehmen
全部	quán bù	alles
缺点	quē diǎn	nachteil
缺少	quē shǎo	mangel
却	què	aber
确实	què shí	tatsächlich
然而	rán ér	jedoch
热闹	rè nao	lebhaft
任何	rèn hé	irgendein
任务	rèn wu	aufgabe
扔	rēng	werfen
仍然	réng rán	immer noch
日记	rì jì	tagebuch
入口	rù kǒu	eingang
散步	sàn bù	spazieren gehen
森林	sēn lín	wald
沙发	shā fā	sofa
伤心	shāng xīn	traurig
商量	shāng liang	diskutieren
稍微	shāo wēi	ein wenig
勺子	sháo zi	löffel
社会	shè huì	gesellschaft
深	shēn	tief
申请	shēn qǐng	anwendung
甚至	shèn zhì	sogar
生活	shēng huó	leben
生命	shēng mìng	leben
生意	shēng yì	unternehmen
省	shěng	provinz
剩	shèng	übrig bleiben
失败	shī bài	fehler
失望	shī wàng	enttäuscht
师傅	shī fu	meister
十分	shí fēn	sehr
实际	shí jì	tatsächlich
实在	shí zài	ja wirklich
使	shǐ	machen
使用	shǐ yòng	verwenden
世纪	shì jì	jahrhundert
是否	shì fǒu	ob
适合	shì hé	passend für
适应	shì yìng	anpassen
收	shōu	erhalten
收入	shōu rù	einkommen
收拾	shōu shi	pack
首都	shǒu dū	hauptstadt
首先	shǒu xiān	als allererstes
受不了	shòu bù liǎo	kann es nicht aushalten
受到	shòu dào	leiden
售货员	shòu huò yuán	verkäufer
输	shū	verlieren
熟悉	shú xī	vertraut mit
数量	shù liàng	menge
数字	shù zì	digital
帅	shuài	gut aussehend
顺便	shùn biàn	apropos
顺利	shùn lì	glatt
顺序	shùn xù	bestellen
说明	shuō míng	beschreibung
硕士	shuò shì	master-studium
死	sǐ	tot
塑料袋	sù liào dài	plastiktüte
速度	sù dù	geschwindigkeit
酸	suān	acid
随便	suí biàn	beiläufig
随着	suí zhe	zusammen mit
孙子	sūn zi	enkel
所有	suǒ yǒu	alles
台	tái	bahnhof
抬	tái	aufzug
态度	tài du	einstellung
弹钢琴	tán gāng qín	klavier spielen
谈	tán	sich unterhalten
汤	tāng	suppe
糖	táng	zucker
躺	tǎng	hinlegen
趟	tàng	ausflug
讨论	tǎo lùn	diskutieren
讨厌	tǎo yàn	hass
特点	tè diǎn	eigenschaften
提	tí	erwähnen
提供	tí gōng	zur verfügung stellen
提前	tí qián	im voraus
提醒	tí xǐng	erinnern
填空	tián kòng	fülle die lücke aus
条件	tiáo jiàn	bedingung
停	tíng	halt
挺	tǐng	sehr
通过	tōng guò	durch
通知	tōng zhī	beachten
同情	tóng qíng	sympathie
同时	tóng shí	gleichzeitig
推	tuī	drücken
推迟	tuī chí	aufschieben
脱	tuō	ausziehen, starten, abheben, losfahren
袜子	wà zi	socke
完全	wán quán	komplett
往往	wǎng wǎng	häufig
网球	wǎng qiú	tennis
网站	wǎng zhàn	webseite
危险	wēi xiǎn	achtung
卫生间	wèi shēng jiān	badezimmer
味道	wèi dào	geschmack
温度	wēn dù	temperatur
文章	wén zhāng	artikel
污染	wū rǎn	verschmutzung
无	wú	nein
无聊	wú liáo	gelangweilt
无论	wú lùn	ungeachtet
误会	wù huì	missverständnis
吸引	xī yǐn	anziehen
西红柿	xī hóng shì	tomate
咸	xián	salzig
现金	xiàn jīn	kasse
羡慕	xiàn mù	neid
相反	xiāng fǎn	im gegensatz
相同	xiāng tóng	das gleiche
香	xiāng	duftend
详细	xiáng xì	detailliert
响	xiǎng	ring
橡皮	xiàng pí	gummi
消息	xiāo xi	nachrichten
小吃	xiǎo chī	snack
小伙子	xiǎo huǒ zi	junge
小说	xiǎo shuō	fiktion
效果	xiào guǒ	bewirken
笑话	xiào huà	scherz
心情	xīn qíng	stimmung
辛苦	xīn kǔ	hart
信封	xìn fēng	briefumschlag
信息	xìn xī	information
信心	xìn xīn	vertrauen
兴奋	xīng fèn	aufgeregt
行	xíng	reihe
醒	xǐng	aufwachen
幸福	xìng fú	glücklich
性别	xìng bié	geschlecht
性格	xìng gé	charakter
修理	xiū lǐ	reparatur
许多	xǔ duō	viel
学期	xué qī	semester
呀	ya	ja
压力	yā lì	druck
牙膏	yá gāo	zahnpasta
亚洲	yà zhōu	asien
严格	yán gé	streng
严重	yán zhòng	ernst
盐	yán	salz-
研究	yán jiū	die studium
演出	yǎn chū	show
演员	yǎn yuán	darsteller
眼镜	yǎn jìng	brille
阳光	yáng guāng	sonnenlicht
养成	yǎng chéng	sich entwickeln
样子	yàng zi	aussehen wie
邀请	yāo qǐng	einladen
要是	yào shi	wenn
钥匙	yào shi	schlüssel
也许	yě xǔ	vielleicht
叶子	yè zi	blatt
页	yè	seite
一切	yī qiè	alles
以	yǐ	zu
以为	yǐ wéi	überlegen
意见	yì jiàn	meinung
艺术	yì shù	kunst
因此	yīn cǐ	deshalb
引起	yǐn qǐ	ursache
印象	yìn xiàng	eindruck
赢	yíng	sieg
应聘	yìng pìn	bewerben für
勇敢	yǒng gǎn	mutig
永远	yǒng yuǎn	für immer und ewig
优点	yōu diǎn	vorteil
优秀	yōu xiù	ausgezeichnet
幽默	yōu mò	humor
尤其	yóu qí	insbesondere
由	yóu	durch
由于	yóu yú	durch
邮局	yóu jú	postfiliale
友好	yǒu hǎo	freundlich
友谊	yǒu yì	freundschaft
有趣	yǒu qù	interessant
于是	yú shì	dann
愉快	yú kuài	glücklich
与	yǔ	gegen
羽毛球	yǔ máo qiú	badminton
语法	yǔ fǎ	grammatik
语言	yǔ yán	sprache
预习	yù xí	vorschau
原来	yuán lái	original
原谅	yuán liàng	verzeihen
原因	yuán yīn	der grund
约会	yuē huì	geplanter termin
阅读	yuè dú	lesen
云	yún	wolke
允许	yǔn xǔ	ermöglichen
杂志	zá zhì	zeitschrift
咱们	zán men	wir
暂时	zàn shí	vorübergehend
脏	zāng	schmutzig
责任	zé rèn	verantwortung
增加	zēng jiā	erhöhen, ansteigen
占线	zhàn xiàn	beschäftigt
招聘	zhāo pìn	rekrutierung
照	zhào	gemäß
真正	zhēn zhèng	echt
整理	zhěng lǐ	aussortieren
正常	zhèng cháng	normal
正好	zhèng hǎo	genau richtig
正确	zhèng què	richtig
正式	zhèng shì	formal
证明	zhèng míng	beweisen
之	zhī	von
支持	zhī chí	bereithalten
知识	zhī shi	wissen
值得	zhí de	es ist es wert
植物	zhí wù	pflanze
直接	zhí jiē	direkte
职业	zhí yè	beruf
只好	zhǐ hǎo	musste
只要	zhǐ yào	so lange wie
指	zhǐ	meint
至少	zhì shǎo	wenigstens
质量	zhì liàng	qualität
重	zhòng	gewicht
重点	zhòng diǎn	fokus
重视	zhòng shì	wert
周围	zhōu wéi	um
主意	zhǔ yi	idee
祝贺	zhù hè	gratulieren
著名	zhù míng	berühmt
专门	zhuān mén	spezialisiert
专业	zhuān yè	beruf
转	zhuǎn	wende
赚	zhuàn	verdienen
准确	zhǔn què	genau
准时	zhǔn shí	pünktlich
仔细	zǐ xì	vorsichtig
自然	zì rán	natürlich
自信	zì xìn	vertrauen
总结	zǒng jié	um zusammenzufassen
租	zū	miete
最好	zuì hǎo	das beste
尊重	zūn zhòng	respekt
左右	zuǒ yòu	über
作家	zuò jiā	schriftsteller
作用	zuò yòng	bewirken
作者	zuò zhě	autor
座	zuò	sitz
座位	zuò wèi	sitz
