爱情	ài qíng	amar
继续	jì xù	continue
计划	jì huà	plano
记者	jì zhě	repórter
加班	jiā bān	hora extra
加油站	jiā yóu zhàn	gás
家具	jiā jù	mobília
假	jiǎ	falso
价格	jià gé	preço
坚持	jiān chí	aderir a
减肥	jiǎn féi	perder peso
减少	jiǎn shǎo	cortar
建议	jiàn yì	sugira
将来	jiāng lái	futuro
奖金	jiǎng jīn	bônus
降低	jiàng dī	reduzir
降落	jiàng luò	aterrissagem
交	jiāo	cruz
交流	jiāo liú	comunicar com
交通	jiāo tōng	tráfego
郊区	jiāo qū	subúrbios
骄傲	jiāo ào	orgulhoso
饺子	jiǎo zi	dumplings
教授	jiào shòu	professor
教育	jiào yù	educação
接受	jiē shòu	aceitar
接着	jiē zhe	então
结果	jié guǒ	resultado
节	jié	seção
节约	jié yuē	salvando
解释	jiě shì	explicação
尽管	jǐn guǎn	apesar de
紧张	jǐn zhāng	tensão
禁止	jìn zhǐ	proibir
进行	jìn xíng	subir em
京剧	jīng jù	ópera de pequim
精彩	jīng cǎi	maravilhoso
经济	jīng jì	econômico
经历	jīng lì	experiência
经验	jīng yàn	experiência
景色	jǐng sè	visão
警察	jǐng chá	policiais
竞争	jìng zhēng	concorrência
竟然	jìng rán	na realidade
镜子	jìng zi	espelho
究竟	jiū jìng	exatamente
举	jǔ	lift
举办	jǔ bàn	aguarde
举行	jǔ xíng	aguarde
拒绝	jù jué	recusar
聚会	jù huì	juntar
距离	jù lí	distância
开玩笑	kāi wán xiào	piada
开心	kāi xīn	feliz
看法	kàn fǎ	visão
烤鸭	kǎo yā	pato assado
考虑	kǎo lv4	considerar
棵	kē	árvore
科学	kē xué	ciência
咳嗽	ké sou	tosse
可怜	kě lián	patético
可是	kě shì	mas
可惜	kě xī	infelizmente
客厅	kè tīng	sala de estar
肯定	kěn dìng	certo
空	kōng	ar
空气	kōng qì	ar
恐怕	kǒng pà	eu estou com medo
苦	kǔ	amargo
矿泉水	kuàng quán shuǐ	água mineral
困	kùn	sonolento
困难	kùn nan	difícil
垃圾桶	lā jī tǒng	lixeira
拉	lā	puxar
辣	là	quente
来不及	lái bu jí	muito tarde
来得及	lái de jí	muito tarde
来自	lái zì	de
懒	lǎn	preguiçoso
浪费	làng fèi	desperdício
浪漫	làng màn	romântico
老虎	lǎo hǔ	tigre
冷静	lěng jìng	calma
理发	lǐ fà	corte de cabelo
理解	lǐ jiě	compreensão
理想	lǐ xiǎng	ideal
礼拜天	lǐ bài tiān	domigo
礼貌	lǐ mào	cortesia
例如	lì rú	por exemplo
力气	lì qi	força
厉害	lì hai	ótimo
俩	liǎ	ambos
联系	lián xì	contato
连	lián	até
凉快	liáng kuai	se refrescar
零钱	líng qián	pequena mudança
另外	lìng wài	além do que, além do mais
流利	liú lì	fluente
流行	liú xíng	popular
留	liú	fique
旅行	lǚ xíng	viagem
乱	luàn	caos
律师	lv4 shī	advogado
麻烦	má fan	problema
马虎	mǎ hu	descuidado
满	mǎn	cheio
毛	máo	cabelo
毛巾	máo jīn	toalha
美丽	měi lì	lindo
梦	mèng	sonhe
迷路	mí lù	dá o fora
密码	mì mǎ	senha
免费	miǎn fèi	livre
秒	miǎo	segundo
民族	mín zú	nação
母亲	mǔ qīn	mãe
目的	mù dì	objetivo
耐心	nài xīn	paciente
难道	nán dào	é isso
难受	nán shòu	desconfortável
内	nèi	dentro
内容	nèi róng	conteúdo
能力	néng lì	habilidade
年龄	nián líng	era
弄	nòng	faz
暖和	nuǎn huo	caloroso
偶尔	ǒu ěr	ocasionalmente
排队	pái duì	fila
排列	pái liè	arranjo
判断	pàn duàn	julgamento
陪	péi	acompanhar
批评	pī píng	crítica
皮肤	pí fū	pele
脾气	pí qi	temperamento
篇	piān	artigos
骗	piàn	enganação
乒乓球	pīng pāng qiú	pingue-pongue
平时	píng shí	geralmente
破	pò	partido
葡萄	pú tao	uva
普遍	pǔ biàn	universal
普通话	pǔ tōng huà	mandarim
其次	qí cì	em segundo lugar
其中	qí zhōng	entre eles
气候	qì hòu	clima
千万	qiān wàn	dez milhões
签证	qiān zhèng	visto
敲	qiāo	batida
桥	qiáo	ponte
巧克力	qiǎo kè lì	chocolate
亲戚	qīn qi	relativo
轻	qīng	luz
轻松	qīng sōng	fácil
情况	qíng kuàng	acontecendo
穷	qióng	pobre
区别	qū bié	a diferença
取	qǔ	toma
全部	quán bù	todos
缺点	quē diǎn	desvantagem
缺少	quē shǎo	falta
却	què	mas
确实	què shí	de fato
然而	rán ér	contudo
热闹	rè nao	animado
任何	rèn hé	qualquer
任务	rèn wu	tarefa
扔	rēng	lançar
仍然	réng rán	ainda
日记	rì jì	diário
入口	rù kǒu	entrada
散步	sàn bù	dar um passeio
森林	sēn lín	floresta
沙发	shā fā	sofá
伤心	shāng xīn	triste
商量	shāng liang	discutir
稍微	shāo wēi	um pouco
勺子	sháo zi	colher
社会	shè huì	sociedade
深	shēn	profundo
申请	shēn qǐng	inscrição
甚至	shèn zhì	até
生活	shēng huó	vida
生命	shēng mìng	vida
生意	shēng yì	o negócio
省	shěng	província
剩	shèng	sobras
失败	shī bài	falha
失望	shī wàng	desapontado
师傅	shī fu	mestre
十分	shí fēn	muito
实际	shí jì	real
实在	shí zài	realmente
使	shǐ	faço
使用	shǐ yòng	usar
世纪	shì jì	século
是否	shì fǒu	se
适合	shì hé	adequado para
适应	shì yìng	adaptar
收	shōu	receber
收入	shōu rù	renda
收拾	shōu shi	pacote
首都	shǒu dū	capital
首先	shǒu xiān	em primeiro lugar
受不了	shòu bù liǎo	não aguento mais
受到	shòu dào	sofra
售货员	shòu huò yuán	vendedor
输	shū	perder
熟悉	shú xī	familiar com
数量	shù liàng	quantidade
数字	shù zì	digital
帅	shuài	bonito
顺便	shùn biàn	a propósito
顺利	shùn lì	suavemente
顺序	shùn xù	ordem
说明	shuō míng	descrição
硕士	shuò shì	mestrado
死	sǐ	morto
塑料袋	sù liào dài	saco de plástico
速度	sù dù	rapidez
酸	suān	ácido
随便	suí biàn	casual
随着	suí zhe	junto com
孙子	sūn zi	neto
所有	suǒ yǒu	todos
台	tái	estação
抬	tái	lift
态度	tài du	atitude
弹钢琴	tán gāng qín	tocar piano
谈	tán	falar
汤	tāng	sopa
糖	táng	açúcar
躺	tǎng	deitar
趟	tàng	viagem
讨论	tǎo lùn	discutir
讨厌	tǎo yàn	ódio
特点	tè diǎn	características
提	tí	menção
提供	tí gōng	providenciar
提前	tí qián	antecipadamente
提醒	tí xǐng	lembrar
填空	tián kòng	preencha o espaço em branco
条件	tiáo jiàn	doença
停	tíng	pare
挺	tǐng	muito
通过	tōng guò	por
通知	tōng zhī	aviso prévio
同情	tóng qíng	simpatia
同时	tóng shí	simultaneamente
推	tuī	empurrar
推迟	tuī chí	adiar
脱	tuō	descolar
袜子	wà zi	meia
完全	wán quán	completo
往往	wǎng wǎng	frequentemente
网球	wǎng qiú	tênis
网站	wǎng zhàn	local na rede internet
危险	wēi xiǎn	perigo
卫生间	wèi shēng jiān	banheiro
味道	wèi dào	gosto
温度	wēn dù	temperatura
文章	wén zhāng	artigo
污染	wū rǎn	poluição
无	wú	não
无聊	wú liáo	entediado
无论	wú lùn	independentemente
误会	wù huì	mal entendido
吸引	xī yǐn	atrai
西红柿	xī hóng shì	tomate
咸	xián	salgado
现金	xiàn jīn	dinheiro
羡慕	xiàn mù	inveja
相反	xiāng fǎn	em contraste
相同	xiāng tóng	o mesmo
香	xiāng	perfumado
详细	xiáng xì	detalhado
响	xiǎng	anel
橡皮	xiàng pí	borracha
消息	xiāo xi	notícia
小吃	xiǎo chī	lanche
小伙子	xiǎo huǒ zi	rapaz
小说	xiǎo shuō	ficção
效果	xiào guǒ	efeito
笑话	xiào huà	piada
心情	xīn qíng	humor
辛苦	xīn kǔ	difícil
信封	xìn fēng	envelope
信息	xìn xī	em formação
信心	xìn xīn	confiança
兴奋	xīng fèn	animado
行	xíng	linha
醒	xǐng	despertar
幸福	xìng fú	feliz
性别	xìng bié	gênero
性格	xìng gé	personagem
修理	xiū lǐ	reparar
许多	xǔ duō	muito de
学期	xué qī	semestre
呀	ya	sim
压力	yā lì	pressão
牙膏	yá gāo	pasta de dentes
亚洲	yà zhōu	ásia
严格	yán gé	rigoroso
严重	yán zhòng	grave
盐	yán	sal
研究	yán jiū	o estudo
演出	yǎn chū	mostrar
演员	yǎn yuán	ator
眼镜	yǎn jìng	óculos
阳光	yáng guāng	luz solar
养成	yǎng chéng	desenvolve
样子	yàng zi	parece
邀请	yāo qǐng	convite
要是	yào shi	e se
钥匙	yào shi	chave
也许	yě xǔ	talvez
叶子	yè zi	folha
页	yè	página
一切	yī qiè	todos
以	yǐ	para
以为	yǐ wéi	pensar
意见	yì jiàn	opinião
艺术	yì shù	arte
因此	yīn cǐ	portanto
引起	yǐn qǐ	causa
印象	yìn xiàng	impressão
赢	yíng	ganhar
应聘	yìng pìn	candidatar-se a
勇敢	yǒng gǎn	bravo
永远	yǒng yuǎn	para sempre e depois
优点	yōu diǎn	vantagem
优秀	yōu xiù	excelente
幽默	yōu mò	humor
尤其	yóu qí	especialmente
由	yóu	por
由于	yóu yú	devido a
邮局	yóu jú	agência dos correios
友好	yǒu hǎo	amigáveis
友谊	yǒu yì	amizade
有趣	yǒu qù	interessante
于是	yú shì	então
愉快	yú kuài	feliz
与	yǔ	versus
羽毛球	yǔ máo qiú	badminton
语法	yǔ fǎ	gramática
语言	yǔ yán	língua
预习	yù xí	antevisão
原来	yuán lái	original
原谅	yuán liàng	perdoar
原因	yuán yīn	o motivo
约会	yuē huì	compromisso
阅读	yuè dú	ler
云	yún	nuvem
允许	yǔn xǔ	permitir
杂志	zá zhì	revista
咱们	zán men	nós
暂时	zàn shí	temporariamente
脏	zāng	sujo
责任	zé rèn	responsabilidade
增加	zēng jiā	aumentar
占线	zhàn xiàn	ocupado
招聘	zhāo pìn	recrutamento
照	zhào	de acordo com
真正	zhēn zhèng	real
整理	zhěng lǐ	separar
正常	zhèng cháng	normal
正好	zhèng hǎo	na medida
正确	zhèng què	corrigir
正式	zhèng shì	formal
证明	zhèng míng	provar
之	zhī	do
支持	zhī chí	modo de espera
知识	zhī shi	conhecimento
值得	zhí de	vale a pena
植物	zhí wù	plantar
直接	zhí jiē	direto
职业	zhí yè	profissão
只好	zhǐ hǎo	tive
只要	zhǐ yào	enquanto
指	zhǐ	significa
至少	zhì shǎo	finalmente
质量	zhì liàng	qualidade
重	zhòng	peso
重点	zhòng diǎn	foco
重视	zhòng shì	valor
周围	zhōu wéi	por aí
主意	zhǔ yi	idéia
祝贺	zhù hè	felicitar
著名	zhù míng	famoso
专门	zhuān mén	especializado
专业	zhuān yè	profissão
转	zhuǎn	virar
赚	zhuàn	ganhar
准确	zhǔn què	preciso
准时	zhǔn shí	na hora
仔细	zǐ xì	cuidado
自然	zì rán	natural
自信	zì xìn	confiança
总结	zǒng jié	resumindo
租	zū	renda
最好	zuì hǎo	ao melhor
尊重	zūn zhòng	respeito
左右	zuǒ yòu	sobre
作家	zuò jiā	escritor
作用	zuò yòng	efeito
作者	zuò zhě	autor
座	zuò	assento
座位	zuò wèi	assento
