啊	a	o que
特别	tè bié	especialmente
疼	téng	dor
提高	tí gāo	melhorar
体育	tǐ yù	educação física
甜	tián	doce
条	tiáo	artigo
同事	tóng shì	colega
同意	tóng yì	aceita
头发	tóu fa	cabelo
突然	tū rán	de repente
图书馆	tú shū guǎn	biblioteca
腿	tuǐ	perna
完成	wán chéng	executar
碗	wǎn	tigela
万	wàn	dez mil
忘记	wàng jì	esqueço
为	wèi	para
为了	wèi le	a fim de
位	wèi	mordeu
文化	wén huà	cultura
西	xī	oo
习惯	xí guàn	hábito
洗手间	xǐ shǒu jiān	banheiro
洗澡	xǐ zǎo	tome um banho
夏	xià	verão
先	xiān	primeiro
相信	xiāng xìn	acreditam
香蕉	xiāng jiāo	banana
像	xiàng	gostar
向	xiàng	para
小心	xiǎo xīn	seja cuidadoso
校长	xiào zhǎng	diretor
新闻	xīn wén	notícia
新鲜	xīn xiān	fresco
信用卡	xìn yòng kǎ	cartão de crédito
行李箱	xíng lǐ xiāng	tronco
熊猫	xióng māo	panda
需要	xū yào	necessidade
选择	xuǎn zé	selecionar
要求	yāo qiú	afirmação
爷爷	yé ye	avô
一直	yī zhí	sempre
一定	yí dìng	com certeza
一共	yī gòng	total
一会儿	yī huì er	um tempo
一样	yī yàng	mesmo
以前	yǐ qián	antes
一般	yī bān	geral
一边	yī biān	um lado
音乐	yīn yuè	música
银行	yín háng	banco
饮料	yǐn liào	bebida
应该	yīng gāi	devemos
影响	yǐng xiǎng	influências
用	yòng	usar
游戏	yóu xì	jogos
有名	yǒu míng	famoso
又	yòu	além disso
遇到	yù dào	encontro
元	yuán	yuan
愿意	yuàn yì	disposto
月亮	yuè liang	lua
越	yuè	mais
站	zhàn	estação
张	zhāng	zhang
长	zhǎng	longo (verbo)
着急	zháo jí	ansioso
照顾	zhào gu	cuide de
照片	zhào piàn	foto
照相机	zhào xiàng jī	câmera
只	zhǐ	apenas (advérbio)
只	zhǐ	apenas (quantificador)
只有…才…	zhǐ yǒu …cái …	somente...
中间	zhōng jiān	intermediário
中文	zhōng wén	chinês
终于	zhōng yú	finalmente
种	zhǒng	espécie (quantificador)
重要	zhòng yào	importante
周末	zhōu mò	final de semana
主要	zhǔ yào	a principal
注意	zhù yì	nota
自己	zì jǐ	você mesmo
自行车	zì xíng chē	bicicleta
总是	zǒng shì	sempre
嘴	zuǐ	boca
最后	zuì hòu	finalmente
最近	zuì jìn	recente
作业	zuò yè	operação
