爱情	ài qíng	사랑
适合	shì hé	적합
适应	shì yìng	개조 하다
收	shōu	받다
收入	shōu rù	수입
收拾	shōu shi	팩
首都	shǒu dū	자본
首先	shǒu xiān	가장 먼저
受不了	shòu bù liǎo	참을 수 없어
受到	shòu dào	참다
售货员	shòu huò yuán	영업 사원
输	shū	잃다
熟悉	shú xī	익숙한
数量	shù liàng	수량
数字	shù zì	디지털
帅	shuài	멋진
顺便	shùn biàn	그런데
顺利	shùn lì	부드럽게
顺序	shùn xù	주문
说明	shuō míng	기술
硕士	shuò shì	석사 학위
死	sǐ	죽은
塑料袋	sù liào dài	비닐 봉투
速度	sù dù	속도
酸	suān	산
随便	suí biàn	평상복
随着	suí zhe	와 함께
孙子	sūn zi	손자
所有	suǒ yǒu	모두
台	tái	역
抬	tái	승강기
态度	tài du	태도
弹钢琴	tán gāng qín	피아노를 치다
谈	tán	이야기
汤	tāng	수프
糖	táng	설탕
躺	tǎng	눕다
趟	tàng	여행
讨论	tǎo lùn	논의하다
讨厌	tǎo yàn	미움
特点	tè diǎn	풍모
提	tí	언급하다
提供	tí gōng	제공하다
提前	tí qián	미리
提醒	tí xǐng	상기시키다
填空	tián kòng	빈칸을 채우세요
条件	tiáo jiàn	질환
停	tíng	중지
挺	tǐng	대단히
通过	tōng guò	으로
通知	tōng zhī	주의
同情	tóng qíng	공감
同时	tóng shí	동시에
推	tuī	푸시
推迟	tuī chí	미루다
脱	tuō	이륙
袜子	wà zi	양말
完全	wán quán	완전한
往往	wǎng wǎng	자주
网球	wǎng qiú	테니스
网站	wǎng zhàn	웹 사이트
危险	wēi xiǎn	위험
卫生间	wèi shēng jiān	화장실
味道	wèi dào	맛이 나다
温度	wēn dù	온도
文章	wén zhāng	조
污染	wū rǎn	타락
无	wú	아니
无聊	wú liáo	지루한
无论	wú lùn	상관없이
误会	wù huì	오해
吸引	xī yǐn	끌다
西红柿	xī hóng shì	토마토
咸	xián	짜다
现金	xiàn jīn	현금
羡慕	xiàn mù	부러워하다
相反	xiāng fǎn	대조적으로
相同	xiāng tóng	똑같다
香	xiāng	향기로운
详细	xiáng xì	상세한
响	xiǎng	반지
橡皮	xiàng pí	탄성 고무
消息	xiāo xi	뉴스
小吃	xiǎo chī	간식
小伙子	xiǎo huǒ zi	젊은이
小说	xiǎo shuō	소설
效果	xiào guǒ	효과
笑话	xiào huà	농담
心情	xīn qíng	기분
辛苦	xīn kǔ	단단한
信封	xìn fēng	봉투
信息	xìn xī	정보
信心	xìn xīn	자신
兴奋	xīng fèn	흥분한
行	xíng	열
醒	xǐng	일어나 다
幸福	xìng fú	행복
性别	xìng bié	성별
性格	xìng gé	캐릭터
修理	xiū lǐ	수리
许多	xǔ duō	많은
学期	xué qī	학기
呀	ya	네
压力	yā lì	압력
牙膏	yá gāo	치약
亚洲	yà zhōu	아시아
严格	yán gé	엄격한
严重	yán zhòng	진지한
盐	yán	소금
研究	yán jiū	연구
演出	yǎn chū	보여 주다
演员	yǎn yuán	배우
眼镜	yǎn jìng	안경
阳光	yáng guāng	햇빛
养成	yǎng chéng	나타나게 하다
样子	yàng zi	처럼
邀请	yāo qǐng	초대
要是	yào shi	만약
钥匙	yào shi	키
也许	yě xǔ	아마도
叶子	yè zi	잎
页	yè	페이지
一切	yī qiè	모두
以	yǐ	에
以为	yǐ wéi	생각한다
意见	yì jiàn	의견
艺术	yì shù	미술
因此	yīn cǐ	따라서
引起	yǐn qǐ	원인
印象	yìn xiàng	인상
赢	yíng	승리
应聘	yìng pìn	신청
勇敢	yǒng gǎn	용감한
永远	yǒng yuǎn	영원히 그리고 항상
优点	yōu diǎn	이점
优秀	yōu xiù	우수한
幽默	yōu mò	기분
尤其	yóu qí	특히
由	yóu	으로
由于	yóu yú	때문에
邮局	yóu jú	우체국
友好	yǒu hǎo	친한
友谊	yǒu yì	우정
有趣	yǒu qù	흥미로운
于是	yú shì	그때
愉快	yú kuài	행복
与	yǔ	대
羽毛球	yǔ máo qiú	배드민턴
语法	yǔ fǎ	문법
语言	yǔ yán	언어
预习	yù xí	시사
原来	yuán lái	실물
原谅	yuán liàng	용서하다
原因	yuán yīn	이유
约会	yuē huì	약속
阅读	yuè dú	읽다
云	yún	구름
允许	yǔn xǔ	허용하다
杂志	zá zhì	매거진
咱们	zán men	우리
暂时	zàn shí	일시적으로
脏	zāng	더러운
责任	zé rèn	책임
增加	zēng jiā	증가하다
占线	zhàn xiàn	바쁜
招聘	zhāo pìn	신병 모집
照	zhào	에 따르면
真正	zhēn zhèng	레알
整理	zhěng lǐ	가리다
正常	zhèng cháng	표준
正好	zhèng hǎo	바로
正确	zhèng què	옳은
正式	zhèng shì	형식적인
证明	zhèng míng	알다
之	zhī	의
支持	zhī chí	대기하다
知识	zhī shi	지식
值得	zhí de	그만한 가치
植物	zhí wù	식물
直接	zhí jiē	곧장
职业	zhí yè	직업
只好	zhǐ hǎo	했다
只要	zhǐ yào	하는 한
指	zhǐ	방법
至少	zhì shǎo	적어도
质量	zhì liàng	품질
重	zhòng	무게
重点	zhòng diǎn	초점
重视	zhòng shì	값
周围	zhōu wéi	주위에
主意	zhǔ yi	생각
祝贺	zhù hè	축하하다
著名	zhù míng	유명한
专门	zhuān mén	특화된
专业	zhuān yè	직업
转	zhuǎn	회전
赚	zhuàn	벌다
准确	zhǔn què	정확한
准时	zhǔn shí	정시에
仔细	zǐ xì	꼼꼼한
自然	zì rán	자연스러운
自信	zì xìn	자신
总结	zǒng jié	요약하자면
租	zū	임대
最好	zuì hǎo	최고
尊重	zūn zhòng	존경
左右	zuǒ yòu	약
作家	zuò jiā	작가
作用	zuò yòng	효과
作者	zuò zhě	저자
座	zuò	좌석
座位	zuò wèi	좌석
