挨	ái	ทนทุกข์
董事长	dǒng shì zhǎng	ประธาน
冻结	dòng jié	แช่แข็ง
动荡	dòng dàng	ความวุ่นวาย
动机	dòng jī	แรงจูงใจ
动静	dòng jìng	การเคลื่อนไหว
动力	dòng lì	อำนาจ
动脉	dòng mài	หลอดเลือดแดง
动身	dòng shēn	ออกจาก
动手	dòng shǒu	ลงมือ
动态	dòng tài	ไดนามิก
动员	dòng yuán	การระดมพล
栋	dòng	ดง
兜	dōu	กระเป๋า
陡峭	dǒu qiào	สูงชัน
斗争	dòu zhēng	การต่อสู้
督促	dū cù	กระตุ้น
毒品	dú pǐn	ยา
独裁	dú cái	เผด็จการ
堵塞	dǔ sè	การอุดตัน
赌博	dǔ bó	การพนัน
杜绝	dù jué	หมดสิ้น
端	duān	จบ
端午节	duān wǔ jié	เทศกาลเรือมังกร
端正	duān zhèng	แก้ไข
短促	duǎn cù	สั้น
断定	duàn dìng	กำหนด
断绝	duàn jué	ตัดออก
堆积	duī jī	การสะสม
兑现	duì xiàn	เงินสด
对策	duì cè	มาตรการรับมือ
对称	duì chèn	สมมาตร
对付	duì fu	จัดการกับ
对抗	duì kàng	การเผชิญหน้า
对立	duì lì	ฝ่ายค้าน
对联	duì lián	โคลง
对应	duì yìng	สอดคล้อง
对照	duì zhào	ควบคุม
队伍	duì wu	ทีม
顿时	dùn shí	ทันใดนั้น
哆嗦	duō suo	ตัวสั่น
多元化	duō yuán huà	การกระจายความเสี่ยง
堕落	duò luò	ต่ำช้า
额外	é wài	เพิ่มเติม
恶心	ě xin	คลื่นไส้
恶化	è huà	การเสื่อมสภาพ
遏制	è zhì	มี
恩怨	ēn yuàn	ความไม่พอใจ
而已	ér yǐ	แค่นั้นแหละ
二氧化碳	èr yǎng huà tàn	คาร์บอนไดออกไซด์
发布	fā bù	ปล่อย
发财	fā cái	รวย
发呆	fā dāi	งุนงง
发动	fā dòng	เปิด
发觉	fā jué	หา
发射	fā shè	การปล่อยมลพิษ
发誓	fā shì	สาบาน
发行	fā xíng	ออก
发炎	fā yán	ไข้
发扬	fā yáng	ดำเนินการส่งต่อ
发育	fā yù	การพัฒนา
法人	fǎ rén	บุคคลตามกฎหมาย
番	fān	พัดลม
凡是	fán shì	ทั้งหมด
繁华	fán huá	คึกคัก
繁忙	fán máng	ไม่ว่าง
繁体字	fán tǐ zì	ภาษาจีนตัวเต็ม
繁殖	fán zhí	พันธุ์
反驳	fǎn bó	หักล้าง
反常	fǎn cháng	ผิดปกติ
反感	fǎn gǎn	ไม่ชอบ
反抗	fǎn kàng	ขบถ
反馈	fǎn kuì	ข้อเสนอแนะ
反面	fǎn miàn	เชิงลบ
反射	fǎn shè	การสะท้อนกลับ
反思	fǎn sī	การสะท้อนกลับ
反问	fǎn wèn	คำถามเกี่ยวกับวาทศิลป์
反之	fǎn zhī	ในทางตรงกันข้าม
泛滥	fàn làn	น้ำท่วม
范畴	fàn chóu	ประเภท
贩卖	fàn mài	ขาย
方位	fāng wèi	ตำแหน่ง
方言	fāng yán	ภาษาถิ่น
方圆	fāng yuán	fangyuan
方针	fāng zhēn	นโยบาย
防守	fáng shǒu	การป้องกัน
防御	fáng yù	ป้องกัน
防止	fáng zhǐ	ป้องกัน
防治	fáng zhì	ควบคุม
纺织	fǎng zhī	สิ่งทอ
访问	fǎng wèn	เข้าไป
放大	fàng dà	ขยาย
放射	fàng shè	รังสี
非法	fēi fǎ	ผิดกฎหมาย
飞禽走兽	fēi qín zǒu shòu	นกและสัตว์ร้าย
飞翔	fēi xiáng	บิน
飞跃	fēi yuè	เผ่น
肥沃	féi wò	อุดมสมบูรณ์
诽谤	fěi bàng	การหมิ่นประมาท
废除	fèi chú	การยกเลิก
废寝忘食	fèi qǐn wàng shí	นอนไม่หลับ
废墟	fèi xū	ซากปรักหักพัง
沸腾	fèi téng	เดือด
肺	fèi	ปอด
分辨	fēn biàn	แยกแยะ
分寸	fēn cun	วัด
分红	fēn hóng	เงินปันผล
分解	fēn jiě	ทำให้พังถล่ม
分裂	fēn liè	แยก
分泌	fēn mì	การหลั่ง
分明	fēn míng	ชัดเจน
分歧	fēn qí	ความไม่เห็นด้วย
分散	fēn sàn	การกระจายตัว
吩咐	fēn fù	ใบสั่ง
坟墓	fén mù	หลุมฝังศพ
粉末	fěn mò	ผง
粉色	fěn sè	สีชมพู
粉碎	fěn suì	ชน
分量	fèn liàng	ส่วน
愤怒	fèn nù	ความโกรธ
丰满	fēng mǎn	เต็ม
丰盛	fēng shèng	รวย
丰收	fēng shōu	การเก็บเกี่ยวกันชน
封闭	fēng bì	ปิด
封建	fēng jiàn	ศักดินา
封锁	fēng suǒ	ปิดล้อม
锋利	fēng lì	คม
风暴	fēng bào	พายุ
风度	fēng dù	ท่าทาง
风光	fēng guāng	ทิวทัศน์
风气	fēng qì	บรรยากาศ
风趣	fēng qù	ตลก
风土人情	fēng tǔ rén qíng	ประเพณีท้องถิ่น
风味	fēng wèi	รส
逢	féng	ทุก
奉献	fèng xiàn	อุทิศ
否决	fǒu jué	ยับยั้ง
夫妇	fū fù	คู่
夫人	fū ren	ผู้หญิง
敷衍	fū yǎn	perfunctory
俘虏	fú lǔ	เชลย
幅度	fú dù	แอมพลิจูด
服从	fú cóng	เชื่อฟัง
服气	fú qì	เชื่อมั่น
福利	fú lì	สวัสดิการ
福气	fú qi	พร
符号	fú hào	สัญลักษณ์
辐射	fú shè	รังสี
俯视	fǔ shì	มองลงไป
抚摸	fǔ mō	ลูบ
抚养	fǔ yǎng	ยก
腐败	fǔ bài	คอรัปชั่น
腐烂	fǔ làn	เน่า
腐蚀	fǔ shí	การกัดกร่อน
腐朽	fǔ xiǔ	สลายตัว
辅助	fǔ zhù	assist
副	fù	รอง
复活	fù huó	การฟื้นคืนชีพ
复兴	fù xīng	การฟื้นฟู
富裕	fù yù	รวย
腹泻	fù xiè	ท้องร่วง
覆盖	fù gài	ปก
负担	fù dān	ภาระ
赋予	fù yǔ	ให้
附和	fù hè	ไปพร้อมกัน
附件	fù jiàn	ภาคผนวก
附属	fù shǔ	แนบ
改良	gǎi liáng	ทำให้ดีขึ้น
盖章	gài zhāng	ประทับ
钙	gài	แคลเซียม
尴尬	gān gà	อึดอัดใจ
干旱	gān hàn	ภัยแล้ง
干扰	gān rǎo	การรบกวน
干涉	gān shè	พายเรือเข้ามา
干预	gān yù	การแทรกแซง
感慨	gǎn kǎi	เฮ้อ
感染	gǎn rǎn	การติดเชื้อ
干劲	gàn jìn	ความกระตือรือร้น
扛	gāng	พก
纲领	gāng lǐng	โปรแกรม
岗位	gǎng wèi	โพสต์
港口	gǎng kǒu	ท่าเรือ
港湾	gǎng wān	ท่าเรือ
杠杆	gàng gǎn	คันโยก
高超	gāo chāo	ยอดเยี่ยม
高潮	gāo cháo	จุดสำคัญ
高峰	gāo fēng	จุดสูงสุด
高明	gāo míng	ฉลาด
高尚	gāo shàng	มีคุณธรรมสูง
高涨	gāo zhǎng	ทะยาน
稿件	gǎo jiàn	ต้นฉบับ
告辞	gào cí	อำลา
告诫	gào jiè	ตักเตือน
割	gē	ตัด
搁	gē	ใส่
歌颂	gē sòng	สรรเสริญ
疙瘩	gē da	สิว
鸽子	gē zi	นกพิราบ
格局	gé jú	รูปแบบ
格式	gé shì	รูปแบบ
隔阂	gé hé	ช่องว่าง
隔离	gé lí	การแยกตัว
革命	gé mìng	การปฏิวัติ
个体	gè tǐ	รายบุคคล
各抒己见	gè shū jǐ jiàn	แสดงความคิดเห็น
根深蒂固	gēn shēn dì gù	ฝังแน่น
根源	gēn yuán	แหล่งที่มา
跟前	gēn qián	ข้างหน้า
跟随	gēn suí	ติดตาม
跟踪	gēn zōng	ติดตาม
更新	gēng xīn	อัปเดต
更正	gēng zhèng	แก้ไข
耕地	gēng dì	ที่ดินทำกิน
供不应求	gōng bù yìng qiú	ขาดตลาด
供给	gōng jǐ	จัดหา
公安局	gōng ān jú	สำนักรักษาความปลอดภัยสาธารณะ
公道	gōng dào	ความยุติธรรม
公告	gōng gào	ประกาศ
公关	gōng guān	ประชาสัมพันธ์
公民	gōng mín	พลเมือง
公然	gōng rán	เปิดเผย
公认	gōng rèn	ได้รับการยอมรับ
公式	gōng shì	สูตร
公务	gōng wù	ธุรกิจอย่างเป็นทางการ
公正	gōng zhèng	แค่
公证	gōng zhèng	การรับรองเอกสาร
功劳	gōng láo	เครดิต
功效	gōng xiào	ผลกระทบ
宫殿	gōng diàn	พระราชวัง
工艺品	gōng yì pǐn	งานฝีมือ
恭敬	gōng jìng	เคารพ
攻击	gōng jī	โจมตี
攻克	gōng kè	การจับกุม
巩固	gǒng gù	รวบรวม
共和国	gòng hé guó	สาธารณรัฐ
共计	gòng jì	รวม
共鸣	gòng míng	เสียงสะท้อน
勾结	gōu jié	สมรู้ร่วมคิด
钩子	gōu zi	ตะขอ
构思	gòu sī	ความคิด
姑且	gū qiě	อย่างไม่แน่นอน
孤独	gū dú	เหงา
孤立	gū lì	แยก
辜负	gū fù	ให้ลง
古董	gǔ dǒng	โบราณ
古怪	gǔ guài	แหกคอก
股东	gǔ dōng	ผู้ถือหุ้น
股份	gǔ fèn	หุ้น
骨干	gǔ gàn	กระดูกสันหลัง
鼓动	gǔ dòng	ปั่นป่วน
固然	gù rán	แน่นอน
固体	gù tǐ	ของแข็ง
固有	gù yǒu	โดยธรรมชาติ
固执	gù zhi	ปากแข็ง
故乡	gù xiāng	บ้าน
故障	gù zhàng	เพี้ยน
雇佣	gù yōng	จ้าง
顾虑	gù lv4	กังวล
顾问	gù wèn	ที่ปรึกษา
拐杖	guǎi zhàng	ไม้ค้ำ
关怀	guān huái	การดูแล
关照	guān zhào	การดูแล
官方	guān fāng	เป็นทางการ
观光	guān guāng	ไปเที่ยวชม
管辖	guǎn xiá	อำนาจศาล
惯例	guàn lì	อนุสัญญา
灌溉	guàn gài	การชลประทาน
罐	guàn	ถัง
贯彻	guàn chè	ใช้
光彩	guāng cǎi	รุ่งโรจน์
光辉	guāng huī	รุ่งโรจน์
光芒	guāng máng	เบา
光荣	guāng róng	ความรุ่งโรจน์
广阔	guǎng kuò	กว้าง ๆ
归根到底	guī gēn dào dǐ	ในการวิเคราะห์ขั้นสุดท้าย
归还	guī huán	กลับ
规范	guī fàn	ข้อกำหนด
规格	guī gé	ข้อกำหนด
规划	guī huà	การวางแผน
规章	guī zhāng	ข้อบังคับ
轨道	guǐ dào	ติดตาม
贵族	guì zú	มีคุณธรรมสูง
跪	guì	คุกเข่า
棍棒	gùn bàng	ติด
国防	guó fáng	การป้องกันประเทศ
国务院	guó wù yuàn	สภารัฐ
果断	guǒ duàn	เด็ดขาด
过度	guò dù	เกิน
过渡	guò dù	การเปลี่ยนแปลง
过奖	guò jiǎng	overrated
过滤	guò lv4	กรอง
过失	guò shī	ความผิด
过问	guò wèn	แทรกแซง
过瘾	guò yǐn	น่าสนุก
过于	guò yú	เกินไป
嗨	hāi	สวัสดี
海拔	hǎi bá	ระดับความสูง
海滨	hǎi bīn	ริมทะเล
含糊	hán hu	คลุมเครือ
含义	hán yì	ความหมาย
寒暄	hán xuān	ทักทาย
罕见	hǎn jiàn	หายาก
捍卫	hàn wèi	ป้องกัน
航空	háng kōng	การบิน
航天	háng tiān	การบินและอวกาศ
航行	háng xíng	แล่นเรือ
