啊	a	อะไร
发现	fā xiàn	หา
方便	fāng biàn	ความสะดวกสบาย
放	fàng	ใส่
放心	fàng xīn	มั่นใจ
分	fēn	นาที
复习	fù xí	ทบทวน
附近	fù jìn	ใกล้เคียง
干净	gān jìng	ทำความสะอาด
感冒	gǎn mào	หนาว
感兴趣	gǎn xìng qù	สนใจใน
刚才	gāng cái	เมื่อกี้
个子	gè zi	สูง
根据	gēn jù	ตาม
跟	gēn	กับ
更	gèng	มากกว่า
公斤	gōng jīn	กิโลกรัม
公园	gōng yuán	สวน
故事	gù shi	เรื่อง
刮风	guā fēng	วินดี้
关	guān	ปิด
关系	guān xì	ความสัมพันธ์
关心	guān xīn	กังวล
关于	guān yú	บน
国家	guó jiā	ประเทศ
过	guò	ผ่าน (กริยา)
过去	guò qu	อดีต
还是	hái shì	ยังคงเป็น
害怕	hài pà	กลัว
黑板	hēi bǎn	กระดานดำ
后来	hòu lái	ภายหลัง
护照	hù zhào	หนังสือเดินทาง
花	huā	ดอกไม้ (กริยา)
花	huā	ดอกไม้ (นาม)
画	huà	จิตรกรรม
坏	huài	แย่
欢迎	huān yíng	ยินดีต้อนรับ
环境	huán jìng	สภาพแวดล้อม
还	huán	กลับ (กริยา)
换	huàn	เปลี่ยน
黄河	huáng hé	แม่น้ำเหลือง
回答	huí dá	ตอบ
会议	huì yì	ประชุม
或者	huò zhě	หรือ
几乎	jī hū	เกือบ
机会	jī huì	โอกาส
极	jí	เสา
季节	jì jié	ฤดูกาล
记得	jì de	จำไว้
检查	jiǎn chá	การสอบ
简单	jiǎn dān	เรียบง่าย
健康	jiàn kāng	สุขภาพ
见面	jiàn miàn	พบกัน
讲	jiǎng	พูด
教	jiào	สั่งสอน
脚	jiǎo	เท้า
角	jiǎo	มุม
接	jiē	ไปรับ
街道	jiē dào	ถนน
结婚	jié hūn	แต่งงาน
结束	jié shù	ตอนจบ
节目	jié mù	โปรแกรม
节日	jié rì	งานเทศกาล
解决	jiě jué	แก้
借	jiè	ยืม
经常	jīng cháng	บ่อยครั้ง
经过	jīng guò	หลังจาก
经理	jīng lǐ	ผู้จัดการ
久	jiǔ	ยาว
旧	jiù	เก่า
句子	jù zi	ประโยค
决定	jué dìng	ตัดสินใจ
可爱	kě ài	น่ารัก
渴	kě	กระหายน้ำ
刻	kè	แกะสลัก
客人	kè rén	แขก
空调	kōng tiáo	เครื่องปรับอากาศ
口	kǒu	ปาก
哭	kū	ร้องไห้
裤子	kù zi	กางเกง
筷子	kuài zi	ตะเกียบ
蓝	lán	สีน้ำเงิน
老	lǎo	เก่า
离开	lí kāi	ไปให้พ้น
礼物	lǐ wù	ของขวัญ
历史	lì shǐ	ประวัติศาสตร์
脸	liǎn	ใบหน้า
练习	liàn xí	ออกกำลังกาย
辆	liàng	ยานพาหนะ
聊天	liáo tiān	ที่จะแชทกับ
了解	liǎo jiě	เพื่อความเข้าใจ
邻居	lín jū	เพื่อนบ้าน
留学	liú xué	ศึกษาต่อต่างประเทศ
楼	lóu	ชั้น
绿	lv4	สีเขียว
马	mǎ	ม้า
马上	mǎ shàng	ทันที
满意	mǎn yì	ความพึงพอใจ
帽子	mào zi	หมวก
米	mǐ	เมตร
面包	miàn bāo	ขนมปัง
明白	míng bai	เข้าใจ
拿	ná	รับ
奶奶	nǎi nai	ยาย
南	nán	ใต้
难	nán	ยาก
难过	nán guò	เศร้า
年级	nián jí	เกรด
年轻	nián qīng	หนุ่ม
鸟	niǎo	นก
努力	nǔ lì	ทำงานหนัก
爬山	pá shān	ปีนเขา
盘子	pán zi	จาน
胖	pàng	อ้วน
啤酒	pí jiǔ	เบียร์
皮鞋	pí xié	รองเท้าหนัง
瓶子	píng zi	ขวด
其实	qí shí	ในความเป็นจริง
其他	qí tā	อื่นๆ
奇怪	qí guài	แปลก
骑	qí	ขี่
起飞	qǐ fēi	ถอด
起来	qǐ lái	ยืนขึ้น
清楚	qīng chu	ชัดเจน
请假	qǐng jià	ขอลา
秋	qiū	ฤดูใบไม้ร่วง
裙子	qún zi	กระโปรง
然后	rán hòu	แล้ว
热情	rè qíng	ความกระตือรือร้น
认为	rèn wéi	คิด
认真	rèn zhēn	จริงจัง
容易	róng yì	ง่าย
如果	rú guǒ	เผื่อ
伞	sǎn	ร่ม
上网	shàng wǎng	ไปออนไลน์
声音	shēng yīn	เสียง
生气	shēng qì	หงุดหงิด
世界	shì jiè	โลก
试	shì	ทดสอบ
瘦	shòu	ผอม
叔叔	shū shu	ลุง
舒服	shū fu	สะดวกสบาย
数学	shù xué	คณิตศาสตร์
树	shù	ต้นไม้
刷牙	shuā yá	แปรงฟัน
双	shuāng	ดับเบิ้ล
水平	shuǐ píng	ระดับ
司机	sī jī	คนขับ
太阳	tài yáng	พระอาทิตย์
特别	tè bié	โดยเฉพาะ
疼	téng	ความเจ็บปวด
提高	tí gāo	ทำให้ดีขึ้น
体育	tǐ yù	พลศึกษา
甜	tián	หวาน
条	tiáo	บทความ
同事	tóng shì	เพื่อนร่วมงาน
同意	tóng yì	ตกลง
头发	tóu fa	ผม
突然	tū rán	กะทันหัน
图书馆	tú shū guǎn	ห้องสมุด
腿	tuǐ	ขา
完成	wán chéng	ดำเนินการ
碗	wǎn	ชาม
万	wàn	หมื่น
忘记	wàng jì	ลืม
为	wèi	สำหรับ
为了	wèi le	เพื่อที่จะ
位	wèi	นิดหน่อย
文化	wén huà	วัฒนธรรม
西	xī	WEAT
习惯	xí guàn	นิสัย
洗手间	xǐ shǒu jiān	ห้องน้ำ
洗澡	xǐ zǎo	อาบน้ำ
夏	xià	ฤดูร้อน
先	xiān	ก่อน
相信	xiāng xìn	เชื่อ
香蕉	xiāng jiāo	กล้วย
像	xiàng	ชอบ
向	xiàng	ถึง
小心	xiǎo xīn	ระวัง
校长	xiào zhǎng	อาจารย์ใหญ่
新闻	xīn wén	ข่าว
新鲜	xīn xiān	สด
信用卡	xìn yòng kǎ	บัตรเครดิต
行李箱	xíng lǐ xiāng	กระโปรงหลังรถ
熊猫	xióng māo	แพนด้า
需要	xū yào	ความต้องการ
选择	xuǎn zé	เลือก
要求	yāo qiú	เคลม
爷爷	yé ye	ปู่
一直	yī zhí	เสมอ
一定	yí dìng	แน่นอน
一共	yī gòng	ทั้งหมด
一会儿	yī huì er	สักพัก
一样	yī yàng	เหมือนกัน
以前	yǐ qián	ก่อน
一般	yī bān	ทั่วไป
一边	yī biān	ด้านเดียว
音乐	yīn yuè	เพลง
银行	yín háng	ธนาคาร
饮料	yǐn liào	ดื่ม
应该	yīng gāi	ควร
影响	yǐng xiǎng	อิทธิพล
用	yòng	ใช้
游戏	yóu xì	เกม
有名	yǒu míng	มีชื่อเสียง
又	yòu	ยัง
遇到	yù dào	พบ
元	yuán	หยวน
愿意	yuàn yì	เต็มใจ
月亮	yuè liang	ดวงจันทร์
越	yuè	มากกว่า
站	zhàn	สถานี
张	zhāng	จาง
长	zhǎng	ยาว (กริยา)
着急	zháo jí	กังวล
照顾	zhào gu	ดูแล
照片	zhào piàn	ภาพถ่าย
照相机	zhào xiàng jī	กล้อง
只	zhǐ	เท่านั้น (คำวิเศษณ์)
只	zhǐ	เท่านั้น (ปริมาณ)
只有…才…	zhǐ yǒu …cái …	เท่านั้น...
中间	zhōng jiān	ระดับกลาง
中文	zhōng wén	ชาวจีน
终于	zhōng yú	ในที่สุด
种	zhǒng	ชนิด (ปริมาณ)
重要	zhòng yào	สำคัญ
周末	zhōu mò	วันหยุดสุดสัปดาห์
主要	zhǔ yào	หลัก
注意	zhù yì	บันทึก
自己	zì jǐ	ตัวเอง
自行车	zì xíng chē	จักรยาน
总是	zǒng shì	เสมอ
嘴	zuǐ	ปาก
最后	zuì hòu	ในที่สุด
最近	zuì jìn	ล่าสุด
作业	zuò yè	ปฏิบัติการ
