爱情	ài qíng	รัก
刀	dāo	มีด
导游	dǎo yóu	มัคคุเทศก์
倒	dào	คว่ำ
到处	dào chù	ทุกที่
到底	dào dǐ	ในที่สุด
道歉	dào qiàn	ขอโทษ
得	dé	รับ (กริยาช่วย)
得意	dé yì	ภูมิใจ
登机牌	dēng jī pái	ตั๋วโดยสาร
等	děng	เป็นต้น (อนุภาค)
低	dī	ต่ำ
底	dǐ	ด้านล่าง
地点	dì diǎn	ที่ตั้ง
地球	dì qiú	โลก
地址	dì zhǐ	ที่อยู่
掉	diào	ดรอป
调查	diào chá	สำรวจ
丢	diū	โยน
动作	dòng zuò	หนังบู๊
堵车	dǔ chē	จราจรติดขัด
肚子	dù zi	ท้อง
短信	duǎn xìn	ข้อความ
对话	duì huà	บทสนทนา
对面	duì miàn	ตรงข้าม
对于	duì yú	สำหรับ
儿童	ér tóng	เด็ก
而	ér	และ
发生	fā shēng	เกิดขึ้น
发展	fā zhǎn	การพัฒนาของ
法律	fǎ lv4	ถูกกฎหมาย
翻译	fān yì	การแปล
烦恼	fán nǎo	อารมณ์เสีย
反对	fǎn duì	ต่อต้าน
方法	fāng fǎ	วิธี
方面	fāng miàn	ด้าน
方向	fāng xiàng	ทิศทาง
房东	fáng dōng	เจ้าของบ้าน
放弃	fàng qì	ยอมแพ้
放暑假	fàng shǔ jià	วันหยุดฤดูร้อน
放松	fàng sōng	ผ่อนคลาย
份	fèn	แบ่งปัน
丰富	fēng fù	รวย
否则	fǒu zé	มิฉะนั้น
符合	fú hé	พบกับ
付款	fù kuǎn	การชำระเงิน
复印	fù yìn	สำเนา
复杂	fù zá	ซับซ้อน
富	fù	รวย
父亲	fù qīn	พ่อ
负责	fù zé	รับผิดชอบในการ
改变	gǎi biàn	เปลี่ยน
干杯	gān bēi	ไชโย
感动	gǎn dòng	ขนย้าย
感觉	gǎn jué	รู้สึก
感情	gǎn qíng	ความรู้สึก
感谢	gǎn xiè	ขอบคุณ
敢	gǎn	กล้า
赶	gǎn	Rush
干	gàn	แห้ง
刚	gāng	แค่
高速公路	gāo sù gōng lù	ทางหลวง
胳膊	gē bo	แขน
各	gè	แต่ละ
公里	gōng lǐ	กิโลเมตร
功夫	gōng fu	ความพยายาม
工资	gōng zī	ค่าจ้าง
共同	gòng tóng	สามัญ
够	gòu	พอ
购物	gòu wù	ช้อปปิ้ง
估计	gū jì	ประมาณการ
鼓励	gǔ lì	ให้กำลังใจ
故意	gù yì	อย่างจงใจ
顾客	gù kè	ลูกค้า
挂	guà	แขวน
关键	guān jiàn	จำเป็น
观众	guān zhòng	ผู้ชม
管理	guǎn lǐ	การจัดการ
光	guāng	เบา
广播	guǎng bō	ออกอากาศ
广告	guǎng gào	โฆษณา
逛	guàng	เยี่ยมชม
规定	guī dìng	กำหนด
国籍	guó jí	ประเทศที่คุณถือสัญชาติอยู่
国际	guó jì	นานาชาติ
果汁	guǒ zhī	น้ำผลไม้
过程	guò chéng	กระบวนการ
海洋	hǎi yáng	มหาสมุทร
害羞	hài xiū	อาย
寒假	hán jià	วันหยุดฤดูหนาว
汗	hàn	เหงื่อ
航班	háng bān	เที่ยวบิน
好处	hǎo chu	ประโยชน์
好像	hǎo xiàng	ชอบ
号码	hào mǎ	จำนวน
合格	hé gé	มีคุณสมบัติ
合适	hé shì	เหมาะสม
盒子	hé zi	กล่อง
厚	hòu	หนา
后悔	hòu huǐ	เสียใจ
互联网	hù lián wǎng	อินเตอร์เนต
互相	hù xiāng	กันและกัน
护士	hù shi	พยาบาล
怀疑	huái yí	สงสัย
回忆	huí yì	ความทรงจำ
活动	huó dòng	กิจกรรม
活泼	huó po	มีชีวิตชีวา
火	huǒ	ไฟ
获得	huò dé	รับ
基础	jī chǔ	พื้นฐาน
激动	jī dòng	ความตื่นเต้น
积极	jī jí	บวก
积累	jī lěi	สะสม
即使	jí shǐ	แม้ว่า
及时	jí shí	ทันเวลา
寄	jì	ส่ง
技术	jì shù	เทคโนโลยี
既然	jì rán	ตั้งแต่
继续	jì xù	ทำต่อไป
计划	jì huà	วางแผน
记者	jì zhě	ผู้สื่อข่าว
加班	jiā bān	ล่วงเวลา
加油站	jiā yóu zhàn	แก๊ส
家具	jiā jù	เฟอร์นิเจอร์
假	jiǎ	เท็จ
价格	jià gé	ราคา
坚持	jiān chí	เป็นไปตาม
减肥	jiǎn féi	ลดน้ำหนัก
减少	jiǎn shǎo	ตัดกลับ
建议	jiàn yì	แนะนำ
将来	jiāng lái	อนาคต
奖金	jiǎng jīn	โบนัส
降低	jiàng dī	ลด
降落	jiàng luò	ลงจอด
交	jiāo	ข้าม
交流	jiāo liú	สื่อสารกับ
交通	jiāo tōng	การจราจร
郊区	jiāo qū	ชานเมือง
骄傲	jiāo ào	ภูมิใจ
饺子	jiǎo zi	เกี๊ยว
教授	jiào shòu	ศาสตราจารย์
教育	jiào yù	การศึกษา
接受	jiē shòu	ยอมรับ
接着	jiē zhe	แล้ว
结果	jié guǒ	ผลลัพธ์
节	jié	มาตรา
节约	jié yuē	ประหยัด
解释	jiě shì	คำอธิบาย
尽管	jǐn guǎn	ทั้งๆที่มี
紧张	jǐn zhāng	ความตึงเครียด
禁止	jìn zhǐ	ห้าม
进行	jìn xíng	ขึ้น
京剧	jīng jù	โอเปร่าปักกิ่ง
精彩	jīng cǎi	วิเศษมาก
经济	jīng jì	เศรษฐกิจ
经历	jīng lì	ประสบการณ์
经验	jīng yàn	ประสบการณ์
景色	jǐng sè	ดู
警察	jǐng chá	ตำรวจ
竞争	jìng zhēng	การแข่งขัน
竟然	jìng rán	จริงๆ
镜子	jìng zi	กระจกเงา
究竟	jiū jìng	อย่างแน่นอน
举	jǔ	ยก
举办	jǔ bàn	ถือ
举行	jǔ xíng	ถือ
拒绝	jù jué	ปฏิเสธ
聚会	jù huì	ไปด้วยกัน
距离	jù lí	ระยะทาง
开玩笑	kāi wán xiào	เรื่องตลก
开心	kāi xīn	มีความสุข
看法	kàn fǎ	ดู
烤鸭	kǎo yā	เป็ดย่าง
考虑	kǎo lv4	พิจารณา
棵	kē	ต้นไม้
科学	kē xué	วิทยาศาสตร์
咳嗽	ké sou	ไอ
可怜	kě lián	น่าสงสาร
可是	kě shì	แต่
可惜	kě xī	น่าเสียดาย
客厅	kè tīng	ห้องนั่งเล่น
肯定	kěn dìng	ชัวร์
空	kōng	อากาศ
空气	kōng qì	อากาศ
恐怕	kǒng pà	ฉันเกรงว่า
苦	kǔ	ขม
矿泉水	kuàng quán shuǐ	น้ำแร่
困	kùn	ง่วงนอน
困难	kùn nan	ยาก
垃圾桶	lā jī tǒng	ถังขยะ
拉	lā	ดึง
辣	là	ร้อน
来不及	lái bu jí	สายเกินไป
来得及	lái de jí	สายเกินไป
来自	lái zì	จาก
懒	lǎn	ขี้เกียจ
浪费	làng fèi	ของเสีย
浪漫	làng màn	โรแมนติก
老虎	lǎo hǔ	เสือ
冷静	lěng jìng	เงียบสงบ
理发	lǐ fà	ตัดผม
理解	lǐ jiě	ความเข้าใจ
理想	lǐ xiǎng	ในอุดมคติ
礼拜天	lǐ bài tiān	วันอาทิตย์
礼貌	lǐ mào	มารยาท
例如	lì rú	เช่น
力气	lì qi	ความแข็งแกร่ง
厉害	lì hai	ยอดเยี่ยม
俩	liǎ	ทั้งสอง
联系	lián xì	ติดต่อ
连	lián	แม้กระทั่ง
凉快	liáng kuai	เย็น
零钱	líng qián	การเปลี่ยนแปลงเล็กน้อย
另外	lìng wài	นอกจากนี้
流利	liú lì	คล่องแคล่ว
流行	liú xíng	เป็นที่นิยม
留	liú	อยู่
旅行	lǚ xíng	การท่องเที่ยว
乱	luàn	ความโกลาหล
律师	lv4 shī	ทนายความ
麻烦	má fan	ปัญหา
马虎	mǎ hu	ประมาท
满	mǎn	เต็ม
毛	máo	ผม
毛巾	máo jīn	ผ้าขนหนู
美丽	měi lì	สวย
梦	mèng	ฝัน
迷路	mí lù	หลงทาง
密码	mì mǎ	รหัสผ่าน
免费	miǎn fèi	ฟรี
秒	miǎo	ที่สอง
民族	mín zú	สัญชาติ
母亲	mǔ qīn	แม่
目的	mù dì	วัตถุประสงค์
耐心	nài xīn	อดทน
难道	nán dào	เป็นไปได้ไหมว่า
难受	nán shòu	อึดอัด
内	nèi	ข้างใน
内容	nèi róng	เนื้อหา
能力	néng lì	ความสามารถ
年龄	nián líng	อายุ
弄	nòng	ทำ
暖和	nuǎn huo	อบอุ่น
偶尔	ǒu ěr	เป็นครั้งคราว
排队	pái duì	คิว
排列	pái liè	การจัดเตรียม
判断	pàn duàn	คำพิพากษา
陪	péi	มากับ
批评	pī píng	วิจารณ์
皮肤	pí fū	ผิว
脾气	pí qi	อารมณ์โกรธ
篇	piān	บทความ
骗	piàn	โกง
乒乓球	pīng pāng qiú	ปิงปอง
平时	píng shí	ปกติ
破	pò	หัก
葡萄	pú tao	องุ่น
普遍	pǔ biàn	สากล
普通话	pǔ tōng huà	แมนดาริน
其次	qí cì	ประการที่สอง
其中	qí zhōng	ในหมู่พวกเขา
气候	qì hòu	ภูมิอากาศ
千万	qiān wàn	สิบล้าน
签证	qiān zhèng	วีซ่า
敲	qiāo	เคาะ
桥	qiáo	สะพาน
巧克力	qiǎo kè lì	ช็อคโกแลต
亲戚	qīn qi	ญาติ
轻	qīng	เบา
轻松	qīng sōng	ง่าย
情况	qíng kuàng	เกิดขึ้น
穷	qióng	ยากจน
区别	qū bié	ความแตกต่าง
取	qǔ	รับ
全部	quán bù	ทั้งหมด
缺点	quē diǎn	ข้อเสีย
缺少	quē shǎo	ขาด
却	què	แต่
确实	què shí	แน่นอน
然而	rán ér	อย่างไรก็ตาม
热闹	rè nao	มีชีวิตชีวา
任何	rèn hé	ใดๆ
任务	rèn wu	งาน
扔	rēng	โยน
仍然	réng rán	นิ่ง
日记	rì jì	ไดอารี่
入口	rù kǒu	ทางเข้า
散步	sàn bù	เดินเล่น
森林	sēn lín	ป่า
沙发	shā fā	โซฟา
伤心	shāng xīn	เศร้า
商量	shāng liang	หารือ
稍微	shāo wēi	เล็กน้อย
勺子	sháo zi	ช้อน
社会	shè huì	สังคม
深	shēn	ลึก
申请	shēn qǐng	ใบสมัคร
甚至	shèn zhì	แม้กระทั่ง
生活	shēng huó	ชีวิต
生命	shēng mìng	ชีวิต
生意	shēng yì	ธุรกิจ
省	shěng	จังหวัด
剩	shèng	ที่เหลือ
失败	shī bài	ความล้มเหลว
失望	shī wàng	ผิดหวัง
师傅	shī fu	ปรมาจารย์
十分	shí fēn	มาก
实际	shí jì	จริง
实在	shí zài	จริงๆ
使	shǐ	ทำ
使用	shǐ yòng	ใช้
世纪	shì jì	ศตวรรษ
是否	shì fǒu	ไม่ว่า
适合	shì hé	เหมาะสำหรับ
适应	shì yìng	ปรับ
收	shōu	รับ
收入	shōu rù	รายได้
收拾	shōu shi	แพ็ค
首都	shǒu dū	เมืองหลวง
首先	shǒu xiān	ก่อนอื่นเลย
受不了	shòu bù liǎo	ทนไม่ได้
受到	shòu dào	ทุกข์
售货员	shòu huò yuán	พนักงานขาย
输	shū	แพ้
熟悉	shú xī	คุ้นเคยกับ
数量	shù liàng	ปริมาณ
数字	shù zì	ดิจิทัล
帅	shuài	หล่อ
顺便	shùn biàn	ยังไงซะ
顺利	shùn lì	อย่างราบรื่น
顺序	shùn xù	ใบสั่ง
说明	shuō míng	คำอธิบาย
硕士	shuò shì	ปริญญาโท
死	sǐ	ตาย
塑料袋	sù liào dài	ถุงพลาสติก
速度	sù dù	ความเร็ว
酸	suān	กรด
随便	suí biàn	สบายๆ
随着	suí zhe	พร้อมด้วย
孙子	sūn zi	หลานชาย
所有	suǒ yǒu	ทั้งหมด
台	tái	สถานี
抬	tái	ยก
态度	tài du	ทัศนคติ
弹钢琴	tán gāng qín	เล่นเปียโน
谈	tán	พูดคุย
汤	tāng	ซุป
糖	táng	น้ำตาล
躺	tǎng	นอนลง
趟	tàng	การเดินทาง
讨论	tǎo lùn	หารือ
讨厌	tǎo yàn	เกลียด
特点	tè diǎn	คุณสมบัติ
提	tí	กล่าวถึง
提供	tí gōng	ให้
提前	tí qián	ล่วงหน้า
提醒	tí xǐng	เตือน
填空	tián kòng	เติมลงในช่องว่าง
条件	tiáo jiàn	เงื่อนไข
停	tíng	หยุด
挺	tǐng	มาก
通过	tōng guò	โดย
通知	tōng zhī	ประกาศ
同情	tóng qíng	ความเห็นอกเห็นใจ
同时	tóng shí	พร้อมกัน
推	tuī	ดัน
推迟	tuī chí	เลื่อนออกไป
脱	tuō	ถอด
袜子	wà zi	ถุงเท้า
完全	wán quán	เสร็จสมบูรณ์
往往	wǎng wǎng	บ่อยครั้ง
网球	wǎng qiú	เทนนิส
网站	wǎng zhàn	เว็บไซต์
危险	wēi xiǎn	อันตราย
卫生间	wèi shēng jiān	ห้องน้ำ
味道	wèi dào	รสชาติ
温度	wēn dù	อุณหภูมิ
文章	wén zhāng	บทความ
污染	wū rǎn	มลพิษ
无	wú	ไม่
无聊	wú liáo	เบื่อ
无论	wú lùn	ไม่ว่า
误会	wù huì	เข้าใจผิด
吸引	xī yǐn	ดึงดูด
西红柿	xī hóng shì	มะเขือเทศ
咸	xián	เค็ม
现金	xiàn jīn	เงินสด
羡慕	xiàn mù	อิจฉา
相反	xiāng fǎn	ในทางตรงกันข้าม
相同	xiāng tóng	เหมือน
香	xiāng	หอม
详细	xiáng xì	รายละเอียด
响	xiǎng	แหวน
橡皮	xiàng pí	ยาง
消息	xiāo xi	ข่าว
小吃	xiǎo chī	อาหารว่าง
小伙子	xiǎo huǒ zi	หนุ่มน้อย
小说	xiǎo shuō	นิยาย
效果	xiào guǒ	ผล
笑话	xiào huà	เรื่องตลก
心情	xīn qíng	อารมณ์
辛苦	xīn kǔ	ยาก
信封	xìn fēng	ซองจดหมาย
信息	xìn xī	ข้อมูล
信心	xìn xīn	ความมั่นใจ
兴奋	xīng fèn	ตื่นเต้น
行	xíng	แถว
醒	xǐng	ตื่น
幸福	xìng fú	มีความสุข
性别	xìng bié	เพศ
性格	xìng gé	ตัวละคร
修理	xiū lǐ	ซ่อมแซม
许多	xǔ duō	มากมาย
学期	xué qī	ภาคเรียน
呀	ya	ใช่
压力	yā lì	ความดัน
牙膏	yá gāo	ยาสีฟัน
亚洲	yà zhōu	เอเชีย
严格	yán gé	เข้มงวด
严重	yán zhòng	จริงจัง
盐	yán	เกลือ
研究	yán jiū	การเรียน
演出	yǎn chū	แสดง
演员	yǎn yuán	นักแสดงชาย
眼镜	yǎn jìng	แว่นตา
阳光	yáng guāng	แสงแดด
养成	yǎng chéng	พัฒนา
样子	yàng zi	ดูเหมือน
邀请	yāo qǐng	เชิญ
要是	yào shi	ถ้า
钥匙	yào shi	สำคัญ
也许	yě xǔ	อาจจะ
叶子	yè zi	ใบไม้
页	yè	หน้า
一切	yī qiè	ทั้งหมด
以	yǐ	ถึง
以为	yǐ wéi	คิด
意见	yì jiàn	ความคิดเห็น
艺术	yì shù	ศิลปะ
因此	yīn cǐ	ดังนั้น
引起	yǐn qǐ	สาเหตุ
印象	yìn xiàng	ความประทับใจ
赢	yíng	ชนะ
应聘	yìng pìn	ใช้สำหรับ
勇敢	yǒng gǎn	กล้าหาญ
永远	yǒng yuǎn	ตลอดกาลและตลอดไป
优点	yōu diǎn	ความได้เปรียบ
优秀	yōu xiù	ยอดเยี่ยม
幽默	yōu mò	อารมณ์ขัน
尤其	yóu qí	โดยเฉพาะ
由	yóu	โดย
由于	yóu yú	เนื่องจาก
邮局	yóu jú	ที่ทำการไปรษณีย์
友好	yǒu hǎo	เป็นมิตร
友谊	yǒu yì	มิตรภาพ
有趣	yǒu qù	น่าสนใจ
于是	yú shì	แล้ว
愉快	yú kuài	มีความสุข
与	yǔ	เทียบกับ
羽毛球	yǔ máo qiú	แบดมินตัน
语法	yǔ fǎ	ไวยากรณ์
语言	yǔ yán	ภาษา
预习	yù xí	ดูตัวอย่าง
原来	yuán lái	ต้นฉบับ
原谅	yuán liàng	ให้อภัย
原因	yuán yīn	เหตุผล
约会	yuē huì	นัดหมาย
阅读	yuè dú	อ่าน
云	yún	เมฆ
允许	yǔn xǔ	อนุญาต
杂志	zá zhì	นิตยสาร
咱们	zán men	เรา
暂时	zàn shí	ชั่วคราว
脏	zāng	สกปรก
责任	zé rèn	ความรับผิดชอบ
增加	zēng jiā	เพิ่มขึ้น
占线	zhàn xiàn	ไม่ว่าง
招聘	zhāo pìn	การรับสมัคร
照	zhào	ตามที่
真正	zhēn zhèng	จริง
整理	zhěng lǐ	จัดเรียงออก
正常	zhèng cháng	ปกติ
正好	zhèng hǎo	ถูกต้อง
正确	zhèng què	แก้ไข
正式	zhèng shì	เป็นทางการ
证明	zhèng míng	พิสูจน์
之	zhī	ของ
支持	zhī chí	รอ
知识	zhī shi	ความรู้
值得	zhí de	คุ้มค่า
植物	zhí wù	ปลูก
直接	zhí jiē	โดยตรง
职业	zhí yè	อาชีพ
只好	zhǐ hǎo	ต้อง
只要	zhǐ yào	ตราบเท่าที
指	zhǐ	หมายถึง
至少	zhì shǎo	อย่างน้อย
质量	zhì liàng	คุณภาพ
重	zhòng	น้ำหนัก
重点	zhòng diǎn	โฟกัส
重视	zhòng shì	ให้ความสนใจกับ
周围	zhōu wéi	รอบ ๆ
主意	zhǔ yi	ความคิด
祝贺	zhù hè	ขอแสดงความยินดี
著名	zhù míng	มีชื่อเสียง
专门	zhuān mén	เชี่ยวชาญ
专业	zhuān yè	อาชีพ
转	zhuǎn	กลับ
赚	zhuàn	รับ
准确	zhǔn què	ถูกต้อง
准时	zhǔn shí	ตรงเวลา
仔细	zǐ xì	ระวัง
自然	zì rán	ธรรมชาติ
自信	zì xìn	ความมั่นใจ
总结	zǒng jié	สรุป
租	zū	เช่า
最好	zuì hǎo	ที่สุด
尊重	zūn zhòng	เคารพ
左右	zuǒ yòu	เกี่ยวกับ
作家	zuò jiā	นักเขียน
作用	zuò yòng	ผล
作者	zuò zhě	ผู้เขียน
座	zuò	ที่นั่ง
座位	zuò wèi	ที่นั่ง
