爱情	ài qíng	حب
目的	mù dì	غرض
耐心	nài xīn	صبور
难道	nán dào	فعلا
难受	nán shòu	غير مريح
内	nèi	في داخل
内容	nèi róng	المحتوى
能力	néng lì	القدرة
年龄	nián líng	عمر
弄	nòng	فعل
暖和	nuǎn huo	دافئ
偶尔	ǒu ěr	من حين اخر
排队	pái duì	طابور
排列	pái liè	ترتيب
判断	pàn duàn	حكم
陪	péi	مرافقة
批评	pī píng	نقد
皮肤	pí fū	بشرة
脾气	pí qi	لين، لطف، هدأ
篇	piān	مقالات
骗	piàn	الغش
乒乓球	pīng pāng qiú	بينج بونج
平时	píng shí	عادة
破	pò	مكسور
葡萄	pú tao	عنب
普遍	pǔ biàn	عالمي
普通话	pǔ tōng huà	الماندرين
其次	qí cì	ثانيا
其中	qí zhōng	بينهم
气候	qì hòu	مناخ
千万	qiān wàn	عشرة ملايين
签证	qiān zhèng	تأشيرة
敲	qiāo	طرق
桥	qiáo	جسر
巧克力	qiǎo kè lì	شوكولاتة
亲戚	qīn qi	نسبيا
轻	qīng	ضوء
轻松	qīng sōng	سهل
情况	qíng kuàng	يحدث
穷	qióng	فقير
区别	qū bié	الفرق
取	qǔ	يأخذ
全部	quán bù	الكل
缺点	quē diǎn	عيب
缺少	quē shǎo	نقص
却	què	لكن
确实	què shí	في الواقع
然而	rán ér	ومع ذلك
热闹	rè nao	حية
任何	rèn hé	أي
任务	rèn wu	مهمة
扔	rēng	يرمي
仍然	réng rán	ما يزال
日记	rì jì	مذكرات
入口	rù kǒu	مدخل
散步	sàn bù	يتمشى
森林	sēn lín	غابة
沙发	shā fā	كنبة
伤心	shāng xīn	حزين
商量	shāng liang	مناقشة
稍微	shāo wēi	قليل
勺子	sháo zi	ملعقة
社会	shè huì	المجتمع
深	shēn	عميق
申请	shēn qǐng	تطبيق
甚至	shèn zhì	حتى في
生活	shēng huó	الحياة
生命	shēng mìng	الحياة
生意	shēng yì	اعمال
省	shěng	المحافظة
剩	shèng	بقايا
失败	shī bài	بالفشل
失望	shī wàng	خائب الامل
师傅	shī fu	رئيس
十分	shí fēn	للغاية
实际	shí jì	فعلي
实在	shí zài	هل حقا
使	shǐ	يصنع
使用	shǐ yòng	استعمال
世纪	shì jì	مئة عام
是否	shì fǒu	سواء
适合	shì hé	مناسب ل
适应	shì yìng	تأقلم
收	shōu	تسلم
收入	shōu rù	الإيرادات
收拾	shōu shi	رزمة
首都	shǒu dū	رأس المال
首先	shǒu xiān	أولا
受不了	shòu bù liǎo	لا يمكن أن يقف
受到	shòu dào	تعاني
售货员	shòu huò yuán	مندوب مبيعات
输	shū	تخسر
熟悉	shú xī	مألوف
数量	shù liàng	كمية
数字	shù zì	رقمي
帅	shuài	وسيم
顺便	shùn biàn	على فكرة
顺利	shùn lì	بسلاسة
顺序	shùn xù	طلب
说明	shuō míng	وصف
硕士	shuò shì	ماجيستير
死	sǐ	ميت
塑料袋	sù liào dài	حقيبة بلاستيكية
速度	sù dù	سرعة
酸	suān	حامض
随便	suí biàn	عارض
随着	suí zhe	مع
孙子	sūn zi	حفيد
所有	suǒ yǒu	الكل
台	tái	محطة
抬	tái	مصعد
态度	tài du	موقف سلوك
弹钢琴	tán gāng qín	يعزف البيانو
谈	tán	حديث
汤	tāng	حساء
糖	táng	السكر
躺	tǎng	أنسدح
趟	tàng	رحلة قصيرة
讨论	tǎo lùn	مناقشة
讨厌	tǎo yàn	اكرهه
特点	tè diǎn	ميزات
提	tí	أشير
提供	tí gōng	تزود
提前	tí qián	مقدما
提醒	tí xǐng	تذكير
填空	tián kòng	املاء الفراغ
条件	tiáo jiàn	شرط
停	tíng	قف
挺	tǐng	للغاية
通过	tōng guò	بواسطة
通知	tōng zhī	تنويه
同情	tóng qíng	تعاطف، عطف
同时	tóng shí	الوقت ذاته
推	tuī	إدفع
推迟	tuī chí	تأجيل
脱	tuō	اخلع
袜子	wà zi	جورب
完全	wán quán	اكتمال
往往	wǎng wǎng	غالبا
网球	wǎng qiú	تنس
网站	wǎng zhàn	موقع الكتروني
危险	wēi xiǎn	خطر
卫生间	wèi shēng jiān	حمام
味道	wèi dào	المذاق
温度	wēn dù	درجة الحرارة
文章	wén zhāng	مقالة - سلعة
污染	wū rǎn	التلوث
无	wú	لا
无聊	wú liáo	ضجر
无论	wú lùn	بغض النظر
误会	wù huì	سوء فهم
吸引	xī yǐn	جذب
西红柿	xī hóng shì	طماطم
咸	xián	مالح
现金	xiàn jīn	السيولة النقدية
羡慕	xiàn mù	حسد
相反	xiāng fǎn	فى المقابل
相同	xiāng tóng	نفس الشيء
香	xiāng	طيب الرائحة
详细	xiáng xì	مفصلة
响	xiǎng	حلقة
橡皮	xiàng pí	ممحاة
消息	xiāo xi	أخبار
小吃	xiǎo chī	وجبة خفيفة
小伙子	xiǎo huǒ zi	الفتى
小说	xiǎo shuō	خيال
效果	xiào guǒ	تأثير
笑话	xiào huà	نكتة
心情	xīn qíng	مزاج
辛苦	xīn kǔ	الصعب
信封	xìn fēng	ظرف
信息	xìn xī	معلومات
信心	xìn xīn	الثقة
兴奋	xīng fèn	فرح
行	xíng	صف
醒	xǐng	استيقظ
幸福	xìng fú	سعيدة
性别	xìng bié	جنس
性格	xìng gé	حرف
修理	xiū lǐ	يصلح
许多	xǔ duō	كثير من
学期	xué qī	نصف السنة
呀	ya	بلى
压力	yā lì	الضغط
牙膏	yá gāo	معجون الأسنان
亚洲	yà zhōu	آسيا
严格	yán gé	صارم
严重	yán zhòng	جدي
盐	yán	ملح
研究	yán jiū	الدراسة
演出	yǎn chū	تبين
演员	yǎn yuán	الممثل
眼镜	yǎn jìng	نظارات
阳光	yáng guāng	ضوء الشمس
养成	yǎng chéng	طور
样子	yàng zi	يبدو مثل
邀请	yāo qǐng	يدعو
要是	yào shi	إذا
钥匙	yào shi	مفتاح
也许	yě xǔ	يمكن
叶子	yè zi	ورقة الشجر
页	yè	الصفحة
一切	yī qiè	الكل
以	yǐ	إلى
以为	yǐ wéi	يفكر
意见	yì jiàn	رأي
艺术	yì shù	فن
因此	yīn cǐ	وبالتالي
引起	yǐn qǐ	سبب
印象	yìn xiàng	الانطباع
赢	yíng	يفوز
应聘	yìng pìn	التقدم بطلب للحصول
勇敢	yǒng gǎn	شجاع
永远	yǒng yuǎn	دائما وإلى الأبد
优点	yōu diǎn	مميزات
优秀	yōu xiù	ممتاز
幽默	yōu mò	دعابة
尤其	yóu qí	خصوصا
由	yóu	بواسطة
由于	yóu yú	بسبب
邮局	yóu jú	مكتب البريد
友好	yǒu hǎo	ودود
友谊	yǒu yì	صداقة
有趣	yǒu qù	مثير للإعجاب
于是	yú shì	ثم
愉快	yú kuài	سعيدة
与	yǔ	مقابل
羽毛球	yǔ máo qiú	تنس الريشة
语法	yǔ fǎ	قواعد
语言	yǔ yán	لغة
预习	yù xí	معاينة
原来	yuán lái	أصلي
原谅	yuán liàng	يغفر
原因	yuán yīn	السبب
约会	yuē huì	موعد
阅读	yuè dú	اقرأ
云	yún	غيم
允许	yǔn xǔ	السماح
杂志	zá zhì	مجلة
咱们	zán men	نحن
暂时	zàn shí	مؤقتا
脏	zāng	قذر
责任	zé rèn	المسئولية
增加	zēng jiā	زيادة
占线	zhàn xiàn	مشغول
招聘	zhāo pìn	تجنيد
照	zhào	بالنسبة الى
真正	zhēn zhèng	حقيقة
整理	zhěng lǐ	فرز
正常	zhèng cháng	عادي
正好	zhèng hǎo	مجرد حق
正确	zhèng què	صيح
正式	zhèng shì	رسمي
证明	zhèng míng	إثبات
之	zhī	من
支持	zhī chí	تعليق
知识	zhī shi	المعرفه
值得	zhí de	يستحق كل هذا العناء
植物	zhí wù	نبات
直接	zhí jiē	مباشرة
职业	zhí yè	مهنة
只好	zhǐ hǎo	كان يجب ان
只要	zhǐ yào	طالما
指	zhǐ	يعني
至少	zhì shǎo	على الأقل
质量	zhì liàng	جودة
重	zhòng	وزن
重点	zhòng diǎn	التركيز
重视	zhòng shì	القيمة
周围	zhōu wéi	حول
主意	zhǔ yi	فكرة
祝贺	zhù hè	تهنئة
著名	zhù míng	مشهور
专门	zhuān mén	متخصص
专业	zhuān yè	مهنة
转	zhuǎn	منعطف أو دور
赚	zhuàn	كسب
准确	zhǔn què	دقيق
准时	zhǔn shí	في الوقت المحدد
仔细	zǐ xì	حذر
自然	zì rán	طبيعي >> صفة
自信	zì xìn	الثقة
总结	zǒng jié	لنلخص
租	zū	تأجير
最好	zuì hǎo	الأفضل
尊重	zūn zhòng	احترام
左右	zuǒ yòu	حول
作家	zuò jiā	كاتب
作用	zuò yòng	تأثير
作者	zuò zhě	مؤلف
座	zuò	مقعد
座位	zuò wèi	مقعد
