挨	ái	يعاني
被告	bèi gào	المدعى عليه
贝壳	bèi ké	الصدف
奔波	bēn bō	يركض حول
奔驰	bēn chí	بنز
本能	běn néng	غريزه
本钱	běn qián	رأس المال
本人	běn rén	نفسي
本身	běn shēn	بحد ذاتها
本事	běn shi	القدرة
笨拙	bèn zhuō	الخرقاء
崩溃	bēng kuì	انهيار
甭	béng	لا تفعل
蹦	bèng	قفزة
迸发	bèng fā	انفجار
逼迫	bī pò	فرض
鼻涕	bí tì	أنف
比方	bǐ fang	فمثلا
比喻	bǐ yù	تشابه مستعار
比重	bǐ zhòng	نسبة
鄙视	bǐ shì	يحتقر
弊病	bì bìng	توعك
弊端	bì duān	سلبيات
臂	bì	ذراع
闭塞	bì sè	أغلق
编织	biān zhī	نسج
边疆	biān jiāng	حدود
边界	biān jiè	الحدود
边境	biān jìng	الحدود
边缘	biān yuán	حافة
鞭策	biān cè	حافز
扁	biǎn	مسطحة
贬低	biǎn dī	استخفاف
贬义	biǎn yì	ازدراء
便利	biàn lì	مناسب
便条	biàn tiáo	ملحوظة
便于	biàn yú	سهلة ل
变故	biàn gù	مصيبة
变迁	biàn qiān	يتغيرون
变质	biàn zhì	التلف
辨认	biàn rèn	تحديد
辩护	biàn hù	الدفاع
辩解	biàn jiě	عذر
辩证	biàn zhèng	جدلية
辫子	biàn zi	جديلة
遍布	biàn bù	فوق كل
标本	biāo běn	عينة
标记	biāo jì	علامة
标题	biāo tí	عنوان
表决	biǎo jué	تصويت
表态	biǎo tài	موقف
表彰	biǎo zhāng	التعرف على
憋	biē	رجوع
别墅	bié shù	فيلا
别致	bié zhì	أناقة
别扭	biè niu	غير ملائم
濒临	bīn lín	على حافة
冰雹	bīng báo	وابل
丙	bǐng	ج
并非	bìng fēi	ليس
并列	bìng liè	جنباألى جنب
剥削	bō xuē	استغلال
拨	bō	يتصل
播种	bō zhòng	بذر
波浪	bō làng	موجة
波涛	bō tāo	أمواج
伯母	bó mǔ	عمة
博大精深	bó dà jīng shēn	واسع وعميق
博览会	bó lǎn huì	معرض
搏斗	bó dòu	يقاتل
薄弱	bó ruò	ضعيف
不顾	bú gù	بغض النظر عن
不愧	bú kuì	جدير
不料	bú liào	بشكل غير متوقع
不像话	bú xiàng huà	شائن
不屑一顾	bú xiè yī gù	رافض
哺乳	bǔ rǔ	الرضاعة الطبيعية
捕捉	bǔ zhuō	إلتقاط
补偿	bǔ cháng	ميك أب
补救	bǔ jiù	علاج
补贴	bǔ tiē	دعم مالي
不得已	bù dé yǐ	الحل الأخير
不妨	bù fáng	أيضا قد
不敢当	bù gǎn dāng	لا تجرؤ
不禁	bù jīn	لا استطيع المساعدة
不堪	bù kān	لا يطاق
不可思议	bù kě sī yì	لا يصدق
不免	bù miǎn	لا محالة
不时	bù shí	من وقت لآخر
不惜	bù xī	لا تتردد
不相上下	bù xiāng shàng xià	قابلة للمقارنة
不言而喻	bù yán ér yù	غني عن القول
不由得	bù yóu de	لا يسعه ولكن
不择手段	bù zé shǒu duàn	اللعب الصعب
不止	bù zhǐ	أكثر من
布告	bù gào	تنويه
布局	bù jú	نسق
布置	bù zhì	نسق
步伐	bù fá	سرعة
部署	bù shǔ	نشر
部位	bù wèi	موقعك
才干	cái gàn	مهارة
裁缝	cái feng	خياط
裁判	cái pàn	حكم
裁员	cái yuán	تسريح العمال
财富	cái fù	الثروة
财务	cái wù	المالية
财政	cái zhèng	الأمور المالية
彩票	cǎi piào	اليانصيب
采购	cǎi gòu	شراء
采集	cǎi jí	مجموعة
采纳	cǎi nà	تبني
参谋	cān móu	العاملين
参照	cān zhào	مرجع
残疾	cán jí	عجز
残酷	cán kù	قاسي
残留	cán liú	بقايا
残忍	cán rěn	قاسي
灿烂	càn làn	متألق
仓促	cāng cù	متسرع
仓库	cāng kù	مستودع
舱	cāng	الطائرة
苍白	cāng bái	باهت
操劳	cāo láo	اعمل بجد
操练	cāo liàn	ممارسة
操纵	cāo zòng	معالجة
操作	cāo zuò	التشغيل
嘈杂	cáo zá	مزعج
草案	cǎo àn	مشروع
草率	cǎo shuài	متسرع
侧面	cè miàn	جانب
测量	cè liáng	قياس
策划	cè huà	خطة
策略	cè lvè	إستراتيجية
层出不穷	céng chū bù qióng	بلا نهاية
层次	céng cì	مستوى
差别	chā bié	فرق
插座	chā zuò	قابس كهرباء
查获	chá huò	استولى على
刹那	chà nà	لحظة
岔	chà	فرع
诧异	chà yì	مندهش
柴油	chái yóu	زيت الديزل
搀	chān	مزج
缠绕	chán rào	لف
馋	chán	جشع
产业	chǎn yè	صناعة
阐述	chǎn shù	توضيح
颤抖	chàn dǒu	يرتجف
昌盛	chāng shèng	الازدهار
偿还	cháng huán	سداد
尝试	cháng shì	محاولة
场合	chǎng hé	مناسبات
场面	chǎng miàn	مشهد
场所	chǎng suǒ	مكان
敞开	chǎng kāi	مفتوح على مصراعيه
倡导	chàng dǎo	المؤيد
倡议	chàng yì	مبادرة
畅通	chàng tōng	الملغى حظره
畅销	chàng xiāo	الأكثر مبيعا
超越	chāo yuè	وراء
钞票	chāo piào	الأوراق النقدية
嘲笑	cháo xiào	يعيره بخطئه
巢穴	cháo xué	عش
朝代	cháo dài	سلالة حاكمة
潮流	cháo liú	الاتجاه
撤退	chè tuì	تراجع
撤销	chè xiāo	سحب او إبطال
沉淀	chén diàn	ترسب
沉闷	chén mèn	ممل
沉思	chén sī	تأمل
沉重	chén zhòng	ثقيل
沉着	chén zhuó	هدوء
陈旧	chén jiù	عفا عليها الزمن
陈列	chén liè	عرض
陈述	chén shù	بيان
称心如意	chèn xīn rú yì	مرض
衬托	chèn tuō	انطلقت
称号	chēng hào	عنوان
乘	chéng	تتضاعف
呈现	chéng xiàn	حاضر
城堡	chéng bǎo	قلعة
惩罚	chéng fá	عقاب
成本	chéng běn	كلفة
成交	chéng jiāo	صفقة
成天	chéng tiān	طوال اليوم
成效	chéng xiào	فعالية
成心	chéng xīn	عن عمد
成员	chéng yuán	عضو
承办	chéng bàn	تعهد
承包	chéng bāo	عقد
承诺	chéng nuò	ملتزم ب
橙	chéng	البرتقالي
澄清	chéng qīng	توضيح
盛	chéng	شنغ
诚挚	chéng zhì	صادق
秤	chèng	مقاييس
吃苦	chī kǔ	تعاني
吃力	chī lì	شاق
持久	chí jiǔ	دائم
迟钝	chí dùn	بطيء
迟缓	chí huǎn	بطيء
迟疑	chí yí	تردد
赤道	chì dào	استوائي
赤字	chì zì	عجز
充当	chōng dāng	يتصرف مثل
充沛	chōng pèi	الوفيرة
充实	chōng shí	يثرى
充足	chōng zú	كاف
冲动	chōng dòng	دفعة
冲击	chōng jī	صدمة
冲突	chōng tū	نزاع
崇拜	chóng bài	عبادة
崇高	chóng gāo	سامية
崇敬	chóng jìng	احترام
重叠	chóng dié	تداخل
稠密	chóu mì	كثيف
筹备	chóu bèi	تجهيز
丑恶	chǒu è	البشع
出路	chū lù	مخرج
出卖	chū mài	يبيع
出身	chū shēn	الأصل
出神	chū shén	نشوة
出息	chū xi	أمتياز
初步	chū bù	أولية
除	chú	إلا
储备	chǔ bèi	الاحتياطي
储存	chǔ cún	متجر
储蓄	chǔ xù	مدخرات
处分	chǔ fèn	عقوبة
处境	chǔ jìng	موقف
处置	chǔ zhì	تخلص من
触犯	chù fàn	الإساءة
川流不息	chuān liú bù xī	تيار مستمر
穿越	chuān yuè	اجتياز
传达	chuán dá	نقل
传单	chuán dān	فلاير
传授	chuán shòu	يعلم
船舶	chuán bó	سفينة
喘气	chuǎn qì	يلهث
串	chuàn	خيط
床单	chuáng dān	غطاء السرير
创立	chuàng lì	تأسست
创新	chuàng xīn	ابتكار
创业	chuàng yè	بدء النشاط التجاري
创作	chuàng zuò	خلق
吹牛	chuī niú	تباهى
吹捧	chuī pěng	أكثر تسطحا
炊烟	chuī yān	دخان الطبخ
垂直	chuí zhí	عمودي
锤	chuí	شاكوش
纯粹	chún cuì	بحتة
纯洁	chún jié	نقي
慈善	cí shàn	الخيرية
慈祥	cí xiáng	يرجى
磁带	cí dài	شريط
雌雄	cí xióng	ذكر و أنثى
伺候	cì hòu	تخدم
刺	cì	شوكة
次品	cì pǐn	معيب
次序	cì xù	طلب
丛	cóng	أجمة
从容	cóng róng	بهدوء
凑合	còu he	ارتجل
粗鲁	cū lǔ	قلة الادب
窜	cuàn	قناة
摧残	cuī cán	دمار
脆弱	cuì ruò	هشة
搓	cuō	إلتواء
磋商	cuō shāng	التشاور
挫折	cuò zhé	الإحباط
搭	dā	يأخذ
搭档	dā dàng	شريك
搭配	dā pèi	مباراة
答辩	dá biàn	الرد
答复	dá fù	الرد
达成	dá chéng	تصل
打包	dǎ bāo	بالة
打官司	dǎ guān si	دعوى
打击	dǎ jī	نفخ
打架	dǎ jià	يقاتل
打量	dǎ liang	ينظر الى
打猎	dǎ liè	مطاردة
打仗	dǎ zhàng	يقاتل
大不了	dà bù liǎo	صفقة كبيرة
大臣	dà chén	وزير
大伙儿	dà huǒ r	كل واحد
大肆	dà sì	عشوائيا
大体	dà tǐ	بشكل عام
大意	dà yì	الفكرة الرئيسية
大致	dà zhì	تقريبا
歹徒	dǎi tú	رجل عصابة
代价	dài jià	كلفة
代理	dài lǐ	الوكيل
带领	dài lǐng	قيادة
怠慢	dài màn	إهمال
逮捕	dài bǔ	يقبض على
担保	dān bǎo	ضمان
胆怯	dǎn qiè	خجول
淡季	dàn jì	موسمها
淡水	dàn shuǐ	مياه عذبة
蛋白质	dàn bái zhì	بروتين
诞辰	dàn chén	عيد الميلاد
诞生	dàn shēng	مولود
当场	dāng chǎng	في المنطقة
当初	dāng chū	في البداية
当代	dāng dài	معاصر
当面	dāng miàn	وجها لوجه
当前	dāng qián	تيار
当事人	dāng shì rén	حفل
当务之急	dāng wù zhī jí	صيغة الامر
当选	dāng xuǎn	انتخب
党	dǎng	حفل
档案	dàng àn	ملف
档次	dàng cì	درجة
倒闭	dǎo bì	انهيار
导弹	dǎo dàn	صاروخ
导航	dǎo háng	التنقل
导向	dǎo xiàng	يرشد
捣乱	dǎo luàn	يسبب المتاعب
盗窃	dào qiè	سرقة
稻谷	dào gǔ	حقول الأرز
得不偿失	dé bù cháng shī	لا تستحق الخسارة
得力	dé lì	فعال
得天独厚	dé tiān dú hòu	مبارك
得罪	dé zuì	الإساءة
灯笼	dēng lóng	فانوس
登录	dēng lù	تسجيل الدخول
登陆	dēng lù	تسجيل الدخول
蹬	dēng	ركلة
等候	děng hòu	انتظار
等级	děng jí	درجة
瞪	dèng	التحديق
堤坝	dī bà	سد
敌视	dí shì	عدائي
抵达	dǐ dá	وصول
抵抗	dǐ kàng	مقاومة
抵制	dǐ zhì	يقاوم
地步	dì bù	نقطة
地势	dì shì	تضاريس
地质	dì zhì	جيولوجيا
递增	dì zēng	زيادة
颠簸	diān bǒ	مطبات
颠倒	diān dǎo	يعكس
典礼	diǎn lǐ	مراسم
典型	diǎn xíng	نموذجي
点缀	diǎn zhuì	زخرفة
垫	diàn	ضمادة
奠定	diàn dìng	بسط
惦记	diàn jì	تقلق
电源	diàn yuán	مزود الطاقة
叼	diāo	استرخى
雕刻	diāo kè	النحت
雕塑	diāo sù	النحت
吊	diào	شنق
调动	diào dòng	حشد
跌	diē	خريف
丁	dīng	دينغ
叮嘱	dīng zhǔ	حض
盯	dīng	التحديق
定期	dìng qī	منتظم
定义	dìng yì	تعريف
丢人	diū rén	عار
丢三落四	diū sān là sì	تفقد كل شيء
东道主	dōng dào zhǔ	مضيف
东张西望	dōng zhāng xī wàng	ينظر حوله
董事长	dǒng shì zhǎng	رئيس
冻结	dòng jié	تجميد
动荡	dòng dàng	اضطراب
动机	dòng jī	التحفيز
动静	dòng jìng	حركة
动力	dòng lì	قوة
动脉	dòng mài	شريان
动身	dòng shēn	غادر
动手	dòng shǒu	تشابك الايدى
动态	dòng tài	ديناميكي
动员	dòng yuán	التعبئة
栋	dòng	دونغ
兜	dōu	جيب
陡峭	dǒu qiào	انحدار
斗争	dòu zhēng	صراع
督促	dū cù	حث
毒品	dú pǐn	دواء
独裁	dú cái	دكتاتورية
堵塞	dǔ sè	انسداد
赌博	dǔ bó	القمار
杜绝	dù jué	ضع نهايه ل
端	duān	النهاية
端午节	duān wǔ jié	مهرجان قوارب التنين
端正	duān zhèng	صيح
短促	duǎn cù	قصيرة
断定	duàn dìng	تحديد
断绝	duàn jué	قطع
堆积	duī jī	تراكم
兑现	duì xiàn	السيولة النقدية
对策	duì cè	إجراء مضاد
对称	duì chèn	تناظر
对付	duì fu	التعامل مع
对抗	duì kàng	مواجهة
对立	duì lì	معارضة
对联	duì lián	زوجان
对应	duì yìng	تطابق
对照	duì zhào	مراقبة
队伍	duì wu	الفريق
顿时	dùn shí	فجأة
哆嗦	duō suo	يرتجف
多元化	duō yuán huà	تنويع
堕落	duò luò	فاسد
额外	é wài	إضافي
恶心	ě xin	غثيان
恶化	è huà	تدهور
遏制	è zhì	يحتوي
恩怨	ēn yuàn	استياء
而已	ér yǐ	هذا هو
二氧化碳	èr yǎng huà tàn	نشبع
发布	fā bù	إطلاق سراح
发财	fā cái	كن غنيا
发呆	fā dāi	دوخ
发动	fā dòng	إطلاق
发觉	fā jué	تجد
发射	fā shè	انبعاث
发誓	fā shì	أقسم
发行	fā xíng	نشر
发炎	fā yán	حمى
发扬	fā yáng	المضي قدما
发育	fā yù	تطوير
法人	fǎ rén	شخص قانوني
番	fān	معجب
凡是	fán shì	الكل
繁华	fán huá	صاخبة
繁忙	fán máng	مشغول
繁体字	fán tǐ zì	الصينية التقليدية
繁殖	fán zhí	تربية
反驳	fǎn bó	دحض
反常	fǎn cháng	غير طبيعي
反感	fǎn gǎn	لم يعجبنى
反抗	fǎn kàng	تمرد
反馈	fǎn kuì	ردود الفعل
反面	fǎn miàn	سلبي
反射	fǎn shè	انعكاس
反思	fǎn sī	انعكاس
反问	fǎn wèn	سؤال بلاغي
反之	fǎn zhī	على العكس تماما
泛滥	fàn làn	فيضان
范畴	fàn chóu	الفئة
贩卖	fàn mài	يبيع
方位	fāng wèi	موضع
方言	fāng yán	لهجة
方圆	fāng yuán	فانجيوان
方针	fāng zhēn	سياسات
防守	fáng shǒu	دفاعي
防御	fáng yù	دفاع
防止	fáng zhǐ	يحول دون
防治	fáng zhì	مراقبة
纺织	fǎng zhī	الغزل والنسيج
访问	fǎng wèn	التمكن من
放大	fàng dà	تكبير
放射	fàng shè	إشعاع
非法	fēi fǎ	غير شرعي
飞禽走兽	fēi qín zǒu shòu	الطيور والوحوش
飞翔	fēi xiáng	يطير
飞跃	fēi yuè	طفرة - قفزه
肥沃	féi wò	خصب
诽谤	fěi bàng	تشهير
废除	fèi chú	إلغاء
废寝忘食	fèi qǐn wàng shí	بلا نوم
废墟	fèi xū	أثار
沸腾	fèi téng	الغليان
肺	fèi	رئة
分辨	fēn biàn	تميز
分寸	fēn cun	قياس
分红	fēn hóng	أرباح
分解	fēn jiě	انفصال
分裂	fēn liè	انشق، مزق
分泌	fēn mì	إفراز
分明	fēn míng	خامد
分歧	fēn qí	الخلاف
分散	fēn sàn	تشتت
吩咐	fēn fù	طلب
坟墓	fén mù	القبر
粉末	fěn mò	مسحوق
粉色	fěn sè	زهري
粉碎	fěn suì	تحطيم
分量	fèn liàng	جزء
愤怒	fèn nù	الغضب
丰满	fēng mǎn	ممتلئ
丰盛	fēng shèng	غني
丰收	fēng shōu	ختاتهن
封闭	fēng bì	مغلق
封建	fēng jiàn	إقطاعي
封锁	fēng suǒ	حصار
锋利	fēng lì	حاد
风暴	fēng bào	عاصفة
风度	fēng dù	سلوك
风光	fēng guāng	منظر طبيعى
风气	fēng qì	الغلاف الجوي
风趣	fēng qù	مضحك
风土人情	fēng tǔ rén qíng	العادات والتقاليد المحلية
风味	fēng wèi	نكهة
逢	féng	كل
奉献	fèng xiàn	تفان
否决	fǒu jué	حق النقض
夫妇	fū fù	زوجان
夫人	fū ren	سيدة
敷衍	fū yǎn	روتيني
俘虏	fú lǔ	أسير
幅度	fú dù	السعة
服从	fú cóng	يطيع
服气	fú qì	مقتنع
福利	fú lì	خير
福气	fú qi	بركة
符号	fú hào	رمز
辐射	fú shè	إشعاع
俯视	fǔ shì	أنظر للأسفل
抚摸	fǔ mō	التمسيد
抚养	fǔ yǎng	رفع
腐败	fǔ bài	الفساد
腐烂	fǔ làn	تعفن
腐蚀	fǔ shí	تآكل
腐朽	fǔ xiǔ	تسوس
辅助	fǔ zhù	مساعدة
副	fù	نائب
复活	fù huó	القيامة
复兴	fù xīng	إحياء
富裕	fù yù	غني
腹泻	fù xiè	إسهال
覆盖	fù gài	التغطية
负担	fù dān	عبء
赋予	fù yǔ	يعطى
附和	fù hè	امشي
附件	fù jiàn	المرفق
附属	fù shǔ	تعلق
改良	gǎi liáng	تحسن
盖章	gài zhāng	ختم
钙	gài	الكالسيوم
尴尬	gān gà	غير ملائم
干旱	gān hàn	جفاف
干扰	gān rǎo	التشوش
干涉	gān shè	يضع شخصا ما في ورطة
干预	gān yù	تدخل قضائي
感慨	gǎn kǎi	تنهد
感染	gǎn rǎn	عدوى
干劲	gàn jìn	الحماس
扛	gāng	احمل
纲领	gāng lǐng	برنامج
岗位	gǎng wèi	بريد
港口	gǎng kǒu	ميناء
港湾	gǎng wān	مرفأ
杠杆	gàng gǎn	رافعة
高超	gāo chāo	رائع
高潮	gāo cháo	ذروة
高峰	gāo fēng	قمة
高明	gāo míng	ذكي
高尚	gāo shàng	النبيل
高涨	gāo zhǎng	ارتفاع
稿件	gǎo jiàn	مخطوطة
告辞	gào cí	توديع - فراق
告诫	gào jiè	عتاب
割	gē	يقطع
搁	gē	وضع
歌颂	gē sòng	مديح
疙瘩	gē da	بثرة
鸽子	gē zi	حمامة
格局	gé jú	نمط
格式	gé shì	شكل
隔阂	gé hé	الفارق
隔离	gé lí	عزل
革命	gé mìng	ثورة
个体	gè tǐ	فرد
各抒己见	gè shū jǐ jiàn	عبر عن آرائهم
根深蒂固	gēn shēn dì gù	متأصل
根源	gēn yuán	مصدر
跟前	gēn qián	فى مواجهة
跟随	gēn suí	إتبع
跟踪	gēn zōng	المسار
更新	gēng xīn	تحديث
更正	gēng zhèng	صيح
耕地	gēng dì	أرض صالحة للزراعة
供不应求	gōng bù yìng qiú	نقص المعروض
供给	gōng jǐ	يتبرع
公安局	gōng ān jú	مكتب الأمن العام
公道	gōng dào	عدالة
公告	gōng gào	إعلان
公关	gōng guān	العلاقات العامة
公民	gōng mín	مواطن
公然	gōng rán	علنا
公认	gōng rèn	قبلت
公式	gōng shì	معادلة
公务	gōng wù	عمل رسمي
公正	gōng zhèng	مجرد
公证	gōng zhèng	التوثيق
功劳	gōng láo	ائتمان
功效	gōng xiào	تأثير
宫殿	gōng diàn	قصر
工艺品	gōng yì pǐn	الحرف
恭敬	gōng jìng	محترم
攻击	gōng jī	هجوم
攻克	gōng kè	إلتقاط
巩固	gǒng gù	توطيد
共和国	gòng hé guó	جمهورية
共计	gòng jì	مجموع
共鸣	gòng míng	صدى
勾结	gōu jié	تواطأ
钩子	gōu zi	صنارة صيد
构思	gòu sī	فكرة
姑且	gū qiě	مؤقتا
孤独	gū dú	وحيد
孤立	gū lì	معزول
辜负	gū fù	خذل
古董	gǔ dǒng	العتيقة
古怪	gǔ guài	غريبة الاطوار
股东	gǔ dōng	شريك
股份	gǔ fèn	تشارك
骨干	gǔ gàn	العمود الفقري
鼓动	gǔ dòng	أثار
固然	gù rán	بالطبع
固体	gù tǐ	صلب
固有	gù yǒu	متأصل
固执	gù zhi	عنيد
故乡	gù xiāng	الصفحة الرئيسية
故障	gù zhàng	عطل
雇佣	gù yōng	توظيف
顾虑	gù lv4	الاهتمام
顾问	gù wèn	استشاري
拐杖	guǎi zhàng	عكاز
关怀	guān huái	رعاية
关照	guān zhào	رعاية
官方	guān fāng	الرسمية
观光	guān guāng	الذهاب لمشاهدة معالم المدينة
管辖	guǎn xiá	الاختصاص القضائي
惯例	guàn lì	مؤتمر
灌溉	guàn gài	الري
罐	guàn	خزان
贯彻	guàn chè	تنفيذ
光彩	guāng cǎi	المجيد
光辉	guāng huī	المجيد
光芒	guāng máng	ضوء
光荣	guāng róng	مجد
广阔	guǎng kuò	عريض
归根到底	guī gēn dào dǐ	في التحليل النهائي
归还	guī huán	إرجاع
规范	guī fàn	تخصيص
规格	guī gé	تخصيص
规划	guī huà	التخطيط
规章	guī zhāng	اللوائح
轨道	guǐ dào	المسار
贵族	guì zú	النبيل
跪	guì	اركع
棍棒	gùn bàng	عصا
国防	guó fáng	الدفاع الوطني
国务院	guó wù yuàn	مجلس الدولة
果断	guǒ duàn	حاسم
过度	guò dù	على
过渡	guò dù	انتقال
过奖	guò jiǎng	فوق المعدل
过滤	guò lv4	منقي
过失	guò shī	خطأ
过问	guò wèn	تدخل
过瘾	guò yǐn	ممتع
过于	guò yú	جدا
嗨	hāi	مرحبا
海拔	hǎi bá	ارتفاع
海滨	hǎi bīn	شاطئ البحر
含糊	hán hu	مشاكل
含义	hán yì	المعنى
寒暄	hán xuān	تحية
罕见	hǎn jiàn	نادر
捍卫	hàn wèi	الدفاع
航空	háng kōng	طيران
航天	háng tiān	الفضاء
航行	háng xíng	إبحار
行列	háng liè	الرتب
毫米	háo mǐ	مم
毫无	háo wú	لا شيئ
豪迈	háo mài	بطولي
号召	hào zhào	يدعو إلى
耗费	hào fèi	كلفة
呵	hē	آه
合并	hé bìng	دمج
合成	hé chéng	نتيجة الجمع بين الطريحة والنقيضة
合伙	hé huǒ	شراكة
合算	hé suàn	فعاله من حيث التكلفه
和蔼	hé ǎi	طيب القلب
和解	hé jiě	تصالح
和睦	hé mù	انسجام
和气	hé qi	اللطف
和谐	hé xié	متناغم
嘿	hēi	مهلا
痕迹	hén jì	أثر
狠心	hěn xīn	بلا قلب
恨不得	hèn bu dé	لا استطيع الانتظار
哼	hēng	همف
横	héng	عرضي
哄	hōng	اقناع
烘	hōng	خبز
轰动	hōng dòng	إحساس
宏观	hóng guān	دقيق
宏伟	hóng wěi	رائع
洪水	hóng shuǐ	فيضان
喉咙	hóu lóng	حلق
吼	hǒu	هدير
候选	hòu xuǎn	مرشح
后代	hòu dài	النسل
后顾之忧	hòu gù zhī yōu	قلق
后勤	hòu qín	الخدمات اللوجستية
呼唤	hū huàn	مكالمة
呼啸	hū xiào	عواء
呼吁	hū yù	مكالمة
忽略	hū lvè	تجاهل
湖泊	hú pō	بحيرة
胡乱	hú luàn	بإهمال
胡须	hú xū	لحية
花瓣	huā bàn	البتلة
花蕾	huā lěi	برعم
华丽	huá lì	رائع
华侨	huá qiáo	الصينيون في الخارج
划分	huà fēn	يقسم
化肥	huà féi	سماد
化石	huà shí	حفرية
化验	huà yàn	فحص
化妆	huà zhuāng	ميك أب
画蛇添足	huà shé tiān zú	لا لزوم له
话筒	huà tǒng	ميكروفون
欢乐	huān lè	الفرح
环节	huán jié	حلقة الوصل
还原	huán yuán	تخفيض
缓和	huǎn hé	سهولة
患者	huàn zhě	صبور
荒凉	huāng liáng	مهجور
荒谬	huāng miù	سخيف
荒唐	huāng táng	سخيف
皇帝	huáng dì	إمبراطورية
皇后	huáng hòu	ملكة
黄昏	huáng hūn	الغسق
恍然大悟	huǎng rán dà wù	أدركت فجأة
晃	huǎng	هزة
挥霍	huī huò	تفاخر
辉煌	huī huáng	متألق
回报	huí bào	إرجاع
回避	huí bì	تجنب
回顾	huí gù	مراجعة
回收	huí shōu	إعادة التدوير
悔恨	huǐ hèn	الندم
毁灭	huǐ miè	هدم
会晤	huì wù	لقاء
汇报	huì bào	نقل
贿赂	huì lù	رشوة
昏迷	hūn mí	غيبوبة
荤	hūn	لحم
浑身	hún shēn	فوق كل
混合	hùn hé	خلط
混乱	hùn luàn	الالتباس
混淆	hùn xiáo	يربك
混浊	hùn zhuó	كثيف
活该	huó gāi	تستحقها
活力	huó lì	حيوية
火箭	huǒ jiàn	صاروخ
火焰	huǒ yàn	لهب
火药	huǒ yào	البارود
货币	huò bì	عملة
基地	jī dì	يتمركز
基金	jī jīn	الأموال
基因	jī yīn	الجين
机动	jī dòng	مناورة
机构	jī gòu	آلية
机灵	jī ling	ذكي
机密	jī mì	سري
机械	jī xiè	ميكانيكي
机遇	jī yù	فرصة
机智	jī zhì	بارع
激发	jī fā	إثارة
激励	jī lì	إثارة
激情	jī qíng	شغف
讥笑	jī xiào	سخرية
饥饿	jī è	جوع
即便	jí biàn	حتى و إن
即将	jí jiāng	قريبا
及早	jí zǎo	مبكرا
吉祥	jí xiáng	الميمون
嫉妒	jí dù	غيور
急功近利	jí gōng jìn lì	نجاح سريع
急剧	jí jù	حاد
急切	jí qiè	حريص
急于求成	jí yú qiú chéng	حريصة على النجاح
急躁	jí zào	نافذ الصبر
极端	jí duān	أقصى
极限	jí xiàn	حد
疾病	jí bìng	مرض
籍贯	jí guàn	مسقط رأس
级别	jí bié	مستوى
集团	jí tuán	مجموعة
给予	jǐ yǔ	يعطى
季军	jì jūn	المكان الثالث
季度	jì dù	ربعي
寂静	jì jìng	الصمت
寄托	jì tuō	ودع
忌讳	jì huì	المحرمات
技巧	jì qiǎo	مهارة
纪要	jì yào	ملخص
继承	jì chéng	يرث
计较	jì jiào	اهتم ب
记性	jì xing	ذاكرة
记载	jì zǎi	سجل
迹象	jì xiàng	إشارة
