爱情	ài qíng	yêu và quý
接受	jiē shòu	chấp nhận
接着	jiē zhe	sau đó
结果	jié guǒ	kết quả
节	jié	phần
节约	jié yuē	tiết kiệm
解释	jiě shì	giải trình
尽管	jǐn guǎn	mặc dù
紧张	jǐn zhāng	căng thẳng
禁止	jìn zhǐ	cấm
进行	jìn xíng	leo lên
京剧	jīng jù	kinh kịch
精彩	jīng cǎi	tuyệt vời
经济	jīng jì	thuộc kinh tế
经历	jīng lì	kinh nghiệm
经验	jīng yàn	kinh nghiệm
景色	jǐng sè	lượt xem
警察	jǐng chá	cảnh sát
竞争	jìng zhēng	cuộc thi
竟然	jìng rán	thực ra
镜子	jìng zi	gương
究竟	jiū jìng	chính xác
举	jǔ	thang máy
举办	jǔ bàn	giữ
举行	jǔ xíng	giữ
拒绝	jù jué	từ chối
聚会	jù huì	họp lại
距离	jù lí	khoảng cách
开玩笑	kāi wán xiào	trò đùa
开心	kāi xīn	vui mừng
看法	kàn fǎ	lượt xem
烤鸭	kǎo yā	vịt quay
考虑	kǎo lv4	xem xét
棵	kē	cây
科学	kē xué	khoa học
咳嗽	ké sou	ho
可怜	kě lián	thảm hại
可是	kě shì	nhưng
可惜	kě xī	không may
客厅	kè tīng	phòng khách
肯定	kěn dìng	chắc chắn rồi
空	kōng	không khí
空气	kōng qì	không khí
恐怕	kǒng pà	tôi e rằng
苦	kǔ	đắng
矿泉水	kuàng quán shuǐ	nước khoáng
困	kùn	ngái ngủ
困难	kùn nan	khó khăn
垃圾桶	lā jī tǒng	thùng rác
拉	lā	kéo
辣	là	nóng bức
来不及	lái bu jí	quá muộn
来得及	lái de jí	quá muộn
来自	lái zì	từ
懒	lǎn	lười biếng
浪费	làng fèi	chất thải
浪漫	làng màn	lãng mạn
老虎	lǎo hǔ	con hổ
冷静	lěng jìng	điềm tĩnh
理发	lǐ fà	cắt tóc
理解	lǐ jiě	hiểu biết
理想	lǐ xiǎng	lý tưởng
礼拜天	lǐ bài tiān	chủ nhật
礼貌	lǐ mào	lịch sự
例如	lì rú	ví dụ
力气	lì qi	sức mạnh
厉害	lì hai	tuyệt quá
俩	liǎ	cả hai
联系	lián xì	tiếp xúc
连	lián	cũng
凉快	liáng kuai	mát
零钱	líng qián	thay đổi nhỏ
另外	lìng wài	ngoài ra
流利	liú lì	trôi chảy
流行	liú xíng	phổ biến
留	liú	ở lại
旅行	lǚ xíng	du lịch
乱	luàn	sự hỗn loạn
律师	lv4 shī	luật sư
麻烦	má fan	rắc rối
马虎	mǎ hu	cẩu thả
满	mǎn	đầy
毛	máo	tóc
毛巾	máo jīn	khăn tắm
美丽	měi lì	xinh đẹp
梦	mèng	mơ
迷路	mí lù	bị lạc
密码	mì mǎ	mật khẩu
免费	miǎn fèi	miễn phí
秒	miǎo	thứ hai
民族	mín zú	quốc gia
母亲	mǔ qīn	mẹ
目的	mù dì	mục đích
耐心	nài xīn	kiên nhẫn
难道	nán dào	là nó
难受	nán shòu	khó chịu
内	nèi	phía trong
内容	nèi róng	nội dung
能力	néng lì	có khả năng
年龄	nián líng	tuổi tác
弄	nòng	làm
暖和	nuǎn huo	ấm áp
偶尔	ǒu ěr	thỉnh thoảng
排队	pái duì	xếp hàng
排列	pái liè	sắp xếp
判断	pàn duàn	sự phán xét
陪	péi	đồng hành
批评	pī píng	sự chỉ trích
皮肤	pí fū	làn da
脾气	pí qi	nóng nảy
篇	piān	bài viết
骗	piàn	lừa đảo
乒乓球	pīng pāng qiú	bóng bàn
平时	píng shí	thông thường
破	pò	bị hỏng
葡萄	pú tao	giống nho
普遍	pǔ biàn	phổ cập
普通话	pǔ tōng huà	quan thoại
其次	qí cì	thứ hai
其中	qí zhōng	trong số họ
气候	qì hòu	khí hậu
千万	qiān wàn	mười triệu
签证	qiān zhèng	hộ chiếu
敲	qiāo	gõ cửa
桥	qiáo	cầu
巧克力	qiǎo kè lì	sô cô la
亲戚	qīn qi	quan hệ
轻	qīng	ánh sáng
轻松	qīng sōng	dễ dàng
情况	qíng kuàng	đang xảy ra
穷	qióng	nghèo
区别	qū bié	sự khác biệt
取	qǔ	lấy
全部	quán bù	tất cả
缺点	quē diǎn	bất lợi
缺少	quē shǎo	thiếu sót
却	què	nhưng
确实	què shí	thật
然而	rán ér	tuy nhiên
热闹	rè nao	sống động
任何	rèn hé	bất kì
任务	rèn wu	bài tập
扔	rēng	phi
仍然	réng rán	vẫn
日记	rì jì	nhật ký
入口	rù kǒu	cổng vào
散步	sàn bù	đi dạo
森林	sēn lín	rừng
沙发	shā fā	ghế sô pha
伤心	shāng xīn	buồn
商量	shāng liang	bàn luận
稍微	shāo wēi	một chút
勺子	sháo zi	cái thìa
社会	shè huì	xã hội
深	shēn	sâu
申请	shēn qǐng	ứng dụng
甚至	shèn zhì	cũng
生活	shēng huó	đời sống
生命	shēng mìng	đời sống
生意	shēng yì	kinh doanh
省	shěng	tỉnh
剩	shèng	thức ăn thừa
失败	shī bài	sự thất bại
失望	shī wàng	thất vọng
师傅	shī fu	bậc thầy
十分	shí fēn	rất
实际	shí jì	thực tế
实在	shí zài	có thật không
使	shǐ	làm
使用	shǐ yòng	sử dụng
世纪	shì jì	kỷ
是否	shì fǒu	liệu
适合	shì hé	phù hợp với
适应	shì yìng	phỏng theo
收	shōu	nhận được
收入	shōu rù	thu nhập = earnings
收拾	shōu shi	đóng gói
首都	shǒu dū	thủ đô
首先	shǒu xiān	đầu tiên
受不了	shòu bù liǎo	không chịu được
受到	shòu dào	đau khổ
售货员	shòu huò yuán	nhân viên bán hàng
输	shū	thua
熟悉	shú xī	quen thuộc với
数量	shù liàng	định lượng
数字	shù zì	kỹ thuật số
帅	shuài	đẹp
顺便	shùn biàn	nhân tiện
顺利	shùn lì	thông suốt
顺序	shùn xù	đặt hàng
说明	shuō míng	sự miêu tả
硕士	shuò shì	bằng thạc sĩ
死	sǐ	đã chết
塑料袋	sù liào dài	túi nhựa
速度	sù dù	tốc độ
酸	suān	axit
随便	suí biàn	binh thương
随着	suí zhe	cùng với
孙子	sūn zi	cháu trai
所有	suǒ yǒu	tất cả
台	tái	ga tàu
抬	tái	thang máy
态度	tài du	thái độ
弹钢琴	tán gāng qín	chơi đàn piano
谈	tán	nói chuyện
汤	tāng	súp
糖	táng	đường
躺	tǎng	nằm xuống
趟	tàng	chuyến đi
讨论	tǎo lùn	bàn luận
讨厌	tǎo yàn	ghét
特点	tè diǎn	đặc trưng
提	tí	đề cập
提供	tí gōng	cung cấp
提前	tí qián	trước
提醒	tí xǐng	nhắc lại
填空	tián kòng	điền vào chỗ trống
条件	tiáo jiàn	tình trạng
停	tíng	dừng lại
挺	tǐng	rất
通过	tōng guò	bởi
通知	tōng zhī	để ý
同情	tóng qíng	cảm thông
同时	tóng shí	đồng thời
推	tuī	đẩy
推迟	tuī chí	trì hoãn
脱	tuō	cởi
袜子	wà zi	bít tất
完全	wán quán	hoàn thành
往往	wǎng wǎng	thường xuyên
网球	wǎng qiú	quần vợt
网站	wǎng zhàn	trang mạng
危险	wēi xiǎn	nguy hiểm
卫生间	wèi shēng jiān	phòng tắm
味道	wèi dào	nếm thử
温度	wēn dù	nhiệt độ
文章	wén zhāng	bài báo
污染	wū rǎn	sự ô nhiễm
无	wú	không
无聊	wú liáo	chán
无论	wú lùn	bất kể
误会	wù huì	sự hiểu lầm
吸引	xī yǐn	thu hút
西红柿	xī hóng shì	cà chua
咸	xián	mặn
现金	xiàn jīn	tiền mặt
羡慕	xiàn mù	đố kỵ
相反	xiāng fǎn	ngược lại
相同	xiāng tóng	giống nhau
香	xiāng	thơm
详细	xiáng xì	chi tiết
响	xiǎng	nhẫn
橡皮	xiàng pí	cao su
消息	xiāo xi	tin tức
小吃	xiǎo chī	snack
小伙子	xiǎo huǒ zi	thanh niên
小说	xiǎo shuō	viễn tưởng
效果	xiào guǒ	hiệu ứng
笑话	xiào huà	trò đùa
心情	xīn qíng	tâm trạng
辛苦	xīn kǔ	cứng
信封	xìn fēng	phong bì
信息	xìn xī	thông tin
信心	xìn xīn	sự tự tin
兴奋	xīng fèn	bị kích thích
行	xíng	hàng
醒	xǐng	thức dậy
幸福	xìng fú	vui mừng
性别	xìng bié	giới tính
性格	xìng gé	tính cách
修理	xiū lǐ	sửa
许多	xǔ duō	rất nhiều
学期	xué qī	học kỳ
呀	ya	vâng
压力	yā lì	sức ép
牙膏	yá gāo	kem đánh răng
亚洲	yà zhōu	châu á
严格	yán gé	nghiêm khắc
严重	yán zhòng	nghiêm trọng
盐	yán	muối
研究	yán jiū	nghiên cứu
演出	yǎn chū	chỉ
演员	yǎn yuán	diễn viên
眼镜	yǎn jìng	kính
阳光	yáng guāng	ánh sáng mặt trời
养成	yǎng chéng	phát triển, xây dựng
样子	yàng zi	trông giống như
邀请	yāo qǐng	mời gọi
要是	yào shi	nếu
钥匙	yào shi	chìa khóa
也许	yě xǔ	có lẽ
叶子	yè zi	lá cây
页	yè	trang
一切	yī qiè	tất cả
以	yǐ	đến
以为	yǐ wéi	suy nghĩ
意见	yì jiàn	ý kiến
艺术	yì shù	nghệ thuật
因此	yīn cǐ	vì thế
引起	yǐn qǐ	nguyên nhân
印象	yìn xiàng	ấn tượng
赢	yíng	thắng lợi
应聘	yìng pìn	áp dụng cho
勇敢	yǒng gǎn	can đảm
永远	yǒng yuǎn	mãi mãi và luôn luôn
优点	yōu diǎn	lợi thế
优秀	yōu xiù	thông minh
幽默	yōu mò	hài hước
尤其	yóu qí	đặc biệt
由	yóu	bởi
由于	yóu yú	do
邮局	yóu jú	bưu điện
友好	yǒu hǎo	thân thiện
友谊	yǒu yì	hữu nghị
有趣	yǒu qù	hấp dẫn
于是	yú shì	sau đó
愉快	yú kuài	vui mừng
与	yǔ	đấu với
羽毛球	yǔ máo qiú	cầu lông
语法	yǔ fǎ	ngữ pháp
语言	yǔ yán	ngôn ngữ
预习	yù xí	xem trước
原来	yuán lái	nguyên
原谅	yuán liàng	tha lỗi
原因	yuán yīn	nguyên nhân
约会	yuē huì	cuộc hẹn
阅读	yuè dú	đọc
云	yún	đám mây
允许	yǔn xǔ	cho phép
杂志	zá zhì	tạp chí
咱们	zán men	chúng tôi
暂时	zàn shí	một cách tạm thời
脏	zāng	dơ bẩn
责任	zé rèn	nhiệm vụ
增加	zēng jiā	tăng
占线	zhàn xiàn	bận
招聘	zhāo pìn	tuyển dụng
照	zhào	dựa theo
真正	zhēn zhèng	thực tế
整理	zhěng lǐ	chọn ra
正常	zhèng cháng	bình thường
正好	zhèng hǎo	đúng rồi
正确	zhèng què	chính xác
正式	zhèng shì	chính thức
证明	zhèng míng	chứng minh
之	zhī	của
支持	zhī chí	đứng gần
知识	zhī shi	hiểu biết
值得	zhí de	đáng giá
植物	zhí wù	cây
直接	zhí jiē	thẳng thắn
职业	zhí yè	nghề nghiệp
只好	zhǐ hǎo	phải
只要	zhǐ yào	miễn là
指	zhǐ	có nghĩa
至少	zhì shǎo	ít nhất
质量	zhì liàng	chất lượng
重	zhòng	cân nặng
重点	zhòng diǎn	tiêu điểm
重视	zhòng shì	giá trị
周围	zhōu wéi	xung quanh
主意	zhǔ yi	ý tưởng
祝贺	zhù hè	chúc mừng
著名	zhù míng	nổi danh
专门	zhuān mén	chuyên nghành
专业	zhuān yè	nghề nghiệp
转	zhuǎn	xoay
赚	zhuàn	kiếm
准确	zhǔn què	chính xác
准时	zhǔn shí	kịp thời
仔细	zǐ xì	cẩn thận
自然	zì rán	tự nhiên
自信	zì xìn	sự tự tin
总结	zǒng jié	tóm lại
租	zū	thuê
最好	zuì hǎo	tốt nhất
尊重	zūn zhòng	sự tôn trọng
左右	zuǒ yòu	trong khoảng
作家	zuò jiā	nhà văn
作用	zuò yòng	hiệu ứng
作者	zuò zhě	tác giả
座	zuò	ghế
座位	zuò wèi	ghế
