啊	a	អ្វី
久	jiǔ	វែង
旧	jiù	ចាស់
句子	jù zi	ការកាត់ទោស
决定	jué dìng	សម្រេចចិត្ត
可爱	kě ài	គួរឱ្យស្រឡាញ់
渴	kě	ស្រេកទឹក
刻	kè	ឆ្លាក់
客人	kè rén	ភ្ញៀវ
空调	kōng tiáo	ម៉ាស៊ីនត្រជាក់
口	kǒu	មាត់
哭	kū	យំ
裤子	kù zi	ខោ
筷子	kuài zi	ចង្កឹះ
蓝	lán	ខៀវ
老	lǎo	ចាស់
离开	lí kāi	ទៅ​ឆ្ងាយ
礼物	lǐ wù	អំណោយ
历史	lì shǐ	ប្រវត្តិសាស្រ្ត
脸	liǎn	មុខ
练习	liàn xí	ធ្វើលំហាត់ប្រាណ
辆	liàng	យានយន្ត
聊天	liáo tiān	ជជែកជាមួយ
了解	liǎo jiě	ដើម្បីយល់
邻居	lín jū	អ្នកជិតខាង
留学	liú xué	សិក្សា​នៅ​បរទេស
楼	lóu	ជាន់
绿	lv4	បៃតង
马	mǎ	សេះ
马上	mǎ shàng	ភ្លាម
满意	mǎn yì	ការពេញចិត្ត
帽子	mào zi	មួក
米	mǐ	ម៉ែត្រ
面包	miàn bāo	នំបុ័ង
明白	míng bai	យល់
拿	ná	យក
奶奶	nǎi nai	ជីដូន
南	nán	ខាងត្បូង
难	nán	ពិបាក
难过	nán guò	សោកសៅ
年级	nián jí	ថ្នាក់
年轻	nián qīng	ក្មេង
鸟	niǎo	បក្សី
努力	nǔ lì	ប្រឹងប្រែង​ធ្វើការ
爬山	pá shān	ការ​ឡើងភ្នំ
盘子	pán zi	ចាន
胖	pàng	ខ្លាញ់
啤酒	pí jiǔ	ស្រាបៀរ
皮鞋	pí xié	ស្បែកជើង​ស្បែក
瓶子	píng zi	ដប
其实	qí shí	ជាការពិត
其他	qí tā	ផ្សេងទៀត
奇怪	qí guài	ចម្លែក
骑	qí	ជិះ
起飞	qǐ fēi	យកចេញ
起来	qǐ lái	ក្រោកឈរ
清楚	qīng chu	ច្បាស់
请假	qǐng jià	ស្នើសុំការឈប់សម្រាក
秋	qiū	រដូវស្លឹកឈើជ្រុះ
裙子	qún zi	សំពត់
然后	rán hòu	បន្ទាប់មក
热情	rè qíng	ភាពរីករាយ
认为	rèn wéi	គិត
认真	rèn zhēn	ធ្ងន់ធ្ងរ
容易	róng yì	ងាយស្រួល
如果	rú guǒ	ក្រែងលោ​រ
伞	sǎn	ឆ័ត្រ
上网	shàng wǎng	ចូល​អី​ន​ធើ​នែ​ត
声音	shēng yīn	សំឡេង
生气	shēng qì	pissed បិទ
世界	shì jiè	ពិភពលោក
试	shì	សាកល្បង
瘦	shòu	ស្គម
叔叔	shū shu	ពូ
舒服	shū fu	មាន​ផា​សុខភាព
数学	shù xué	គណិតវិទ្យា
树	shù	ដើមឈើ
刷牙	shuā yá	ដុសធ្មេញ​អ្នក
双	shuāng	ទ្វេ
水平	shuǐ píng	កំរិត
司机	sī jī	អ្នកបើកបរ
太阳	tài yáng	ព្រះអាទិត្យ
特别	tè bié	ជាពិសេស
疼	téng	ឈឺចាប់
提高	tí gāo	ធ្វើឱ្យប្រសើរឡើង
体育	tǐ yù	អប់រំកាយ
甜	tián	ផ្អែម
条	tiáo	មាត្រា
同事	tóng shì	មិត្តរួមការងារ
同意	tóng yì	យល់ព្រម
头发	tóu fa	សក់
突然	tū rán	ភ្លាមៗ
图书馆	tú shū guǎn	បណ្ណាល័យ
腿	tuǐ	ជើង
完成	wán chéng	អនុវត្ត
碗	wǎn	ចាន
万	wàn	មួយ​ម៉ឺន
忘记	wàng jì	ភ្លេច
为	wèi	សម្រាប់
为了	wèi le	ដើម្បី
位	wèi	ប៊ីត
文化	wén huà	វប្បធម៌
西	xī	អូ
习惯	xí guàn	ទំលាប់
洗手间	xǐ shǒu jiān	បន្ទប់ទឹក
洗澡	xǐ zǎo	ងូតទឹក
夏	xià	រដូវក្តៅ
先	xiān	ដំបូង
相信	xiāng xìn	ជឿ
香蕉	xiāng jiāo	ចេក
像	xiàng	ចូលចិត្ត
向	xiàng	ទៅ
小心	xiǎo xīn	សូម​ប្រុង​ប្រ​យ​ត្ន័
校长	xiào zhǎng	នាយកសាលា
新闻	xīn wén	ព័ត៌មាន
新鲜	xīn xiān	ស្រស់
信用卡	xìn yòng kǎ	កាត​ឥណទាន
行李箱	xíng lǐ xiāng	ប្រម៉ោយ
熊猫	xióng māo	ផេនដា
需要	xū yào	ត្រូវការ
选择	xuǎn zé	ជ្រើសរើស
要求	yāo qiú	ការទាមទារ
爷爷	yé ye	ជីតា
一直	yī zhí	ជានិច្ច
一定	yí dìng	ដោយ​ប្រាកដ
一共	yī gòng	សរុប
一会儿	yī huì er	មួយរយៈ
一样	yī yàng	ដូចគ្នា
以前	yǐ qián	មុន
一般	yī bān	ទូទៅ
一边	yī biān	មួយចំហៀង
音乐	yīn yuè	តន្ត្រី
银行	yín háng	ធនាគារ
饮料	yǐn liào	ផឹក
应该	yīng gāi	គួរ
影响	yǐng xiǎng	មាន​ឥទ្ធិពល
用	yòng	ប្រើ
游戏	yóu xì	ល្បែង
有名	yǒu míng	ល្បីល្បាញ
又	yòu	ផងដែរ
遇到	yù dào	ជួប
元	yuán	យន់
愿意	yuàn yì	មានឆន្ទៈ
月亮	yuè liang	ព្រះ​ច័ន្ទ
越	yuè	ច្រើនទៀត
站	zhàn	ស្ថានីយ៍
张	zhāng	ចាង
长	zhǎng	វែង (កិរិយាស័ព្ទ)
着急	zháo jí	ការថប់បារម្ភ
照顾	zhào gu	ថែរក្សា
照片	zhào piàn	រូបថត
照相机	zhào xiàng jī	កាមេរ៉ា
只	zhǐ	តែ (adverb)
只	zhǐ	តែ (ឧបករណ៍កំណត់)
只有…才…	zhǐ yǒu …cái …	មានតែ ...
中间	zhōng jiān	កម្រិតមធ្យម
中文	zhōng wén	ជនជាតិចិន
终于	zhōng yú	នៅចុងក្រោយ
种	zhǒng	ប្រភេទសត្វ (បរិមាណ)
重要	zhòng yào	សំខាន់
周末	zhōu mò	ចុងសប្តាហ៍
主要	zhǔ yào	មេ
注意	zhù yì	ចំណាំ
自己	zì jǐ	ខ្លួនឯង
自行车	zì xíng chē	កង់
总是	zǒng shì	ជានិច្ច
嘴	zuǐ	មាត់
最后	zuì hòu	ចុងក្រោយ
最近	zuì jìn	ថ្មីៗនេះ
作业	zuò yè	ប្រតិបត្តិការ
