爱情	ài qíng	ស្រឡាញ់
确实	què shí	ជា​ការ​ពិត
然而	rán ér	ទោះយ៉ាងណាក៏ដោយ
热闹	rè nao	រស់រវើក
任何	rèn hé	ណាមួយ
任务	rèn wu	ភារកិច្ច
扔	rēng	បោះ
仍然	réng rán	នៅតែមាន
日记	rì jì	កំណត់ហេតុប្រចាំថ្ងៃ
入口	rù kǒu	ច្រកចូល
散步	sàn bù	ដើរលេង
森林	sēn lín	ព្រៃ
沙发	shā fā	សាឡុង
伤心	shāng xīn	សោកសៅ
商量	shāng liang	ពិភាក្សា
稍微	shāo wēi	តិចតួច
勺子	sháo zi	ស្លាបព្រា
社会	shè huì	សង្គម
深	shēn	ជ្រៅ
申请	shēn qǐng	ពាក្យសុំ
甚至	shèn zhì	សូម្បីតែ
生活	shēng huó	ជីវិត
生命	shēng mìng	ជីវិត
生意	shēng yì	អាជីវកម្ម
省	shěng	ខេត្ត
剩	shèng	នៅសល់
失败	shī bài	ការបរាជ័យ
失望	shī wàng	ខកចិត្ត
师傅	shī fu	មេ
十分	shí fēn	ខ្លាំងណាស់
实际	shí jì	ពិតប្រាកដ
实在	shí zài	ពិតជា
使	shǐ	ធ្វើ
使用	shǐ yòng	ប្រើ
世纪	shì jì	សតវត្សទី
是否	shì fǒu	ថាតើ
适合	shì hé	សាកសមសម្រាប់
适应	shì yìng	សម្របខ្លួន
收	shōu	ទទួល
收入	shōu rù	ប្រាក់ចំណូល
收拾	shōu shi	ខ្ចប់
首都	shǒu dū	ដើមទុន
首先	shǒu xiān	ជា​ដំបូងបង្អស់
受不了	shòu bù liǎo	មិនអាចទ្រាំបាន
受到	shòu dào	រងទុក្ខ
售货员	shòu huò yuán	អ្នកលក់
输	shū	ចាញ់
熟悉	shú xī	ស៊ាំ​ជាមួយ
数量	shù liàng	បរិមាណ
数字	shù zì	ឌីជីថល
帅	shuài	សង្ហា
顺便	shùn biàn	និយាយ​អញ្ចឹង
顺利	shùn lì	ដោយរលូន
顺序	shùn xù	សណ្តាប់ធ្នាប់
说明	shuō míng	ការពិពណ៌នា
硕士	shuò shì	ថ្នាក់អនុបណ្ឌិត
死	sǐ	ស្លាប់
塑料袋	sù liào dài	ថង់ប្លាស្ទិច
速度	sù dù	ល្បឿន
酸	suān	អាសុីត
随便	suí biàn	ធម្មតា
随着	suí zhe	រួមជាមួយ
孙子	sūn zi	ចៅប្រុស
所有	suǒ yǒu	ទាំងអស់
台	tái	ស្ថានីយ៍
抬	tái	លើក
态度	tài du	ឥរិយាបថ
弹钢琴	tán gāng qín	លេងព្យាណូ
谈	tán	និយាយ
汤	tāng	ស៊ុប
糖	táng	ស្ករ
躺	tǎng	ដេក
趟	tàng	ការធ្វើដំណើរ
讨论	tǎo lùn	ពិភាក្សា
讨厌	tǎo yàn	ស្អប់
特点	tè diǎn	លក្ខណៈពិសេស
提	tí	និយាយ
提供	tí gōng	ផ្តល់
提前	tí qián	ទុកជាមុន
提醒	tí xǐng	រំ.ក
填空	tián kòng	បំពេញក្នុងចន្លោះទទេ
条件	tiáo jiàn	លក្ខខណ្ឌ
停	tíng	បញ្ឈប់
挺	tǐng	ខ្លាំងណាស់
通过	tōng guò	ដោយ
通知	tōng zhī	សេចក្តីជូនដំណឹង
同情	tóng qíng	ការអាណិតអាសូរ
同时	tóng shí	ដំណាលគ្នា
推	tuī	ជំរុញ
推迟	tuī chí	ដាក់ចេញ
脱	tuō	យកចេញ
袜子	wà zi	ស្រោមជើង
完全	wán quán	បញ្ចប់
往往	wǎng wǎng	ជាញឹកញាប់
网球	wǎng qiú	កីឡាវាយកូនបាល់
网站	wǎng zhàn	គេហទំព័រ
危险	wēi xiǎn	គ្រោះថ្នាក់
卫生间	wèi shēng jiān	បន្ទប់ទឹក
味道	wèi dào	ភ្លក្សរសជាតិ
温度	wēn dù	សីតុណ្ហាភាព
文章	wén zhāng	អត្ថបទ
污染	wū rǎn	ការបំពុល
无	wú	ទេ
无聊	wú liáo	អផ្សុក
无论	wú lùn	ដោយមិនគិត
误会	wù huì	ការយល់ច្រឡំ
吸引	xī yǐn	ទាក់ទាញ
西红柿	xī hóng shì	ប៉េងប៉ោះ
咸	xián	ប្រៃ
现金	xiàn jīn	សាច់ប្រាក់
羡慕	xiàn mù	ការច្រណែន
相反	xiāng fǎn	ផ្ទុយ​មកវិញ
相同	xiāng tóng	ដូច​គ្នា
香	xiāng	ក្រអូប
详细	xiáng xì	លម្អិត
响	xiǎng	រោទិ៍
橡皮	xiàng pí	កៅស៊ូ
消息	xiāo xi	ព័ត៌មាន
小吃	xiǎo chī	អាហារសម្រន់
小伙子	xiǎo huǒ zi	ឡាដ
小说	xiǎo shuō	រឿងប្រឌិត
效果	xiào guǒ	ផលប៉ះពាល់
笑话	xiào huà	កំប្លែង
心情	xīn qíng	អារម្មណ៍
辛苦	xīn kǔ	រឹង
信封	xìn fēng	ស្រោមសំបុត្រ
信息	xìn xī	ព័ត៌មាន
信心	xìn xīn	ទំនុកចិត្ត
兴奋	xīng fèn	រំភើប
行	xíng	ជួរដេក
醒	xǐng	ភ្ញាក់
幸福	xìng fú	រីករាយ
性别	xìng bié	ភេទ
性格	xìng gé	តួអក្សរ
修理	xiū lǐ	ជួសជុល
许多	xǔ duō	ច្រើន
学期	xué qī	ឆមាស
呀	ya	យាយ
压力	yā lì	សម្ពាធ
牙膏	yá gāo	ថ្នាំដុសធ្មេញ
亚洲	yà zhōu	អាស៊ី
严格	yán gé	តឹងរឹង
严重	yán zhòng	ធ្ងន់ធ្ងរ
盐	yán	អំបិល
研究	yán jiū	ការសិក្សា
演出	yǎn chū	បង្ហាញ
演员	yǎn yuán	តារាសម្តែង
眼镜	yǎn jìng	វ៉ែនតា
阳光	yáng guāng	ពន្លឺព្រះអាទិត្យ
养成	yǎng chéng	អភិវឌ្ឍ
样子	yàng zi	មើលទៅដូចជា
邀请	yāo qǐng	អញ្ជើញ
要是	yào shi	ប្រសិនបើ
钥匙	yào shi	កូនសោ
也许	yě xǔ	ប្រហែល
叶子	yè zi	ស្លឹក
页	yè	ទំព័រ
一切	yī qiè	ទាំងអស់
以	yǐ	ទៅ
以为	yǐ wéi	គិត
意见	yì jiàn	មតិ
艺术	yì shù	សិល្បៈ
因此	yīn cǐ	ដូច្នេះ
引起	yǐn qǐ	មូលហេតុ
印象	yìn xiàng	ចំណាប់អារម្មណ៍
赢	yíng	ឈ្នះ
应聘	yìng pìn	ដាក់ពាក្យ​សម្រាប់
勇敢	yǒng gǎn	ក្លាហាន
永远	yǒng yuǎn	ជា​រាង​រហូត​និង​ជានិច្ច
优点	yōu diǎn	អត្ថប្រយោជន៍
优秀	yōu xiù	ល្អបំផុត
幽默	yōu mò	ការលេងសើច
尤其	yóu qí	ជាពិសេស
由	yóu	ដោយ
由于	yóu yú	ដោយ​សារ​តែ​ការ
邮局	yóu jú	ការិយាល័យ​ប្រៃសណីយ៍
友好	yǒu hǎo	រាក់ទាក់
友谊	yǒu yì	មិត្តភាព
有趣	yǒu qù	គួរឱ្យចាប់អារម្មណ៍
于是	yú shì	បន្ទាប់មក
愉快	yú kuài	រីករាយ
与	yǔ	ប្រឆាំង​នឹង​ទល់​នឹង
羽毛球	yǔ máo qiú	កីឡាវាយសី
语法	yǔ fǎ	វេយ្យាករណ៍
语言	yǔ yán	ភាសា
预习	yù xí	មើលជាមុន
原来	yuán lái	ដើម
原谅	yuán liàng	អត់ទោស
原因	yuán yīn	ហេតុផល
约会	yuē huì	ការណាត់ជួប
阅读	yuè dú	អាន
云	yún	ពពក
允许	yǔn xǔ	អនុញ្ញាត
杂志	zá zhì	ទស្សនាវដ្តី
咱们	zán men	យើង
暂时	zàn shí	បណ្តោះអាសន្ន
脏	zāng	កខ្វក់
责任	zé rèn	ការទទួលខុសត្រូវ
增加	zēng jiā	កើនឡើង
占线	zhàn xiàn	រវល់
招聘	zhāo pìn	ការជ្រើសរើសបុគ្គលិក
照	zhào	យោង​ទៅ​តាម
真正	zhēn zhèng	ពិតប្រាកដ
整理	zhěng lǐ	តម្រៀបចេញ
正常	zhèng cháng	ធម្មតា
正好	zhèng hǎo	ត្រឹមត្រូវ
正确	zhèng què	ត្រឹមត្រូវ
正式	zhèng shì	ជាផ្លូវការ
证明	zhèng míng	បង្ហាញ
之	zhī	នៃ
支持	zhī chí	ប្រចាំ​ការ
知识	zhī shi	ចំណេះដឹង
值得	zhí de	សមនឹងវា
植物	zhí wù	រុក្ខជាតិ
直接	zhí jiē	ដោយផ្ទាល់
职业	zhí yè	វិជ្ជាជីវៈ
只好	zhǐ hǎo	ត្រូវតែ
只要	zhǐ yào	ដរាបណា
指	zhǐ	មធ្យោបាយ
至少	zhì shǎo	យ៉ាងហោចណាស់
质量	zhì liàng	គុណភាព
重	zhòng	ទំងន់
重点	zhòng diǎn	ផ្តោតអារម្មណ៍
重视	zhòng shì	តម្លៃ
周围	zhōu wéi	នៅជុំវិញ
主意	zhǔ yi	គំនិត
祝贺	zhù hè	អបអរសាទរ
著名	zhù míng	ល្បីល្បាញ
专门	zhuān mén	ឯកទេស
专业	zhuān yè	វិជ្ជាជីវៈ
转	zhuǎn	វេន
赚	zhuàn	រកបាន
准确	zhǔn què	ត្រឹមត្រូវ
准时	zhǔn shí	ទាន់​ពេលវេលា
仔细	zǐ xì	ប្រយ័ត្ន
自然	zì rán	ធម្មជាតិ
自信	zì xìn	ទំនុកចិត្ត
总结	zǒng jié	ដើម្បី​សរុប
租	zū	ជួល
最好	zuì hǎo	ល្អ​បំផុត
尊重	zūn zhòng	ការគោរព
左右	zuǒ yòu	អំពី
作家	zuò jiā	អ្នកនិពន្ធ
作用	zuò yòng	ផលប៉ះពាល់
作者	zuò zhě	អ្នកនិពន្ធ
座	zuò	កៅអី
座位	zuò wèi	កៅអី
